quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible
1	fastvithd_05b	FastViTHD	0.9937848513011153	0.004086264483494805	1.75	4	44	image_embeddings	0.9937848513011153	4	2	1.0	True
2	fastvithd_15b	FastViTHD	0.9922455855018587	0.0036794999191716023	1.5	4	44	image_embeddings	0.9922455855018587	4	2	1.0	True
3	fastvithd_7b	FastViTHD	0.969301812267658	0.016024730956923982	10.75	4	45	canonical_embedding	0.9681110594795539	4	0	1.0	True
4	vit_tiny	ViT	0.9396491635687733	0.018712278456473823	17.25	4	10	block_010	0.9251277881040892	4	0	1.0	True
5	vgg16	VGG	0.9381389405204461	0.08100653736219217	10.25	4	5	feature_map_005	0.9381389405204461	4	0	1.0	True
6	vgg11	VGG	0.9380227695167287	0.0542893153076773	10.75	4	5	feature_map_005	0.9380227695167287	4	0	1.0	True
7	vgg19	VGG	0.933869656133829	0.09033665860711922	10.25	4	5	feature_map_005	0.9314010223048328	4	0	1.0	True
8	resnet18	ResNet	0.9319818773234201	0.030679759150251826	18.0	4	4	hidden_state_004	0.931342936802974	4	0	1.0	True
9	vgg19_bn	VGG	0.9293389869888475	0.07333162334557344	13.5	4	5	feature_map_005	0.9293389869888475	4	0	1.0	True
10	vgg11_bn	VGG	0.9289904739776952	0.06001907056877361	13.5	4	5	feature_map_005	0.9289904739776952	4	0	1.0	True
11	resnet34	ResNet	0.9280901486988848	0.03849776307251804	18.75	4	3	hidden_state_003	0.9195806226765799	4	0	1.0	True
12	siglip_base	SigLIP	0.9218459572490706	0.06308574208778041	16.25	4	12	hidden_state_012	0.8958526951672863	4	0	1.0	True
13	vgg13	VGG	0.9163278345724907	0.09456467323540861	15.0	4	5	feature_map_005	0.9163278345724907	4	0	1.0	True
14	dino_vits8	DINO	0.9086315055762082	0.04766569331246608	24.0	4	12	hidden_state_012	0.8994830390334573	4	0	1.0	True
15	vgg16_bn	VGG	0.9062790427509294	0.09391178633339227	20.75	4	5	feature_map_005	0.9062790427509294	4	0	1.0	True
16	vgg13_bn	VGG	0.9015741171003717	0.10572085929909689	19.25	4	5	feature_map_005	0.9015741171003717	4	0	1.0	True
17	clip_vit_b16	CLIP	0.8962883364312267	0.08066670470933172	23.75	4	12	hidden_state_012	0.8962883364312267	4	0	1.0	True
18	clip_vit_b32	CLIP	0.8893180762081785	0.0744185399594229	26.75	4	12	hidden_state_012	0.8837418680297398	4	0	1.0	True
19	dinov2_base	DINOv2	0.8848454925650557	0.042978433915345726	27.0	4	12	hidden_state_012	0.778171468401487	4	0	1.0	True
20	resnext101_32x8d	ResNeXt	0.884235594795539	0.06869476910597423	26.0	4	3	feature_map_003	0.884235594795539	4	0	1.0	True
21	dinov3_vits16plus	DINOv3	0.8820864312267658	0.059436938820910716	24.75	4	9	block_009	0.8464800185873605	4	0	1.0	True
22	siglip2_base_naflex	SigLIP2	0.8817960037174721	0.0665326511141357	26.375	4	2	image_embeds_l2	0.8786884293680297	4	0	1.0	True
23	dino_vits16	DINO	0.8744191449814127	0.07788462263358853	29.75	4	12	hidden_state_012	0.8643703531598513	4	0	1.0	True
24	dino_vitb16	DINO	0.8733736059479554	0.09300760401401119	29.75	4	12	hidden_state_012	0.8667518587360595	4	0	1.0	True
25	dinov3_vits16	DINOv3	0.8707888011152416	0.05566169561132636	26.0	4	10	block_010	0.8363150557620818	4	0	1.0	True
26	resnext50_32x4d	ResNeXt	0.8687267657992566	0.052018283013758285	29.75	4	3	feature_map_003	0.8399744423791822	4	0	1.0	True
27	siglip_large	SigLIP	0.8680297397769516	0.08653156899737631	31.125	4	12	hidden_state_012	0.8058492100371747	4	0	1.0	True
28	siglip_so400m	SigLIP	0.8671875	0.14989342470485897	25.25	4	29	image_embeds_l2	0.8642251394052045	4	0	1.0	True
29	dinov3_vitl16	DINOv3	0.8640508828996283	0.04673399174969112	29.25	4	15	block_015	0.829548094795539	4	0	1.0	True
30	vit_small	ViT	0.8622211895910781	0.04642329071977202	31.0	4	11	block_011	0.8159560873605948	4	0	1.0	True
31	dinov3_vit7b16	DINOv3	0.8586779739776952	0.07502697665576155	31.5	4	21	block_021	0.8288220260223048	4	0	1.0	True
32	dinov2_small	DINOv2	0.8552509293680297	0.11515333180182481	29.75	4	12	hidden_state_012	0.8357632434944238	4	0	1.0	True
33	resnet50	ResNet	0.8542634758364313	0.08479936215614012	32.75	4	4	hidden_state_004	0.8508364312267658	4	0	1.0	True
34	clip_vit_l14	CLIP	0.8528113382899628	0.1168593108153543	30.5	4	24	hidden_state_024	0.7894400557620818	4	0	1.0	True
35	dino_vitb8	DINO	0.8454925650557621	0.07447354194897438	35.0	4	12	hidden_state_012	0.8399453996282528	4	0	1.0	True
36	clip_vit_l14_336	CLIP	0.8365764405204461	0.18621091052960037	30.0	4	24	hidden_state_024	0.8055878252788105	4	0	1.0	True
37	dinov2_giant	DINOv2	0.8344272769516728	0.05484645657586144	37.0	4	35	hidden_state_035	0.7592646375464684	4	0	1.0	True
38	dinov3_vitb16	DINOv3	0.8334979089219331	0.07261939367025452	34.75	4	10	block_010	0.7895562267657993	4	0	1.0	True
39	fastvit_t8	FastViT	0.8180181226765799	0.06986101982990256	39.5	4	3	feature_map_003	0.804135687732342	4	0	1.0	True
40	siglip2_base	SigLIP2	0.8173791821561338	0.1547726318913954	36.25	4	2	image_embeds_l2	0.8147943773234201	4	0	1.0	True
41	siglip2_so400m_naflex	SigLIP2	0.8134874535315986	0.1523466671199876	36.5	4	1	pooler_output	0.7928090148698885	4	0	1.0	True
42	vit_huge	ViT	0.8027416356877324	0.13157049587524763	39.0	4	29	hidden_state_029	0.7913568773234201	4	0	1.0	True
43	dinov3_vith16plus	DINOv3	0.8025964219330856	0.06782821783293229	40.75	4	18	block_018	0.7629530669144982	4	0	1.0	True
44	vit_mae_base	MAE	0.7919377323420074	0.08655367389484042	40.75	4	11	hidden_state_011	0.7913568773234201	4	0	1.0	True
45	fastvit_ma36	FastViT	0.7830506505576208	0.08109345601470919	41.5	4	2	feature_map_002	0.7830506505576208	4	0	1.0	True
46	dinov2_large	DINOv2	0.7830216078066914	0.13141652887341634	42.0	4	22	hidden_state_022	0.7448594330855018	4	0	1.0	True
47	vit_mae_large	MAE	0.7782295539033457	0.10231285888868875	41.25	4	20	hidden_state_020	0.767599907063197	4	0	1.0	True
48	ijepa_vith14	I-JEPA	0.7782295539033457	0.1217997158542335	42.5	4	24	hidden_state_024	0.6903752323420075	4	0	1.0	True
49	vit_base	ViT	0.7690520446096654	0.08385297566110074	43.0	4	13	canonical_embedding	0.7275789962825279	4	0	1.0	True
50	resnet101	ResNet	0.7668738382899629	0.07073761904152595	45.25	4	3	hidden_state_003	0.7475023234200744	4	0	1.0	True
51	vit_large	ViT	0.7663801115241635	0.12139350164965768	43.0	4	22	hidden_state_022	0.7622850836431228	4	0	1.0	True
52	fastvit_s12	FastViT	0.7649279739776951	0.0434351016834465	46.0	4	3	feature_map_003	0.7376277881040891	4	0	1.0	True
