family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_l14	pcc	0.8084340148698885	0.06418792253881848	18.0	4	19	hidden_state_019	0.7775325278810409	1
CLIP	clip_vit_l14_336	pcc	0.7861291821561338	0.03747212731466021	19.5	4	19	hidden_state_019	0.7522653345724908	2
CLIP	clip_vit_b32	pcc	0.7518587360594795	0.040763940054300105	27.5	4	10	hidden_state_010	0.7220027881040892	3
CLIP	clip_vit_b16	pcc	0.7415776022304833	0.045041215054248254	31.375	4	10	hidden_state_010	0.722932156133829	4
ConvNeXt	convnext_base	pcc	0.6589800185873605	0.0767700280950735	49.625	4	1	hidden_state_001	0.6589800185873605	1
ConvNeXt	convnext_tiny	pcc	0.6347583643122676	0.08449474167319843	47.5	4	1	hidden_state_001	0.6209340148698884	2
ConvNeXt	convnext_small	pcc	0.608503717472119	0.033740427610538165	60.125	4	1	hidden_state_001	0.5762662639405205	3
ConvNeXt	convnext_large	pcc	0.4815288104089219	0.10790160194106618	67.75	4	1	hidden_state_001	0.47949581784386613	4
DINO	dino_vits8	pcc	0.6767541821561338	0.1053926977910055	46.5	4	6	hidden_state_006	0.6493959107806692	1
DINO	dino_vits16	pcc	0.6334804832713755	0.11412895063690706	51.375	4	9	hidden_state_009	0.5964219330855018	2
DINO	dino_vitb8	pcc	0.6119888475836431	0.06446559177825464	56.0	4	13	canonical_embedding	0.5911942379182156	3
DINO	dino_vitb16	pcc	0.5781830855018587	0.08013248139376317	61.5	4	9	hidden_state_009	0.5496631040892193	4
DINOv2	dinov2_large	pcc	0.825046468401487	0.09286169711483662	19.0	4	10	hidden_state_010	0.813603624535316	1
DINOv2	dinov2_small	pcc	0.8129646840148699	0.11945486465270981	21.25	4	4	hidden_state_004	0.8129646840148699	2
DINOv2	dinov2_base	pcc	0.7929832713754648	0.11502607271241962	26.75	4	4	hidden_state_004	0.7899047397769516	3
DINOv2	dinov2_giant	pcc	0.7615009293680297	0.09580276918275082	30.5	4	13	hidden_state_013	0.7610362453531598	4
