dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
CSIQ	CLIP	clip_vit_l14_336	pcc	19	hidden_state_019	0.741635687732342	0.7178394959535374	1
CSIQ	CLIP	clip_vit_b16	pcc	10	hidden_state_010	0.7172397769516728	0.707127858196641	2
CSIQ	CLIP	clip_vit_l14	pcc	16	hidden_state_016	0.7156133828996283	0.7312254523379715	3
CSIQ	CLIP	clip_vit_b32	pcc	13	pooler_output	0.7012081784386617	0.7074160686655194	4
CSIQ	ConvNeXt	convnext_tiny	pcc	5	canonical_embedding	0.7316449814126395	0.713004972350187	1
CSIQ	ConvNeXt	convnext_base	pcc	1	hidden_state_001	0.6972583643122676	0.7248223019495221	2
CSIQ	ConvNeXt	convnext_small	pcc	1	hidden_state_001	0.6473048327137546	0.7117805486951795	3
CSIQ	ConvNeXt	convnext_large	pcc	5	canonical_embedding	0.5385687732342007	0.6613881797029952	4
CSIQ	DINO	dino_vits8	pcc	12	hidden_state_012	0.5611059479553904	0.654182196745503	1
CSIQ	DINO	dino_vitb8	pcc	13	canonical_embedding	0.529275092936803	0.6490266868123131	2
CSIQ	DINO	dino_vits16	pcc	13	canonical_embedding	0.46956319702602234	0.6293619172452907	3
CSIQ	DINO	dino_vitb16	pcc	13	canonical_embedding	0.4651486988847584	0.6234899485154204	4
CSIQ	DINOv2	dinov2_large	pcc	10	hidden_state_010	0.7049256505576209	0.7152650299720346	1
CSIQ	DINOv2	dinov2_base	pcc	4	hidden_state_004	0.6282527881040892	0.6898152625040724	2
CSIQ	DINOv2	dinov2_small	pcc	4	hidden_state_004	0.6205855018587361	0.6886749602976621	3
CSIQ	DINOv2	dinov2_giant	pcc	13	hidden_state_013	0.612685873605948	0.6991510851209217	4
CSIQ	DINOv3	dinov3_vitb16	pcc	3	block_003	0.7539498141263941	0.7221126570385408	1
CSIQ	DINOv3	dinov3_vit7b16	pcc	13	block_013	0.7153810408921933	0.7078806855922121	2
CSIQ	DINOv3	dinov3_vitl16	pcc	6	block_006	0.7023698884758365	0.7099146889545181	3
CSIQ	DINOv3	dinov3_vith16plus	pcc	6	block_006	0.6949349442379182	0.7129452906668304	4
CSIQ	DINOv3	dinov3_vits16plus	pcc	3	block_003	0.6805297397769516	0.7025031908612251	5
CSIQ	DINOv3	dinov3_vits16	pcc	3	block_003	0.6505576208178439	0.6939583988167363	6
CSIQ	FastViT	fastvit_sa24	pcc	2	feature_map_002	0.7894981412639406	0.7289517150257286	1
CSIQ	FastViT	fastvit_ma36	pcc	2	feature_map_002	0.7302509293680297	0.7150397599169694	2
CSIQ	FastViT	fastvit_sa36	pcc	2	feature_map_002	0.7172397769516728	0.7080321412403541	3
CSIQ	FastViT	fastvit_t8	pcc	1	feature_map_001	0.6951672862453532	0.7249496459854543	4
CSIQ	FastViT	fastvit_sa12	pcc	2	feature_map_002	0.6638011152416357	0.6938063088412102	5
CSIQ	FastViT	fastvit_t12	pcc	3	feature_map_003	0.6600836431226765	0.6923519416559915	6
CSIQ	FastViT	fastvit_s12	pcc	3	feature_map_003	0.6068773234200744	0.6804059505798051	7
CSIQ	FastViTHD	fastvithd_05b	pcc	39	block_039	0.8468866171003717	0.7538005666803411	1
CSIQ	FastViTHD	fastvithd_7b	pcc	43	block_043	0.8259758364312267	0.7449718140190685	2
CSIQ	FastViTHD	fastvithd_15b	pcc	41	block_041	0.8171468401486989	0.7411022367478519	3
CSIQ	I-JEPA	ijepa_vith14	pcc	12	hidden_state_012	0.4969795539033457	0.6544526758241989	1
CSIQ	InternViT	internvit_300m_v25	pcc	8	hidden_state_008	0.675185873605948	0.7471208518650463	1
CSIQ	InternViT	internvit_300m	pcc	8	hidden_state_008	0.6572955390334573	0.7334772971325132	2
CSIQ	InternViT	internvit_6b_v25	pcc	40	hidden_state_040	0.6565985130111525	0.7203923872409645	3
CSIQ	MAE	vit_mae_large	pcc	7	hidden_state_007	0.7235130111524164	0.7214010107462966	1
CSIQ	MAE	vit_mae_huge	pcc	7	hidden_state_007	0.6923791821561338	0.7160258924024441	2
CSIQ	MAE	vit_mae_base	pcc	10	hidden_state_010	0.6171003717472119	0.6879411833553579	3
CSIQ	ResNeXt	resnext50_32x4d	pcc	2	feature_map_002	0.8550185873605948	0.7564405843538997	1
CSIQ	ResNeXt	resnext101_32x8d	pcc	2	feature_map_002	0.8299256505576208	0.7469488343391205	2
CSIQ	ResNet	resnet101	pcc	2	hidden_state_002	0.8359665427509294	0.7533931407007856	1
CSIQ	ResNet	resnet50	pcc	2	hidden_state_002	0.816682156133829	0.7433390064315651	2
CSIQ	ResNet	resnet34	pcc	2	hidden_state_002	0.8136617100371748	0.7387925152358149	3
CSIQ	ResNet	resnet18	pcc	4	hidden_state_004	0.7379182156133829	0.7179414422865333	4
CSIQ	ResNet	resnet152	pcc	3	hidden_state_003	0.7109665427509294	0.7064840313583033	5
CSIQ	SigLIP	siglip_large	pcc	15	hidden_state_015	0.8726765799256505	0.7679731429263967	1
CSIQ	SigLIP	siglip_base	pcc	5	hidden_state_005	0.8717472118959109	0.7651219049173938	2
CSIQ	SigLIP	siglip_so400m	pcc	11	hidden_state_011	0.8580390334572491	0.7816850929089232	3
CSIQ	SigLIP2	siglip2_base	pcc	2	image_embeds_l2	0.7883364312267658	0.7290567100889631	1
CSIQ	SigLIP2	siglip2_base_naflex	pcc	2	image_embeds_l2	0.7493029739776952	0.7178192766055785	2
CSIQ	SigLIP2	siglip2_so400m_naflex	pcc	2	image_embeds_l2	0.712360594795539	0.7089313088108531	3
CSIQ	SigLIP2	siglip2_large	pcc	1	pooler_output	0.7079460966542751	0.7097697305390313	4
CSIQ	SigLIP2	siglip2_so400m	pcc	2	image_embeds_l2	0.5780669144981413	0.682257639862566	5
CSIQ	Swin	swin_tiny	pcc	2	hidden_state_002	0.7195631970260223	0.7370398655591051	1
CSIQ	Swin	swin_small	pcc	2	hidden_state_002	0.6705390334572491	0.7230623988372751	2
CSIQ	Swin	swin_base	pcc	2	hidden_state_002	0.6480018587360595	0.7194801074481596	3
CSIQ	Swin	swin_large	pcc	2	hidden_state_002	0.6370817843866171	0.7122098905098151	4
CSIQ	SwinV2	swinv2_tiny	pcc	2	hidden_state_002	0.7184014869888475	0.7413168913396696	1
CSIQ	SwinV2	swinv2_base	pcc	2	hidden_state_002	0.6770446096654275	0.7294379853232204	2
CSIQ	SwinV2	swinv2_small	pcc	2	hidden_state_002	0.6589219330855018	0.7212337355172744	3
CSIQ	SwinV2	swinv2_large	pcc	2	hidden_state_002	0.6405669144981412	0.7166579690797208	4
CSIQ	VGG	vgg16_bn	pcc	5	feature_map_005	0.7829925650557621	0.7326111335622829	1
CSIQ	VGG	vgg13	pcc	5	feature_map_005	0.7804368029739777	0.7306305834408122	2
CSIQ	VGG	vgg13_bn	pcc	5	feature_map_005	0.7657992565055762	0.7270822060369171	3
CSIQ	VGG	vgg16	pcc	5	feature_map_005	0.754182156133829	0.725698676207461	4
CSIQ	VGG	vgg11	pcc	5	feature_map_005	0.7493029739776952	0.720035901228805	5
CSIQ	VGG	vgg11_bn	pcc	5	feature_map_005	0.7488382899628252	0.7212679988462964	6
CSIQ	VGG	vgg19	pcc	5	feature_map_005	0.7448884758364313	0.7228559471959202	7
CSIQ	VGG	vgg19_bn	pcc	3	feature_map_003	0.7395446096654276	0.7143757650139841	8
CSIQ	ViT	vit_tiny	pcc	9	block_009	0.6995817843866171	0.7029137699624255	1
CSIQ	ViT	vit_small	pcc	11	block_011	0.6761152416356877	0.6987120333705072	2
CSIQ	ViT	vit_huge	pcc	8	hidden_state_008	0.5030204460966543	0.6615278465115713	3
CSIQ	ViT	vit_base	pcc	12	hidden_state_012	0.49349442379182157	0.6304964575202336	4
CSIQ	ViT	vit_large	pcc	4	hidden_state_004	0.4572490706319703	0.6441698973594537	5
CSIQ	CLIP	clip_vit_l14_336	scc	19	hidden_state_019	0.7267657992565056	0.7498469425869487	1
CSIQ	CLIP	clip_vit_b32	scc	13	pooler_output	0.6758828996282528	0.7315602848375944	2
CSIQ	CLIP	clip_vit_l14	scc	19	hidden_state_019	0.6730947955390335	0.7339715523685415	3
CSIQ	CLIP	clip_vit_b16	scc	13	pooler_output	0.6663568773234201	0.7289316891199978	4
CSIQ	ConvNeXt	convnext_tiny	scc	1	hidden_state_001	0.8113382899628253	0.7944736306060758	1
CSIQ	ConvNeXt	convnext_base	scc	1	hidden_state_001	0.7811338289962826	0.7893764684819053	2
CSIQ	ConvNeXt	convnext_small	scc	1	hidden_state_001	0.7346654275092936	0.7809591834161861	3
CSIQ	ConvNeXt	convnext_large	scc	1	hidden_state_001	0.6814591078066914	0.7654010991152013	4
CSIQ	DINO	dino_vitb8	scc	3	hidden_state_003	0.6317379182156133	0.7261745492406099	1
CSIQ	DINO	dino_vits8	scc	3	hidden_state_003	0.6182620817843867	0.7229992246132125	2
CSIQ	DINO	dino_vits16	scc	5	hidden_state_005	0.5023234200743494	0.6983761539234701	3
CSIQ	DINO	dino_vitb16	scc	4	hidden_state_004	0.4598048327137546	0.681120214184252	4
CSIQ	DINOv2	dinov2_large	scc	10	hidden_state_010	0.8078531598513011	0.78489231366787	1
CSIQ	DINOv2	dinov2_small	scc	4	hidden_state_004	0.8078531598513011	0.7814381244375216	2
CSIQ	DINOv2	dinov2_base	scc	4	hidden_state_004	0.7676579925650557	0.7714771092265561	3
CSIQ	DINOv2	dinov2_giant	scc	11	hidden_state_011	0.6940055762081785	0.7555346766037594	4
CSIQ	DINOv3	dinov3_vitl16	scc	6	block_006	0.8087825278810409	0.7829881325664791	1
CSIQ	DINOv3	dinov3_vitb16	scc	3	block_003	0.791589219330855	0.7770547771698936	2
CSIQ	DINOv3	dinov3_vits16	scc	3	block_003	0.7839219330855018	0.7758530897052147	3
CSIQ	DINOv3	dinov3_vith16plus	scc	6	block_006	0.7806691449814127	0.7774419201320683	4
CSIQ	DINOv3	dinov3_vit7b16	scc	10	block_010	0.7409386617100372	0.7571827852224877	5
CSIQ	DINOv3	dinov3_vits16plus	scc	2	block_002	0.7021375464684014	0.7545236905379106	6
CSIQ	FastViT	fastvit_sa36	scc	2	feature_map_002	0.816682156133829	0.7807007314458316	1
CSIQ	FastViT	fastvit_sa12	scc	1	feature_map_001	0.8141263940520447	0.788571740542402	2
CSIQ	FastViT	fastvit_sa24	scc	2	feature_map_002	0.8138940520446096	0.7823283571656823	3
CSIQ	FastViT	fastvit_t8	scc	1	feature_map_001	0.8134293680297398	0.785587478489582	4
CSIQ	FastViT	fastvit_ma36	scc	1	feature_map_001	0.8118029739776952	0.7890099171904636	5
CSIQ	FastViT	fastvit_s12	scc	0	feature_map_000	0.7616171003717472	0.7730618786558148	6
CSIQ	FastViT	fastvit_t12	scc	1	feature_map_001	0.6877323420074349	0.7675147458561573	7
CSIQ	FastViTHD	fastvithd_05b	scc	23	block_023	0.8835966542750929	0.8042515910223227	1
CSIQ	FastViTHD	fastvithd_15b	scc	23	block_023	0.8687267657992566	0.8028255113282894	2
CSIQ	FastViTHD	fastvithd_7b	scc	38	block_038	0.8559479553903346	0.7937613709396671	3
CSIQ	I-JEPA	ijepa_vith14	scc	12	hidden_state_012	0.5576208178438662	0.7089044833135167	1
CSIQ	InternViT	internvit_300m_v25	scc	8	hidden_state_008	0.6816914498141264	0.7989306300183885	1
