model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
clip_vit_b16	CLIP	1	hidden_state_001	0.26924566294919455	0.11074969021065674	0.3999380421313507	4
clip_vit_b16	CLIP	2	hidden_state_002	0.38394516728624534	0.2350526641883519	0.49457868649318465	4
clip_vit_b16	CLIP	3	hidden_state_003	0.587360594795539	0.44222428748451054	0.8055297397769516	4
clip_vit_b16	CLIP	4	hidden_state_004	0.6252710656753409	0.5357806691449815	0.7857032218091698	4
clip_vit_b16	CLIP	5	hidden_state_005	0.5747560408921933	0.4919454770755886	0.6588444857496901	4
clip_vit_b16	CLIP	6	hidden_state_006	0.5422087980173482	0.4162794299876084	0.7043060718711276	4
clip_vit_b16	CLIP	7	hidden_state_007	0.44567069392812886	0.3597428748451053	0.5099907063197026	4
clip_vit_b16	CLIP	8	hidden_state_008	0.5692379182156134	0.4228624535315985	0.7754801734820322	4
clip_vit_b16	CLIP	9	hidden_state_009	0.6042634758364311	0.4203066914498141	0.7644052044609665	4
clip_vit_b16	CLIP	10	hidden_state_010	0.6579925650557621	0.6203531598513011	0.6973358116480793	4
clip_vit_b16	CLIP	11	hidden_state_011	0.6149512081784386	0.5601765799256505	0.648776332094176	4
clip_vit_b16	CLIP	12	hidden_state_012	0.5943695786864932	0.5323729863692689	0.6706939281288724	4
clip_vit_b16	CLIP	13	pooler_output	0.5996747211895911	0.5401177199504337	0.6821561338289963	4
clip_vit_b16	CLIP	14	image_embeds	0.5617255266418836	0.504182156133829	0.6651951672862454	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.557465923172243	0.49728934324659235	0.6606257744733581	4
clip_vit_b32	CLIP	1	hidden_state_001	0.20271840148698886	0.059169764560099126	0.3543990086741016	4
clip_vit_b32	CLIP	2	hidden_state_002	0.22409386617100374	0.08565675340768279	0.3828996282527881	4
clip_vit_b32	CLIP	3	hidden_state_003	0.33670229244114	0.22142193308550187	0.4850526641883519	4
clip_vit_b32	CLIP	4	hidden_state_004	0.5624419144981413	0.4298327137546469	0.8365086741016109	4
clip_vit_b32	CLIP	5	hidden_state_005	0.5572916666666666	0.48280669144981414	0.7189436183395291	4
