reference_model_key	model_key	family	reference_alignment_score	dataset_count
arniqa_kadid10k	siglip_so400m	SigLIP	0.9939978314745973	4
arniqa_kadid10k	internvit_300m_v25	InternViT	0.9842394671623297	4
arniqa_kadid10k	clip_vit_l14_336	CLIP	0.9757202602230484	4
arniqa_kadid10k	clip_vit_l14	CLIP	0.9727385377942999	4
arniqa_kadid10k	internvit_300m	InternViT	0.97227385377943	4
arniqa_kadid10k	internvit_6b_v25	InternViT	0.9681304213135068	4
arniqa_kadid10k	siglip_large	SigLIP	0.9679755266418835	4
arniqa_kadid10k	dinov2_large	DINOv2	0.9275480173482032	4
arniqa_kadid10k	clip_vit_b16	CLIP	0.9252633209417596	4
arniqa_kadid10k	dinov2_small	DINOv2	0.9252245972738538	4
arniqa_kadid10k	vit_small	ViT	0.9148466542750929	4
arniqa_kadid10k	resnext101_32x8d	ResNeXt	0.9144206939281289	4
arniqa_kadid10k	siglip_base	SigLIP	0.9126394052044609	4
arniqa_kadid10k	resnet101	ResNet	0.9096576827757126	4
arniqa_kadid10k	fastvithd_05b	FastViTHD	0.9018742255266419	4
arniqa_kadid10k	fastvithd_7b	FastViTHD	0.8971112143742255	4
arniqa_kadid10k	dinov2_giant	DINOv2	0.8957558859975217	4
arniqa_kadid10k	fastvithd_15b	FastViTHD	0.8942456629491946	4
arniqa_kadid10k	dinov2_base	DINOv2	0.8921158612143743	4
arniqa_kadid10k	fastvit_ma36	FastViT	0.8899473358116481	4
arniqa_kadid10k	clip_vit_b32	CLIP	0.886191140024783	4
arniqa_kadid10k	vit_mae_huge	MAE	0.8822026022304833	4
arniqa_kadid10k	vit_mae_large	MAE	0.8770136307311028	4
arniqa_kadid10k	vit_tiny	ViT	0.8700433705080546	4
arniqa_kadid10k	swinv2_tiny	SwinV2	0.8682233581164808	4
arniqa_kadid10k	swinv2_small	SwinV2	0.8592007434944238	4
arniqa_kadid10k	fastvit_sa12	FastViT	0.8577679677819083	4
arniqa_kadid10k	resnet50	ResNet	0.8572645600991325	4
arniqa_kadid10k	resnet152	ResNet	0.8555607187112764	4
arniqa_kadid10k	convnext_base	ConvNeXt	0.8538181536555143	4
arniqa_kadid10k	resnext50_32x4d	ResNeXt	0.8469640644361834	4
arniqa_kadid10k	swinv2_base	SwinV2	0.8412329615861215	4
arniqa_kadid10k	dinov3_vith16plus	DINOv3	0.8407682775712515	4
arniqa_kadid10k	convnext_small	ConvNeXt	0.8305065055762082	4
arniqa_kadid10k	dinov3_vitb16	DINOv3	0.8296933085501859	4
arniqa_kadid10k	resnet34	ResNet	0.8296158612143743	4
arniqa_kadid10k	convnext_tiny	ConvNeXt	0.8240009293680297	4
arniqa_kadid10k	swin_base	Swin	0.8092472118959109	4
arniqa_kadid10k	dinov3_vitl16	DINOv3	0.8092472118959108	4
arniqa_kadid10k	swinv2_large	SwinV2	0.8058782527881041	4
arniqa_kadid10k	swin_large	Swin	0.8052586741016109	4
arniqa_kadid10k	fastvit_t12	FastViT	0.8003794919454771	4
arniqa_kadid10k	vgg16_bn	VGG	0.7907760223048327	4
arniqa_kadid10k	vgg13_bn	VGG	0.7824117100371747	4
arniqa_kadid10k	fastvit_s12	FastViT	0.779275092936803	4
arniqa_kadid10k	resnet18	ResNet	0.7789653035935564	4
arniqa_kadid10k	fastvit_sa24	FastViT	0.7765257125154895	4
arniqa_kadid10k	dinov3_vits16	DINOv3	0.7735827137546468	4
arniqa_kadid10k	fastvit_sa36	FastViT	0.7726146220570013	4
arniqa_kadid10k	swin_tiny	Swin	0.7675418215613383	4
arniqa_kadid10k	dinov3_vits16plus	DINOv3	0.7642890334572491	4
arniqa_kadid10k	vgg13	VGG	0.7575511152416358	4
arniqa_kadid10k	swin_small	Swin	0.7560408921933086	4
arniqa_kadid10k	vgg11	VGG	0.7538336431226765	4
arniqa_kadid10k	vgg19	VGG	0.7489931846344486	4
arniqa_kadid10k	dinov3_vit7b16	DINOv3	0.7484123296158612	4
arniqa_kadid10k	vgg16	VGG	0.7423327137546468	4
arniqa_kadid10k	vgg11_bn	VGG	0.724481102850062	4
arniqa_kadid10k	vgg19_bn	VGG	0.6901719330855018	4
arniqa_kadid10k	convnext_large	ConvNeXt	0.6835114622057001	4
arniqa_kadid10k	vit_mae_base	MAE	0.6833565675340768	4
arniqa_kadid10k	fastvit_t8	FastViT	0.6579925650557621	4
arniqa_kadid10k	dino_vits8	DINO	0.6323962205700124	4
arniqa_kadid10k	vit_huge	ViT	0.5934789343246591	4
arniqa_kadid10k	dino_vits16	DINO	0.5751239157372987	4
arniqa_kadid10k	dino_vitb8	DINO	0.5389172862453532	4
arniqa_kadid10k	vit_large	ViT	0.5296236059479554	4
arniqa_kadid10k	ijepa_vith14	I-JEPA	0.523776332094176	4
arniqa_kadid10k	vit_base	ViT	0.5058085501858736	4
arniqa_kadid10k	siglip2_large	SigLIP2	0.49748296158612143	4
arniqa_kadid10k	siglip2_base	SigLIP2	0.46851765799256506	4
arniqa_kadid10k	siglip2_so400m	SigLIP2	0.45635842627013634	4
arniqa_kadid10k	dino_vitb16	DINO	0.4004027261462206	4
arniqa_kadid10k	siglip2_base_naflex	SigLIP2	0.39215458488228006	4
arniqa_kadid10k	siglip2_so400m_naflex	SigLIP2	0.35614157372986366	4
