dataset	model_key	family	layer_index	layer_name	quality_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
CSIQ	clip_vit_b16	CLIP	12	hidden_state_012	0.9648001858736059	8	0.5668259075362914	10.0	10
CSIQ	clip_vit_b32	CLIP	15	image_embeds_l2	0.924953531598513	8	0.5486529377362608	24.0	24
CSIQ	clip_vit_l14	CLIP	27	image_embeds_l2	0.8924256505576208	8	0.5379967980995928	29.0	29
CSIQ	clip_vit_l14_336	CLIP	27	image_embeds_l2	0.9447026022304833	8	0.5569794119669031	20.0	20
CSIQ	convnext_base	ConvNeXt	4	hidden_state_004	0.5961895910780669	8	0.4820911758117733	65.0	65
CSIQ	convnext_large	ConvNeXt	2	hidden_state_002	0.5357806691449815	8	0.45879838787319455	68.0	68
CSIQ	convnext_small	ConvNeXt	4	hidden_state_004	0.6538104089219331	8	0.49177993698683625	61.0	61
CSIQ	convnext_tiny	ConvNeXt	5	canonical_embedding	0.7964684014869888	8	0.5133653901969106	45.0	45
CSIQ	dino_vitb16	DINO	12	hidden_state_012	0.7542983271375465	8	0.5033771650710026	51.0	51
CSIQ	dino_vitb8	DINO	12	hidden_state_012	0.726881970260223	8	0.5017149879397806	56.0	56
CSIQ	dino_vits16	DINO	12	hidden_state_012	0.7450046468401488	8	0.5024753450344313	52.0	52
CSIQ	dino_vits8	DINO	12	hidden_state_012	0.8273698884758364	8	0.5186856093335925	39.0	39
CSIQ	dinov2_base	DINOv2	12	hidden_state_012	0.8718633828996283	8	0.5297423266030244	32.0	32
CSIQ	dinov2_giant	DINOv2	36	hidden_state_036	0.8217936802973977	8	0.5170219666330392	40.0	40
CSIQ	dinov2_large	DINOv2	24	hidden_state_024	0.8325975836431226	8	0.5202205105309775	38.0	38
CSIQ	dinov2_small	DINOv2	12	hidden_state_012	0.8720957249070632	8	0.5302586081969064	31.0	31
CSIQ	dinov3_vit7b16	DINOv3	13	block_013	0.9503949814126395	8	0.5599087223257634	18.0	18
