family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_b32	pcc	0.9120004646840149	0.04891126925023044	21.0	4	12	hidden_state_012	0.903171468401487	1
CLIP	clip_vit_b16	pcc	0.9079344795539033	0.07409349368699655	20.5	4	12	hidden_state_012	0.9022421003717472	2
CLIP	clip_vit_l14_336	pcc	0.8461315055762082	0.16408078887023825	28.5	4	24	hidden_state_024	0.8084921003717471	3
CLIP	clip_vit_l14	pcc	0.8320167286245354	0.1449058073049504	32.625	4	24	hidden_state_024	0.7829344795539033	4
ConvNeXt	convnext_tiny	pcc	0.7205506505576208	0.08024236155139657	52.0	4	5	canonical_embedding	0.641496282527881	1
ConvNeXt	convnext_small	pcc	0.595724907063197	0.15068109151891043	63.25	4	4	hidden_state_004	0.5916589219330854	2
ConvNeXt	convnext_large	pcc	0.569993029739777	0.05291672106884113	67.75	4	4	hidden_state_004	0.5163801115241635	3
ConvNeXt	convnext_base	pcc	0.565578531598513	0.14552173428107573	66.25	4	4	hidden_state_004	0.5406017657992566	4
DINO	dino_vits8	pcc	0.8951556691449813	0.040759097873530145	24.875	4	12	hidden_state_012	0.8909154275092936	1
DINO	dino_vits16	pcc	0.8620469330855018	0.07786982760763063	31.25	4	12	hidden_state_012	0.8501974907063197	2
DINO	dino_vitb16	pcc	0.8508945167286246	0.1031104373545841	32.75	4	12	hidden_state_012	0.8462476765799256	3
DINO	dino_vitb8	pcc	0.8339916356877324	0.05518440609115298	37.0	4	12	hidden_state_012	0.8320748141263941	4
DINOv2	dinov2_base	pcc	0.8731412639405205	0.05478371298352602	30.375	4	12	hidden_state_012	0.7914149628252788	1
DINOv2	dinov2_small	pcc	0.8676812267657992	0.08368256311453784	29.125	4	12	hidden_state_012	0.8467123605947955	2
DINOv2	dinov2_giant	pcc	0.8226068773234201	0.08242125993907676	37.0	4	35	hidden_state_035	0.7868262081784386	3
DINOv2	dinov2_large	pcc	0.7787523234200744	0.14479124174237326	42.375	4	22	hidden_state_022	0.7753252788104089	4
DINOv3	dinov3_vits16plus	pcc	0.9112453531598512	0.04617384570403719	20.0	4	8	block_008	0.8882434944237918	1
DINOv3	dinov3_vitl16	pcc	0.9028229553903345	0.05107783540689228	23.0	4	15	block_015	0.8820864312267658	2
DINOv3	dinov3_vit7b16	pcc	0.900092936802974	0.07397074063395241	21.75	4	21	block_021	0.8761617100371747	3
DINOv3	dinov3_vits16	pcc	0.8992216542750929	0.0505586498496954	23.0	4	10	block_010	0.881157063197026	4
DINOv3	dinov3_vitb16	pcc	0.8661710037174721	0.06744984917488994	30.0	4	8	block_008	0.8499651486988847	5
DINOv3	dinov3_vith16plus	pcc	0.8553671003717472	0.05503036509406002	30.25	4	16	block_016	0.8336431226765799	6
FastViT	fastvit_ma36	pcc	0.7964684014869888	0.07023361085327724	41.25	4	2	feature_map_002	0.7897304832713754	1
FastViT	fastvit_t8	pcc	0.7806691449814127	0.08456754371944382	43.5	4	3	feature_map_003	0.7806691449814127	2
FastViT	fastvit_s12	pcc	0.7429716542750929	0.05141046015520689	49.75	4	3	feature_map_003	0.7413452602230484	3
FastViT	fastvit_sa12	pcc	0.7281598513011153	0.05734165910915879	52.0	4	3	feature_map_003	0.7281598513011153	4
FastViT	fastvit_t12	pcc	0.6983039033457249	0.15626468263403478	52.25	4	3	feature_map_003	0.6788452602230484	5
