model_key	family	quality_rank_correct	global_quality_score_correct	global_best_layer_correct	global_best_layer_index_correct	dataset_count_correct	headline_eligible_correct	quality_rank_wrong	global_quality_score_wrong	global_best_layer_wrong	global_best_layer_index_wrong	dataset_count_wrong	headline_eligible_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed	headline_eligible
siglip2_base	SigLIP2	40	0.8173791821561338	image_embeds_l2	2	4	True	75	0.2699235711216635	pooler_output	1	4	True	0.5474556110344704	0.5474556110344704	35	35	True	True
siglip2_base_naflex	SigLIP2	22	0.8817960037174721	image_embeds_l2	2	4	True	74	0.35079686969631274	pooler_output	1	4	True	0.5309991340211594	0.5309991340211594	52	52	True	True
internvit_300m	InternViT	75	0.3741868029739777	hidden_state_008	8	4	True	31	0.8163925459440139	hidden_state_009	9	4	True	-0.4422057429700362	0.4422057429700362	-44	44	True	True
internvit_300m_v25	InternViT	73	0.43105250929368033	hidden_state_008	8	4	True	23	0.849798649726165	hidden_state_008	8	4	True	-0.4187461404324847	0.4187461404324847	-50	50	False	True
internvit_6b_v25	InternViT	66	0.5483271375464684	hidden_state_045	45	4	True	13	0.9388994771528731	hidden_state_024	24	4	True	-0.3905723396064047	0.3905723396064047	-53	53	True	True
siglip2_so400m_naflex	SigLIP2	41	0.8134874535315986	pooler_output	1	4	True	73	0.4269199510139565	hidden_state_000	0	4	True	0.38656750251764205	0.38656750251764205	32	32	True	True
fastvit_t8	FastViT	39	0.8180181226765799	feature_map_003	3	4	True	70	0.5155213140007495	feature_map_001	1	4	True	0.3024968086758304	0.3024968086758304	31	31	True	True
vgg11	VGG	6	0.9380227695167287	feature_map_005	5	4	True	61	0.6401987339238374	feature_map_002	2	4	True	0.2978240355928913	0.2978240355928913	55	55	True	True
siglip2_large	SigLIP2	55	0.7236291821561338	image_embeds_l2	2	4	True	71	0.4466465650259909	hidden_state_000	0	4	True	0.2769826171301429	0.2769826171301429	16	16	True	True
vgg16	VGG	5	0.9381389405204461	feature_map_005	5	4	True	60	0.6626044303072394	feature_map_001	1	4	True	0.27553451021320674	0.27553451021320674	55	55	True	True
vgg19	VGG	7	0.933869656133829	feature_map_005	5	4	True	58	0.6739177664307273	feature_map_001	1	4	True	0.2599518897031017	0.2599518897031017	51	51	True	True
vit_mae_huge	MAE	53	0.7284502788104089	hidden_state_022	22	4	True	10	0.9532030654322189	hidden_state_007	7	4	True	-0.22475278662180997	0.22475278662180997	-43	43	True	True
convnext_base	ConvNeXt	67	0.5289556226765799	hidden_state_004	4	4	True	45	0.7520060886107787	hidden_state_001	1	4	True	-0.22305046593419875	0.22305046593419875	-22	22	True	True
fastvithd_05b	FastViTHD	1	0.9937848513011153	image_embeddings	44	4	True	41	0.7723775073534082	block_023	23	4	True	0.2214073439477071	0.2214073439477071	40	40	True	True
fastvithd_15b	FastViTHD	2	0.9922455855018587	image_embeddings	44	4	True	38	0.7750051089767569	block_023	23	4	True	0.2172404765251018	0.2172404765251018	36	36	True	True
vgg13	VGG	13	0.9163278345724907	feature_map_005	5	4	True	51	0.7067777268886183	feature_map_002	2	4	True	0.2095501076838724	0.2095501076838724	38	38	True	True
vgg13_bn	VGG	16	0.9015741171003717	feature_map_005	5	4	True	54	0.6997405990266815	feature_map_002	2	4	True	0.2018335180736902	0.2018335180736902	38	38	True	True
fastvithd_7b	FastViTHD	3	0.969301812267658	canonical_embedding	45	4	True	40	0.7727205461416438	block_023	23	4	True	0.19658126612601423	0.19658126612601423	37	37	True	True
