dataset	model_key	family	quality_score_correct	dataset_rank_int_correct	layer_name_correct	layer_index_correct	quality_score_wrong	dataset_rank_int_wrong	layer_name_wrong	layer_index_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed
CSIQ	siglip2_base	SigLIP2	0.9465613382899628	19	image_embeds_l2	2	0.35698404613513457	75	pooler_output	1	0.5895772921548282	0.5895772921548282	56	56	True
CSIQ	internvit_300m	InternViT	0.2520910780669145	75	hidden_state_009	9	0.8143097767455284	32	hidden_state_009	9	-0.562218698678614	0.562218698678614	-43	43	False
CSIQ	siglip2_base_naflex	SigLIP2	0.9638708178438662	11	image_embeds_l2	2	0.41862446660115854	73	image_embeds_l2	2	0.5452463512427077	0.5452463512427077	62	62	False
CSIQ	internvit_300m_v25	InternViT	0.362453531598513	74	hidden_state_018	18	0.8499369111998296	24	hidden_state_009	9	-0.4874833796013166	0.4874833796013166	-50	50	True
CSIQ	siglip2_so400m_naflex	SigLIP2	0.8623373605947956	33	image_embeds_l2	2	0.39462345133959553	74	image_embeds_l2	2	0.46771390925520007	0.46771390925520007	41	41	False
CSIQ	vgg16	VGG	0.9857109665427509	4	feature_map_005	5	0.6006970689690715	66	feature_map_002	2	0.38501389757367943	0.38501389757367943	62	62	True
CSIQ	vgg11	VGG	0.9599210037174721	12	feature_map_005	5	0.5925936583086533	68	feature_map_002	2	0.36732734540881884	0.36732734540881884	56	56	True
CSIQ	vgg19	VGG	0.9951208178438662	2	feature_map_005	5	0.6441922658026923	61	feature_map_002	2	0.3509285520411739	0.3509285520411739	59	59	True
CSIQ	vit_mae_huge	MAE	0.6222118959107806	63	hidden_state_022	22	0.971227598966529	7	hidden_state_007	7	-0.34901570305574836	0.34901570305574836	-56	56	True
CSIQ	fastvit_t8	FastViT	0.8442146840148699	37	feature_map_003	3	0.5208289670787266	70	feature_map_001	1	0.32338571693614326	0.32338571693614326	33	33	True
CSIQ	siglip2_large	SigLIP2	0.7353624535315985	55	image_embeds_l2	2	0.4323624930426238	72	hidden_state_000	0	0.30299996048897465	0.30299996048897465	17	17	True
CSIQ	convnext_large	ConvNeXt	0.5357806691449815	68	hidden_state_002	2	0.8179739948738739	31	hidden_state_002	2	-0.28219332572889244	0.28219332572889244	-37	37	False
CSIQ	fastvithd_15b	FastViTHD	0.9963986988847584	1	image_embeddings	44	0.7279320187041758	49	block_023	23	0.2684666801805826	0.2684666801805826	48	48	True
CSIQ	vgg13	VGG	0.9758364312267658	7	feature_map_005	5	0.7115336548041971	51	feature_map_002	2	0.2643027764225687	0.2643027764225687	44	44	True
CSIQ	fastvit_sa36	FastViT	0.8127323420074349	42	feature_map_002	2	0.549939144431694	69	feature_map_000	0	0.26279319757574093	0.26279319757574093	27	27	True
CSIQ	swinv2_large	SwinV2	0.4107806691449814	73	canonical_embedding	5	0.6668537714132579	59	hidden_state_002	2	-0.25607310226827645	0.25607310226827645	-14	14	True
CSIQ	fastvithd_05b	FastViTHD	0.9946561338289963	3	image_embeddings	44	0.7455829250527386	44	block_021	21	0.24907320877625772	0.24907320877625772	41	41	True
CSIQ	vgg11_bn	VGG	0.9536477695167287	15	feature_map_005	5	0.7053671433185138	53	feature_map_002	2	0.2482806261982149	0.2482806261982149	38	38	True
CSIQ	vgg19_bn	VGG	0.9825743494423792	5	feature_map_005	5	0.7383899858447457	46	feature_map_002	2	0.2441843635976335	0.2441843635976335	41	41	True
