family	model_count	median_quality_correct	median_quality_wrong	mean_delta_quality	median_delta_quality	mean_abs_delta_quality	median_abs_rank_delta	layer_changed_rate
InternViT	3	0.43105250929368033	0.849798649726165	-0.4171747410029752	-0.4187461404324847	0.4171747410029752	50.0	0.6666666666666666
SigLIP2	5	0.8134874535315986	0.4269199510139565	0.3782827098533642	0.38656750251764205	0.3782827098533642	32.0	1.0
VGG	8	0.9291647304832713	0.7032591629576499	0.21979016256186065	0.2056918128787813	0.21979016256186065	38.0	1.0
FastViTHD	3	0.9922455855018587	0.7727205461416438	0.21174302886627439	0.2172404765251018	0.21174302886627439	37.0	1.0
MAE	3	0.7782295539033457	0.9532030654322189	-0.1733761704082473	-0.17715703698042862	0.1733761704082473	38.0	1.0
ConvNeXt	4	0.5416182620817844	0.7247153666690209	-0.14742239552692876	-0.18429303770491234	0.14839587514508296	15.5	0.75
SwinV2	4	0.45113557156133827	0.5945065762731016	-0.12450137249562826	-0.13317906830759274	0.12450137249562826	5.5	0.75
I-JEPA	1	0.7782295539033457	0.8993714895746006	-0.12114193567125486	-0.12114193567125486	0.12114193567125486	30.0	1.0
DINOv2	4	0.8448391031598512	0.962280751576751	-0.12060618252955699	-0.10597024892379775	0.12060618252955699	25.0	1.0
ResNet	5	0.8542634758364313	0.8377008924994424	0.02526364182747205	0.0165625833369889	0.11730460752927678	31.0	1.0
CLIP	4	0.8710647072490707	0.9717123018707535	-0.10366878163448501	-0.10482071298887857	0.10366878163448501	22.5	1.0
DINO	4	0.873896375464684	0.8112468763696284	0.08579481433398467	0.08027844890918201	0.08579481433398467	13.5	1.0
FastViT	7	0.7115473977695167	0.6856903478537286	0.05315276548332854	0.01842210567786995	0.08142794201155466	8.0	0.8571428571428571
SigLIP	3	0.8680297397769516	0.9237631645268016	-0.024193596184400683	-0.05657566452680163	0.06624832347106065	13.0	1.0
Swin	4	0.5245992100371748	0.5843224640467468	-0.028915855338844693	-0.04640782668167981	0.06383572850552946	4.0	1.0
DINOv3	6	0.8613644284386617	0.8222902987442797	0.04106893823195684	0.039074129694381954	0.05781894316878231	15.0	1.0
ViT	5	0.8027416356877324	0.8363343942719543	-0.034839447817585655	-0.0285630544669917	0.0368582786962794	15.0	1.0
ResNeXt	2	0.8764811802973977	0.891195416491116	-0.014714236193718144	-0.014714236193718144	0.014714236193718144	5.0	1.0
