model_key	family	global_best_layer_correct	global_best_layer_wrong	global_best_layer_index_correct	global_best_layer_index_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed	changed_datasets	dataset_layer_change_rate
siglip2_base	SigLIP2	image_embeds_l2	pooler_output	2	1	0.5474556110344704	0.5474556110344704	35	35	True	4	1.0
internvit_300m_v25	InternViT	hidden_state_008	hidden_state_008	8	8	-0.4187461404324847	0.4187461404324847	-50	50	False	4	1.0
vgg11	VGG	feature_map_005	feature_map_002	5	2	0.2978240355928913	0.2978240355928913	55	55	True	4	1.0
siglip2_large	SigLIP2	image_embeds_l2	hidden_state_000	2	0	0.2769826171301429	0.2769826171301429	16	16	True	4	1.0
vgg16	VGG	feature_map_005	feature_map_001	5	1	0.27553451021320674	0.27553451021320674	55	55	True	4	1.0
vgg19	VGG	feature_map_005	feature_map_001	5	1	0.2599518897031017	0.2599518897031017	51	51	True	4	1.0
vit_mae_huge	MAE	hidden_state_022	hidden_state_007	22	7	-0.22475278662180997	0.22475278662180997	-43	43	True	4	1.0
convnext_base	ConvNeXt	hidden_state_004	hidden_state_001	4	1	-0.22305046593419875	0.22305046593419875	-22	22	True	4	1.0
fastvithd_05b	FastViTHD	image_embeddings	block_023	44	23	0.2214073439477071	0.2214073439477071	40	40	True	4	1.0
fastvithd_15b	FastViTHD	image_embeddings	block_023	44	23	0.2172404765251018	0.2172404765251018	36	36	True	4	1.0
vgg13	VGG	feature_map_005	feature_map_002	5	2	0.2095501076838724	0.2095501076838724	38	38	True	4	1.0
vgg13_bn	VGG	feature_map_005	feature_map_002	5	2	0.2018335180736902	0.2018335180736902	38	38	True	4	1.0
fastvithd_7b	FastViTHD	canonical_embedding	block_023	45	23	0.19658126612601423	0.19658126612601423	37	37	True	4	1.0
dinov2_large	DINOv2	hidden_state_022	hidden_state_010	22	10	-0.18524906054007606	0.18524906054007606	-42	42	True	4	1.0
resnet34	ResNet	hidden_state_003	hidden_state_001	3	1	0.18259157555534633	0.18259157555534633	36	36	True	4	1.0
vit_mae_large	MAE	hidden_state_020	hidden_state_007	20	7	-0.17715703698042862	0.17715703698042862	-38	38	True	4	1.0
vgg11_bn	VGG	feature_map_005	feature_map_002	5	2	0.17592233437436822	0.17592233437436822	34	34	True	4	1.0
vgg16_bn	VGG	feature_map_005	feature_map_002	5	2	0.17389924752473596	0.17389924752473596	34	34	True	4	1.0
dino_vitb16	DINO	hidden_state_012	hidden_state_004	12	4	0.17316184920774125	0.17316184920774125	28	28	True	4	1.0
vgg19_bn	VGG	feature_map_005	feature_map_002	5	2	0.16380565732901875	0.16380565732901875	33	33	True	4	1.0
resnet18	ResNet	hidden_state_004	hidden_state_002	4	2	0.15726646449953685	0.15726646449953685	31	31	True	4	1.0
clip_vit_l14	CLIP	hidden_state_024	hidden_state_019	24	19	-0.13028728430258607	0.13028728430258607	-33	33	True	4	1.0
