model_key	family	global_alignment_score_fr	alignment_rank_fr	global_alignment_score_nr	alignment_rank_nr	delta_global_alignment_score	delta_alignment_rank	abs_score_delta
siglip2_base	SigLIP2	0.6638785625774473	52	0.08366982771188629	73	0.580208734865561	21	0.580208734865561
siglip2_base_naflex	SigLIP2	0.6215148698884758	61	0.08720668853375868	72	0.5343081813547171	11	0.5343081813547171
siglip2_so400m_naflex	SigLIP2	0.5775054213135068	71	0.1141833569225162	75	0.4633220643909906	4	0.4633220643909906
siglip2_large	SigLIP2	0.5583662484510532	73	0.17522166954437743	70	0.38314457890667575	-3	0.38314457890667575
internvit_6b_v25	InternViT	0.6445167286245354	57	0.9319147324858218	10	-0.28739800386128644	-47	0.28739800386128644
siglip2_so400m	SigLIP2	0.45947568153655516	75	0.17385345673538943	71	0.2856222248011657	-4	0.2856222248011657
vit_huge	ViT	0.6022304832713754	68	0.8863557683748862	18	-0.28412528510351076	-50	0.28412528510351076
vit_large	ViT	0.549508209417596	74	0.8215985005250801	22	-0.27209029110748406	-52	0.27209029110748406
clip_vit_b16	CLIP	0.6923598203221809	43	0.9527315263575193	7	-0.26037170603533843	-36	0.26037170603533843
vit_base	ViT	0.5839722738537794	70	0.8201746308848337	24	-0.2362023570310543	-46	0.2362023570310543
internvit_300m	InternViT	0.6795035625774474	46	0.8968154360033036	17	-0.21731187342585623	-29	0.21731187342585623
internvit_300m_v25	InternViT	0.7109859045848823	38	0.9273679103429537	12	-0.21638200575807143	-26	0.21638200575807143
dino_vitb8	DINO	0.6316217472118959	59	0.8473669957104699	20	-0.21574524849857402	-39	0.21574524849857402
clip_vit_l14_336	CLIP	0.7489931846344486	28	0.960994353943956	3	-0.2120011693095074	-25	0.2120011693095074
clip_vit_b32	CLIP	0.7381505576208178	31	0.9305039997789806	11	-0.19235344215816275	-20	0.19235344215816275
clip_vit_l14	CLIP	0.784328531598513	23	0.9702125502930826	2	-0.1858840186945696	-21	0.1858840186945696
dino_vitb16	DINO	0.5587050805452293	72	0.7421806970217997	33	-0.1834756164765704	-39	0.1834756164765704
ijepa_vith14	I-JEPA	0.6145446096654275	63	0.79436146769442	27	-0.1798168580289925	-36	0.1798168580289925
dinov2_giant	DINOv2	0.7861485439900868	22	0.9584322777469616	4	-0.17228373375687478	-18	0.17228373375687478
vgg11	VGG	0.7507163878562577	27	0.5798554801294498	61	0.17086090772680795	34	0.17086090772680795
vit_mae_base	MAE	0.713018897149938	37	0.8773580254682725	19	-0.16433912831833442	-18	0.16433912831833442
resnet101	ResNet	0.8667324969021066	3	0.7079033738696374	39	0.1588291230324692	36	0.1588291230324692
vgg19	VGG	0.8089374225526642	20	0.6573662007586862	53	0.15157122179397797	33	0.15157122179397797
convnext_tiny	ConvNeXt	0.6939862143742256	42	0.5450453735379052	65	0.14894084083632042	23	0.14894084083632042
fastvithd_7b	FastViTHD	0.8127710656753407	18	0.6659027497618109	52	0.1468683159135299	34	0.1468683159135299
