model_key	family	joint_score_fr	joint_rank_fr	global_quality_score_fr	global_alignment_score_fr	joint_score_nr	joint_rank_nr	global_quality_score_nr	global_alignment_score_nr	delta_joint_score	delta_joint_rank	delta_quality_score	delta_alignment_score	abs_joint_delta
siglip2_base_naflex	SigLIP2	0.751655436802974	43	0.8817960037174721	0.6215148698884758	0.19081765129567554	74	0.2944286140575924	0.08720668853375868	0.5608377855072985	31	0.5873673896598797	0.5343081813547171	0.5608377855072985
siglip2_base	SigLIP2	0.7406288723667905	45	0.8173791821561338	0.6638785625774473	0.1922398946492624	73	0.3008099615866385	0.08366982771188629	0.5483889777175281	28	0.5165692205694954	0.580208734865561	0.5483889777175281
siglip2_so400m_naflex	SigLIP2	0.6954964374225527	55	0.8134874535315986	0.5775054213135068	0.16200730551640186	75	0.2098312541102875	0.1141833569225162	0.5334891319061509	20	0.6036561994213111	0.4633220643909906	0.5334891319061509
internvit_300m	InternViT	0.5268451827757126	73	0.3741868029739777	0.6795035625774474	0.9082703197281792	12	0.9197252034530549	0.8968154360033036	-0.3814251369524666	-61	-0.5455384004790771	-0.21731187342585623	0.3814251369524666
internvit_300m_v25	InternViT	0.5710192069392813	67	0.43105250929368033	0.7109859045848823	0.9444368864405378	7	0.9615058625381219	0.9273679103429537	-0.3734176795012565	-60	-0.5304533532444415	-0.21638200575807143	0.3734176795012565
internvit_6b_v25	InternViT	0.5964219330855018	66	0.5483271375464684	0.6445167286245354	0.9600636129019184	4	0.988212493318015	0.9319147324858218	-0.3636416798164166	-62	-0.4398853557715465	-0.28739800386128644	0.3636416798164166
siglip2_large	SigLIP2	0.6409977153035935	61	0.7236291821561338	0.5583662484510532	0.28535566952763997	71	0.39548966951090253	0.17522166954437743	0.35564204577595354	10	0.3281395126452313	0.38314457890667575	0.35564204577595354
siglip2_so400m	SigLIP2	0.5249719253407683	74	0.5904681691449813	0.45947568153655516	0.24217145419765218	72	0.31048945165991493	0.17385345673538943	0.28280047114311613	-2	0.2799787174850664	0.2856222248011657	0.28280047114311613
vgg11	VGG	0.8443695786864932	16	0.9380227695167287	0.7507163878562577	0.5822088142822162	65	0.5845621484349824	0.5798554801294498	0.26216076440427705	49	0.35346062108174625	0.17086090772680795	0.26216076440427705
vgg19	VGG	0.8714035393432467	9	0.933869656133829	0.8089374225526642	0.6378997000594162	57	0.6184331993601462	0.6573662007586862	0.23350383928383045	48	0.3154364567736828	0.15157122179397797	0.23350383928383045
fastvit_t8	FastViT	0.7162620043370508	49	0.8180181226765799	0.6145058859975217	0.5054296112968619	70	0.4766141356070668	0.5342450869866572	0.21083239304018886	21	0.34140398706951314	0.08026079901086447	0.21083239304018886
resnext50_32x4d	ResNeXt	0.8619114002478315	10	0.8687267657992566	0.8550960346964065	0.654753104372811	47	0.568533420295753	0.740972788449869	0.20715829587502055	37	0.3001933455035035	0.11412324624653747	0.20715829587502055
resnet50	ResNet	0.8487743959107807	15	0.8542634758364313	0.8432853159851301	0.6507593656759345	51	0.574091197496566	0.7274275338553031	0.19801503023484623	36	0.28017227833986524	0.115857782129827	0.19801503023484623
resnet34	ResNet	0.8816023853779431	7	0.9280901486988848	0.8351146220570013	0.6846627732997679	43	0.6573220664871517	0.7120034801123841	0.19693961207817523	36	0.2707680822117331	0.12311114194461714	0.19693961207817523
vgg16	VGG	0.849587592936803	14	0.9381389405204461	0.7610362453531598	0.6532487173821615	48	0.6294741373715772	0.6770232973927457	0.19633887555464147	34	0.3086648031488689	0.08401294796041414	0.19633887555464147
fastvithd_7b	FastViTHD	0.8910364389714993	4	0.969301812267658	0.8127710656753407	0.6956037879451883	41	0.7253048261285657	0.6659027497618109	0.19543265102631102	37	0.24399698613909226	0.1468683159135299	0.19543265102631102
vgg13	VGG	0.8434837747831474	17	0.9163278345724907	0.7706397149938042	0.6510232721248912	50	0.6120250506109153	0.6900214936388671	0.1924605026582562	33	0.3043027839615754	0.08061822135493713	0.1924605026582562
swinv2_large	SwinV2	0.5118058782527881	75	0.42713173791821557	0.5964800185873607	0.7029580500731687	40	0.752240863298883	0.6536752368474545	-0.19115217182038058	-35	-0.3251091253806674	-0.05719521826009388	0.19115217182038058
vgg11_bn	VGG	0.8345095647459728	20	0.9289904739776952	0.7400286555142503	0.6484634500929067	52	0.5606506582738743	0.7362762419119391	0.18604611465306609	32	0.3683398157038209	0.0037524136023112664	0.18604611465306609
fastvithd_15b	FastViTHD	0.9039120585501859	2	0.9922455855018587	0.815578531598513	0.7253595952466663	34	0.7603317737644121	0.6903874167289203	0.1785524633035196	32	0.23191381173744663	0.12519111486959267	0.1785524633035196
fastvithd_05b	FastViTHD	0.8958526951672863	3	0.9937848513011153	0.7979205390334573	0.7198715205282944	35	0.7514475110441183	0.6882955300124706	0.17598117463899188	32	0.24233734025699694	0.10962500902098671	0.17598117463899188
resnet18	ResNet	0.8838967627013631	6	0.9319818773234201	0.8358116480793061	0.7108894271586516	39	0.6674871779019955	0.7542916764153076	0.17300733554271153	33	0.26449469942142456	0.08151997166399849	0.17300733554271153
resnet101	ResNet	0.8168031675960348	23	0.7668738382899629	0.8667324969021066	0.644302863929052	55	0.5807023539884666	0.7079033738696374	0.17250030366698277	32	0.18617148430149633	0.1588291230324692	0.17250030366698277
clip_vit_l14_336	CLIP	0.7927848125774474	32	0.8365764405204461	0.7489931846344486	0.9645052204516196	2	0.9680160869592831	0.960994353943956	-0.1717204078741722	-30	-0.131439646438837	-0.2120011693095074	0.1717204078741722
vgg13_bn	VGG	0.8124854786245352	25	0.9015741171003717	0.7233968401486989	0.6461900942147529	53	0.6078353406743641	0.6845448477551418	0.1662953844097823	28	0.29373877642600765	0.03885199239355708	0.1662953844097823
