alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible
1	dinov2_large	DINOv2	0.9771330651951697	0.012555600596459634	4.75	4	10	hidden_state_010	0.9763780432262048	4	1.0	True
2	clip_vit_l14	CLIP	0.9702125502930826	0.02248586479121292	5.5	4	6	hidden_state_006	0.9625356350270519	4	1.0	True
3	clip_vit_l14_336	CLIP	0.960994353943956	0.03565718519509514	6.25	4	6	hidden_state_006	0.9476808264309604	4	1.0	True
4	dinov2_giant	DINOv2	0.9584322777469616	0.01809462925856947	7.75	4	15	hidden_state_015	0.9509850076774177	4	1.0	True
5	dinov2_base	DINOv2	0.9547557543359175	0.02323781355981897	9.5	4	4	hidden_state_004	0.9513343141974036	4	1.0	True
6	siglip_so400m	SigLIP	0.9539278180119327	0.034677205386516856	7.5	4	7	hidden_state_007	0.9300142951527474	4	1.0	True
7	clip_vit_b16	CLIP	0.9527315263575193	0.028345882422753668	8.0	4	4	hidden_state_004	0.9386043858190231	4	1.0	True
8	vit_mae_large	MAE	0.9456426975345483	0.04864418461836641	9.0	4	8	hidden_state_008	0.9310148429081119	4	1.0	True
9	vit_tiny	ViT	0.9373001050255727	0.023049354934464555	11.25	4	3	block_003	0.9373001050255727	4	1.0	True
10	internvit_6b_v25	InternViT	0.9319147324858218	0.06746115168539302	11.5	4	23	hidden_state_023	0.9233195776456482	4	1.0	True
11	clip_vit_b32	CLIP	0.9305039997789806	0.039980021529169976	12.5	4	4	hidden_state_004	0.8912208091478023	4	1.0	True
12	internvit_300m_v25	InternViT	0.9273679103429537	0.05376339162014691	11.75	4	9	hidden_state_009	0.9273679103429537	4	1.0	True
13	siglip_large	SigLIP	0.9255523011481441	0.01765793725643476	13.5	4	8	hidden_state_008	0.9127369426054386	4	1.0	True
14	vit_mae_huge	MAE	0.9216213994214909	0.06161606516355305	12.25	4	7	hidden_state_007	0.9082245755889251	4	1.0	True
15	vit_small	ViT	0.9214877690676531	0.04291351065265192	12.0	4	3	block_003	0.9187773972908065	4	1.0	True
16	dinov2_small	DINOv2	0.9183877401372332	0.029816386829303237	13.5	4	5	hidden_state_005	0.916836624472388	4	1.0	True
17	internvit_300m	InternViT	0.8968154360033036	0.060951286219796064	15.75	4	9	hidden_state_009	0.8883566199915778	4	1.0	True
18	vit_huge	ViT	0.8863557683748862	0.06090135524502629	17.25	4	10	hidden_state_010	0.8668296646478251	4	1.0	True
19	vit_mae_base	MAE	0.8773580254682725	0.039313667782330454	19.0	4	3	hidden_state_003	0.876282635997223	4	1.0	True
20	dino_vitb8	DINO	0.8473669957104699	0.07623108192332133	20.75	4	6	hidden_state_006	0.8368806759125037	4	1.0	True
21	fastvit_sa24	FastViT	0.8328775870160159	0.050953324927590346	25.0	4	2	feature_map_002	0.8328775870160159	4	1.0	True
22	vit_large	ViT	0.8215985005250801	0.12285937660897342	26.75	4	6	hidden_state_006	0.8011180854749578	4	1.0	True
23	vgg19_bn	VGG	0.8204029960348967	0.026212361285763732	25.25	4	2	feature_map_002	0.8204029960348967	4	1.0	True
24	vit_base	ViT	0.8201746308848337	0.12969206797089033	28.0	4	3	hidden_state_003	0.8077561985467597	4	1.0	True
25	fastvit_ma36	FastViT	0.8100625764660968	0.08353913944963492	29.75	4	1	feature_map_001	0.8100625764660968	4	1.0	True
26	siglip_base	SigLIP	0.8027908310570163	0.07043053659094654	28.25	4	2	hidden_state_002	0.7944676708667927	4	1.0	True
27	ijepa_vith14	I-JEPA	0.79436146769442	0.07977565830183858	27.75	4	21	hidden_state_021	0.7918470573411056	4	1.0	True
28	resnext101_32x8d	ResNeXt	0.7912454634107399	0.0431976471938601	28.0	4	2	feature_map_002	0.7912454634107399	4	1.0	True
29	dino_vits16	DINO	0.7676991635166854	0.09743813471610739	34.0	4	5	hidden_state_005	0.7513639663294104	4	1.0	True
30	dino_vits8	DINO	0.7599262569957455	0.07231558270172571	35.0	4	5	hidden_state_005	0.7598439539884909	4	1.0	True
31	resnet18	ResNet	0.7542916764153076	0.01610534142365506	34.0	4	1	hidden_state_001	0.7305890124275594	4	1.0	True
32	vgg16_bn	VGG	0.7490841339398362	0.015004628450284897	35.0	4	1	feature_map_001	0.710478587850382	4	1.0	True
33	dino_vitb16	DINO	0.7421806970217997	0.1015901178094967	39.0	4	5	hidden_state_005	0.7402390846548483	4	1.0	True
34	resnext50_32x4d	ResNeXt	0.740972788449869	0.039889839818077207	36.0	4	2	feature_map_002	0.740972788449869	4	1.0	True
