joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
1	4	clip_vit_l14	CLIP	0.9607250663624677	0.043872249920402076	8.5	4	19	hidden_state_019	0.8925904137760339	4	0	1.0	True	0.9702125502930826	hidden_state_006	0.9654688083277752
2	2	clip_vit_l14_336	CLIP	0.9680160869592831	0.04295237143561191	6.5	4	20	hidden_state_020	0.9116025150822026	4	0	1.0	True	0.960994353943956	hidden_state_006	0.9645052204516196
3	5	dinov2_large	DINOv2	0.9464842442209234	0.014176533421860277	8.75	4	15	hidden_state_015	0.8669651792406179	4	0	1.0	True	0.9771330651951697	hidden_state_010	0.9618086547080466
4	1	internvit_6b_v25	InternViT	0.988212493318015	0.012950901390033161	3.25	4	43	hidden_state_043	0.8424693611349119	4	2	1.0	True	0.9319147324858218	hidden_state_023	0.9600636129019184
5	6	dinov2_base	DINOv2	0.9461080363789107	0.01878208292842987	8.0	4	3	hidden_state_003	0.9005307361644946	4	0	1.0	True	0.9547557543359175	hidden_state_004	0.9504318953574141
6	7	dinov2_giant	DINOv2	0.9312217837907338	0.02324011986889627	10.5	4	21	hidden_state_021	0.8645760779827094	4	0	1.0	True	0.9584322777469616	hidden_state_015	0.9448270307688478
7	3	internvit_300m_v25	InternViT	0.9615058625381219	0.04454962243963859	6.0	4	5	hidden_state_005	0.8485233072571072	4	0	1.0	True	0.9273679103429537	hidden_state_009	0.9444368864405378
8	10	siglip_so400m	SigLIP	0.9181444113858542	0.08095936323881814	15.5	4	10	hidden_state_010	0.8804505039895953	4	1	1.0	True	0.9539278180119327	hidden_state_007	0.9360361146988935
9	12	clip_vit_b16	CLIP	0.8922910203794173	0.06842738164654094	19.0	4	9	hidden_state_009	0.7068607516668104	4	0	1.0	True	0.9527315263575193	hidden_state_004	0.9225112733684684
10	9	dinov2_small	DINOv2	0.9187538555735085	0.03834190419820896	14.25	4	3	hidden_state_003	0.869573633617381	4	0	1.0	True	0.9183877401372332	hidden_state_005	0.9185707978553709
