dataset	candidate_model_key	family	candidate_layer_index	candidate_layer_name	alignment_score	slice_count	raw_value_mean	dataset_rank
AGIQA-3K	clip_vit_b16	CLIP	6	hidden_state_006	0.978172747249724	12	0.5588835571277325	3.0
AGIQA-3K	clip_vit_b32	CLIP	6	hidden_state_006	0.9672598373161754	12	0.5407939228775773	6.0
AGIQA-3K	clip_vit_l14	CLIP	8	hidden_state_008	0.9816596684652216	12	0.5652721866328907	2.0
AGIQA-3K	clip_vit_l14_336	CLIP	8	hidden_state_008	0.9824348582649275	12	0.5672219588187699	1.0
AGIQA-3K	convnext_base	ConvNeXt	1	hidden_state_001	0.6717507511173624	12	0.36005581932904906	48.0
AGIQA-3K	convnext_large	ConvNeXt	2	hidden_state_002	0.6483368668232522	12	0.35256903515755456	52.0
AGIQA-3K	convnext_small	ConvNeXt	1	hidden_state_001	0.6437603095944712	12	0.348681467941407	55.0
AGIQA-3K	convnext_tiny	ConvNeXt	1	hidden_state_001	0.5800150624679751	12	0.3201033018987927	59.0
AGIQA-3K	dino_vitb16	DINO	5	hidden_state_005	0.7372561519406396	12	0.3820736680520367	39.0
AGIQA-3K	dino_vitb8	DINO	6	hidden_state_006	0.8075339134790748	12	0.41249784829764286	24.0
AGIQA-3K	dino_vits16	DINO	5	hidden_state_005	0.8068376038983592	12	0.41103857492831275	25.0
AGIQA-3K	dino_vits8	DINO	5	hidden_state_005	0.7690554835292945	12	0.3969305359789323	30.0
AGIQA-3K	dinov2_base	DINOv2	5	hidden_state_005	0.9644724496685454	12	0.5422711826230334	7.0
AGIQA-3K	dinov2_giant	DINOv2	17	hidden_state_017	0.9563540917985206	12	0.5249359631238931	8.0
AGIQA-3K	dinov2_large	DINOv2	12	hidden_state_012	0.976395040734003	12	0.5563604535665939	4.0
AGIQA-3K	dinov2_small	DINOv2	5	hidden_state_005	0.9376910749718869	12	0.5070837231446347	10.0
AGIQA-3K	dinov3_vit7b16	DINOv3	10	block_010	0.6910544100132169	12	0.36762675856347427	45.0
AGIQA-3K	dinov3_vitb16	DINOv3	3	block_003	0.7401220615864653	12	0.3844357000622329	37.0
AGIQA-3K	dinov3_vith16plus	DINOv3	10	block_010	0.7584096630202656	12	0.3897303103313315	32.0
AGIQA-3K	dinov3_vitl16	DINOv3	9	block_009	0.7643362111359094	12	0.3970399100680477	31.0
AGIQA-3K	dinov3_vits16	DINOv3	4	block_004	0.6976249674735518	12	0.3696559469196688	44.0
AGIQA-3K	dinov3_vits16plus	DINOv3	1	block_001	0.7406118210569633	12	0.3874568140393326	36.0
AGIQA-3K	fastvit_ma36	FastViT	1	feature_map_001	0.6859096429599011	12	0.3592898760278667	47.0
AGIQA-3K	fastvit_s12	FastViT	1	feature_map_001	0.7512264047126954	12	0.3857341070596873	34.0
AGIQA-3K	fastvit_sa12	FastViT	1	feature_map_001	0.6243816392642088	12	0.3310412503820321	57.0
AGIQA-3K	fastvit_sa24	FastViT	2	feature_map_002	0.7843054442682953	12	0.4012356312735769	29.0
AGIQA-3K	fastvit_sa36	FastViT	0	feature_map_000	0.4695331781234274	12	0.2694854878501747	69.0
AGIQA-3K	fastvit_t12	FastViT	1	feature_map_001	0.6455415983181391	12	0.344297166491179	53.0
AGIQA-3K	fastvit_t8	FastViT	1	feature_map_001	0.5495580558411769	12	0.30117049794782846	61.0
AGIQA-3K	fastvithd_05b	FastViTHD	5	block_005	0.5603063991416457	12	0.31362333951962085	60.0
AGIQA-3K	fastvithd_15b	FastViTHD	5	block_005	0.548309226506734	12	0.30636636722130484	62.0
AGIQA-3K	fastvithd_7b	FastViTHD	5	block_005	0.5012588595166942	12	0.28676041488562476	65.0
AGIQA-3K	ijepa_vith14	I-JEPA	21	hidden_state_021	0.7846951884929164	12	0.40415619536327885	28.0
AGIQA-3K	internvit_300m	InternViT	9	hidden_state_009	0.8439858167491434	12	0.4355054985811455	21.0
AGIQA-3K	internvit_300m_v25	InternViT	9	hidden_state_009	0.8751845553534235	12	0.4544968354072391	17.0
AGIQA-3K	internvit_6b_v25	InternViT	23	hidden_state_023	0.9698883898634406	12	0.5815648700288966	5.0
AGIQA-3K	resnet101	ResNet	2	hidden_state_002	0.7518707006340222	12	0.38696578571042234	33.0
AGIQA-3K	resnet152	ResNet	2	hidden_state_002	0.7347577051860054	12	0.3797127458188836	40.0
AGIQA-3K	resnet18	ResNet	2	hidden_state_002	0.7467702813150887	12	0.39018282975812707	35.0
AGIQA-3K	resnet34	ResNet	1	hidden_state_001	0.6624788506442816	12	0.35297622340219786	50.0
AGIQA-3K	resnet50	ResNet	2	hidden_state_002	0.7909518728929452	12	0.40333646993675615	27.0
AGIQA-3K	resnext101_32x8d	ResNeXt	2	feature_map_002	0.8460937311934082	12	0.431876264891234	20.0
AGIQA-3K	resnext50_32x4d	ResNeXt	2	feature_map_002	0.7953552661895739	12	0.4049316834481557	26.0
AGIQA-3K	siglip2_base	SigLIP2	1	pooler_output	0.07447790035615745	12	0.027290414704849983	75.0
AGIQA-3K	siglip2_base_naflex	SigLIP2	1	pooler_output	0.11832749290149673	12	0.08365664654090808	74.0
AGIQA-3K	siglip2_large	SigLIP2	1	pooler_output	0.19878567449250142	12	0.1341883024328461	72.0
AGIQA-3K	siglip2_so400m	SigLIP2	1	pooler_output	0.21759104826294437	12	0.1528739802951424	71.0
AGIQA-3K	siglip2_so400m_naflex	SigLIP2	1	pooler_output	0.18707536506997627	12	0.1301748104247896	73.0
AGIQA-3K	siglip_base	SigLIP	3	hidden_state_003	0.6910140027075761	12	0.3600881171474202	46.0
AGIQA-3K	siglip_large	SigLIP	8	hidden_state_008	0.9131399112987997	12	0.4861247816606875	13.0
AGIQA-3K	siglip_so400m	SigLIP	8	hidden_state_008	0.9176422451789211	12	0.5052163593299305	11.0
AGIQA-3K	swin_base	Swin	3	hidden_state_003	0.6451145991308703	12	0.33896150123181296	54.0
AGIQA-3K	swin_large	Swin	3	hidden_state_003	0.48328226537684255	12	0.2729108875503083	67.0
AGIQA-3K	swin_small	Swin	3	hidden_state_003	0.47359740797164496	12	0.2677987442200394	68.0
AGIQA-3K	swin_tiny	Swin	2	hidden_state_002	0.4967677737695259	12	0.27850962644465416	66.0
AGIQA-3K	swinv2_base	SwinV2	2	hidden_state_002	0.5054547713290393	12	0.2835342860077919	64.0
AGIQA-3K	swinv2_large	SwinV2	3	hidden_state_003	0.6596008331355955	12	0.35078866134723574	51.0
AGIQA-3K	swinv2_small	SwinV2	2	hidden_state_002	0.4377726060247579	12	0.2534794008198751	70.0
AGIQA-3K	swinv2_tiny	SwinV2	2	hidden_state_002	0.52340714974317	12	0.2905291018609025	63.0
AGIQA-3K	vgg11	VGG	2	feature_map_002	0.6027990513167051	12	0.33183978581640666	58.0
AGIQA-3K	vgg11_bn	VGG	2	feature_map_002	0.6997529422823193	12	0.3659404779252347	43.0
AGIQA-3K	vgg13	VGG	1	feature_map_001	0.7185259328929224	12	0.38419574821327024	41.0
AGIQA-3K	vgg13_bn	VGG	1	feature_map_001	0.6250725038888449	12	0.3362213922641817	56.0
AGIQA-3K	vgg16	VGG	1	feature_map_001	0.7046000994994079	12	0.37577715260698846	42.0
AGIQA-3K	vgg16_bn	VGG	2	feature_map_002	0.7399829286298084	12	0.3829552669472706	38.0
AGIQA-3K	vgg19	VGG	1	feature_map_001	0.6713001810018032	12	0.3612004538565215	49.0
AGIQA-3K	vgg19_bn	VGG	2	feature_map_002	0.8181613930834155	12	0.42414816754830564	23.0
AGIQA-3K	vit_base	ViT	4	hidden_state_004	0.8653742490259261	12	0.45036773852696976	18.0
AGIQA-3K	vit_huge	ViT	10	hidden_state_010	0.8788034451096843	12	0.45344919545406154	16.0
AGIQA-3K	vit_large	ViT	6	hidden_state_006	0.8470672320250537	12	0.4324027410262809	19.0
AGIQA-3K	vit_mae_base	MAE	3	hidden_state_003	0.8380682241533667	12	0.4310530324016713	22.0
AGIQA-3K	vit_mae_huge	MAE	7	hidden_state_007	0.8993312877493073	12	0.46919761769088203	14.0
AGIQA-3K	vit_mae_large	MAE	9	hidden_state_009	0.8970164649740303	12	0.46819324388181444	15.0
AGIQA-3K	vit_small	ViT	3	block_003	0.9417240679668075	12	0.5030341324051949	9.0
AGIQA-3K	vit_tiny	ViT	3	block_003	0.914554023707912	12	0.4821909788727283	12.0
LIVEC	clip_vit_b16	CLIP	3	hidden_state_003	0.9126500604704221	12	0.3430614972222186	17.0
LIVEC	clip_vit_b32	CLIP	4	hidden_state_004	0.8640576854645582	12	0.3226524533221107	25.0
LIVEC	clip_vit_l14	CLIP	6	hidden_state_006	0.933063619231997	12	0.3554976494422794	16.0
LIVEC	clip_vit_l14_336	CLIP	5	hidden_state_005	0.9011154132641327	12	0.3413679132508444	18.0
LIVEC	convnext_base	ConvNeXt	1	hidden_state_001	0.604905312586887	12	0.2533103333057756	57.0
LIVEC	convnext_large	ConvNeXt	1	hidden_state_001	0.43071416884348745	12	0.20604870689961055	70.0
LIVEC	convnext_small	ConvNeXt	1	hidden_state_001	0.7058290597850525	12	0.2765986282218637	43.0
LIVEC	convnext_tiny	ConvNeXt	1	hidden_state_001	0.5642220769101388	12	0.23578647293620256	66.0
LIVEC	dino_vitb16	DINO	5	hidden_state_005	0.8712243887452931	12	0.3195520140734419	23.0
LIVEC	dino_vitb8	DINO	6	hidden_state_006	0.9533638317080119	12	0.3579804512281805	9.0
LIVEC	dino_vits16	DINO	5	hidden_state_005	0.870906089491648	12	0.32160534716422223	24.0
LIVEC	dino_vits8	DINO	5	hidden_state_005	0.859624308194343	12	0.3154881889289913	27.0
LIVEC	dinov2_base	DINOv2	4	hidden_state_004	0.9799027381602117	12	0.37583223378581104	6.0
LIVEC	dinov2_giant	DINOv2	15	hidden_state_015	0.9876314530865088	12	0.3826947557087472	3.0
LIVEC	dinov2_large	DINOv2	10	hidden_state_010	0.9972938484932738	12	0.40057601525100545	2.0
LIVEC	dinov2_small	DINOv2	5	hidden_state_005	0.9501839856930528	12	0.36475662555038824	10.0
LIVEC	dinov3_vit7b16	DINOv3	9	block_009	0.6044647280661708	12	0.24847077253371572	58.0
LIVEC	dinov3_vitb16	DINOv3	3	block_003	0.7227676431180998	12	0.27564246674257564	39.0
LIVEC	dinov3_vith16plus	DINOv3	11	block_011	0.7328513148455172	12	0.2779487481791604	36.0
LIVEC	dinov3_vitl16	DINOv3	9	block_009	0.7186899658001719	12	0.2797148443409055	41.0
LIVEC	dinov3_vits16	DINOv3	2	block_002	0.6386200758368888	12	0.26199700123396574	52.0
LIVEC	dinov3_vits16plus	DINOv3	0	block_000	0.6601030228345925	12	0.26556899556618235	49.0
LIVEC	fastvit_ma36	FastViT	1	feature_map_001	0.8567400921759168	12	0.31772240179363553	28.0
LIVEC	fastvit_s12	FastViT	1	feature_map_001	0.5711280479781597	12	0.2479727625434315	63.0
LIVEC	fastvit_sa12	FastViT	1	feature_map_001	0.6310559811940992	12	0.25448072901976765	54.0
LIVEC	fastvit_sa24	FastViT	2	feature_map_002	0.8451715483517376	12	0.3113570566830047	29.0
LIVEC	fastvit_sa36	FastViT	0	feature_map_000	0.5767493801352661	12	0.24382026781858945	60.0
LIVEC	fastvit_t12	FastViT	0	feature_map_000	0.6033015877919543	12	0.2534082603275217	59.0
LIVEC	fastvit_t8	FastViT	1	feature_map_001	0.5387011416724162	12	0.23497649595959558	69.0
LIVEC	fastvithd_05b	FastViTHD	5	block_005	0.7301789169329768	12	0.2809971177533596	37.0
LIVEC	fastvithd_15b	FastViTHD	5	block_005	0.7697119559807364	12	0.2910176685116304	33.0
LIVEC	fastvithd_7b	FastViTHD	5	block_005	0.7053408483708457	12	0.27473060600882365	44.0
LIVEC	ijepa_vith14	I-JEPA	20	hidden_state_020	0.8937240197441363	12	0.32874543999714656	19.0
LIVEC	internvit_300m	InternViT	8	hidden_state_008	0.9362434652469562	12	0.35772470777852833	14.0
LIVEC	internvit_300m_v25	InternViT	9	hidden_state_009	0.9764040923086429	12	0.37573201422189045	7.0
LIVEC	internvit_6b_v25	InternViT	21	hidden_state_021	0.8161568300683882	12	0.30756752208994353	30.0
LIVEC	resnet101	ResNet	2	hidden_state_002	0.6520269748427026	12	0.25840725185579877	50.0
LIVEC	resnet152	ResNet	2	hidden_state_002	0.6338977906842368	12	0.2515275662924028	53.0
LIVEC	resnet18	ResNet	1	hidden_state_001	0.7800206039948238	12	0.2911002670624002	31.0
LIVEC	resnet34	ResNet	1	hidden_state_001	0.7328822079656194	12	0.27937232424551167	35.0
LIVEC	resnet50	ResNet	1	hidden_state_001	0.6759370341002837	12	0.26634060206898963	47.0
LIVEC	resnext101_32x8d	ResNeXt	2	feature_map_002	0.7259469885500943	12	0.2766179092077246	38.0
LIVEC	resnext50_32x4d	ResNeXt	2	feature_map_002	0.7012138993868288	12	0.26969680976772087	45.0
LIVEC	siglip2_base	SigLIP2	1	pooler_output	0.06169735097216072	12	0.019216149030776106	73.0
LIVEC	siglip2_base_naflex	SigLIP2	1	pooler_output	0.05248261975946844	12	0.007021352122752673	75.0
LIVEC	siglip2_large	SigLIP2	0	hidden_state_000	0.11573256455231863	12	0.06845344256959994	71.0
LIVEC	siglip2_so400m	SigLIP2	1	pooler_output	0.09832979778736606	12	0.041915584738719924	72.0
LIVEC	siglip2_so400m_naflex	SigLIP2	1	pooler_output	0.05937893672745747	12	0.01586968211579654	74.0
LIVEC	siglip_base	SigLIP	3	hidden_state_003	0.883077692764488	12	0.3242026565594641	21.0
LIVEC	siglip_large	SigLIP	8	hidden_state_008	0.944400321631706	12	0.36121155243257347	13.0
LIVEC	siglip_so400m	SigLIP	5	hidden_state_005	0.9830460416187538	12	0.381101683509486	4.0
LIVEC	swin_base	Swin	2	hidden_state_002	0.5691939384265791	12	0.239527606080441	64.0
LIVEC	swin_large	Swin	1	hidden_state_001	0.5748085484695892	12	0.2416521803258178	62.0
LIVEC	swin_small	Swin	2	hidden_state_002	0.5563226631929069	12	0.2333472389674965	68.0
LIVEC	swin_tiny	Swin	2	hidden_state_002	0.6115125786487349	12	0.24948410544209323	55.0
LIVEC	swinv2_base	SwinV2	2	hidden_state_002	0.6079000859286415	12	0.25037167124739856	56.0
LIVEC	swinv2_large	SwinV2	2	hidden_state_002	0.5648623940337375	12	0.23925798810750162	65.0
LIVEC	swinv2_small	SwinV2	2	hidden_state_002	0.5756764878183851	12	0.24024786293833958	61.0
LIVEC	swinv2_tiny	SwinV2	2	hidden_state_002	0.6456828723965395	12	0.2599946994292174	51.0
LIVEC	vgg11	VGG	2	feature_map_002	0.5580238586422359	12	0.2336950536579798	67.0
LIVEC	vgg11_bn	VGG	2	feature_map_002	0.7770796075658395	12	0.2905043347234326	32.0
LIVEC	vgg13	VGG	1	feature_map_001	0.7087633340999404	12	0.27743912883608507	42.0
LIVEC	vgg13_bn	VGG	1	feature_map_001	0.7189166583712918	12	0.27543689216596934	40.0
LIVEC	vgg16	VGG	1	feature_map_001	0.6878096463195424	12	0.27414793151749756	46.0
LIVEC	vgg16_bn	VGG	1	feature_map_001	0.7589878241060161	12	0.29015221174435585	34.0
LIVEC	vgg19	VGG	1	feature_map_001	0.6719606175649128	12	0.27079004509446564	48.0
LIVEC	vgg19_bn	VGG	2	feature_map_002	0.8636085195215913	12	0.31768034944118356	26.0
LIVEC	vit_base	ViT	3	hidden_state_003	0.8843013320655713	12	0.32698246255710706	20.0
LIVEC	vit_huge	ViT	8	hidden_state_008	0.9499511431026533	12	0.3553022272782415	11.0
LIVEC	vit_large	ViT	6	hidden_state_006	0.8789065494558806	12	0.3265712308460582	22.0
LIVEC	vit_mae_base	MAE	3	hidden_state_003	0.9360136261543444	12	0.3555367915054212	15.0
LIVEC	vit_mae_huge	MAE	8	hidden_state_008	0.9822026308352241	12	0.38077967630403475	5.0
LIVEC	vit_mae_large	MAE	8	hidden_state_008	0.9986853976230604	12	0.40897606840310324	1.0
LIVEC	vit_small	ViT	3	block_003	0.9448486294324475	12	0.35158285290646846	12.0
LIVEC	vit_tiny	ViT	3	block_003	0.9750864864339156	12	0.3714006550925865	8.0
SPAQ	clip_vit_b16	CLIP	4	hidden_state_004	0.9393996733272035	12	0.46696537542526934	11.0
SPAQ	clip_vit_b32	CLIP	4	hidden_state_004	0.9356863710664086	12	0.4628939626040714	13.0
SPAQ	clip_vit_l14	CLIP	6	hidden_state_006	0.9925788462544758	12	0.5267902862816282	2.0
SPAQ	clip_vit_l14_336	CLIP	7	hidden_state_007	0.9924977075593232	12	0.5292832377165925	3.0
SPAQ	convnext_base	ConvNeXt	1	hidden_state_001	0.7951784459494816	12	0.36554609175613756	28.0
SPAQ	convnext_large	ConvNeXt	1	hidden_state_001	0.4392123223669948	12	0.23083281809992795	69.0
SPAQ	convnext_small	ConvNeXt	1	hidden_state_001	0.7315476435204912	12	0.3339862158408644	34.0
SPAQ	convnext_tiny	ConvNeXt	1	hidden_state_001	0.605660412913418	12	0.2936935855337762	59.0
SPAQ	dino_vitb16	DINO	5	hidden_state_005	0.5881893518622343	12	0.28611926293816287	63.0
SPAQ	dino_vitb8	DINO	5	hidden_state_005	0.750121708042729	12	0.34303904852764927	33.0
SPAQ	dino_vits16	DINO	6	hidden_state_006	0.6080330578666846	12	0.2925629232836037	58.0
SPAQ	dino_vits8	DINO	5	hidden_state_005	0.6556455868025187	12	0.30783956476543745	47.0
SPAQ	dinov2_base	DINOv2	5	hidden_state_005	0.95763968314483	12	0.48295620137480433	10.0
SPAQ	dinov2_giant	DINOv2	18	hidden_state_018	0.9383534357954645	12	0.46397610943025885	12.0
SPAQ	dinov2_large	DINOv2	10	hidden_state_010	0.9716019239059203	12	0.498833819324967	9.0
