family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_l14	pcc	0.9773502902503876	0.01196675065571514	3.75	4	6	hidden_state_006	0.9685912938516962	1
CLIP	clip_vit_l14_336	pcc	0.9696464716117643	0.018537882592550226	6.0	4	6	hidden_state_006	0.9625748169927794	2
CLIP	clip_vit_b16	pcc	0.9583577560358687	0.02276281993139192	8.25	4	4	hidden_state_004	0.9425342658935318	3
CLIP	clip_vit_b32	pcc	0.9418764688063845	0.03188101121960901	10.0	4	4	hidden_state_004	0.8926107211336735	4
ConvNeXt	convnext_small	pcc	0.6791373395997153	0.047185648010498446	45.0	4	1	hidden_state_001	0.6770553961630654	1
ConvNeXt	convnext_base	pcc	0.6617708257565097	0.055677694171282016	48.0	4	1	hidden_state_001	0.6617708257565097	2
ConvNeXt	convnext_tiny	pcc	0.5374779343453993	0.07540409692076312	64.25	4	1	hidden_state_001	0.5193964173347833	3
ConvNeXt	convnext_large	pcc	0.47783952825485754	0.09481069459467317	65.5	4	2	hidden_state_002	0.45452945890882	4
DINO	dino_vitb8	pcc	0.8455521264198957	0.06178914891080989	22.25	4	5	hidden_state_005	0.8332750272553269	1
DINO	dino_vits16	pcc	0.7655848574385038	0.08482512689023482	34.0	4	6	hidden_state_006	0.7504647857238994	2
DINO	dino_vits8	pcc	0.7549842582857224	0.05816552155830825	34.75	4	5	hidden_state_005	0.7533030027189712	3
DINO	dino_vitb16	pcc	0.7318083584406531	0.0796131244150716	39.75	4	5	hidden_state_005	0.7301870690349328	4
DINOv2	dinov2_large	pcc	0.975870024636168	0.012706456925628523	5.0	4	10	hidden_state_010	0.9742286076952281	1
DINOv2	dinov2_giant	pcc	0.9523775216321356	0.015218482400600402	9.25	4	15	hidden_state_015	0.9444381746813049	2
DINOv2	dinov2_base	pcc	0.9500483083808615	0.023777804443386424	10.0	4	4	hidden_state_004	0.943052985976904	3
DINOv2	dinov2_small	pcc	0.9186447785807089	0.03381368247027177	14.25	4	5	hidden_state_005	0.9152026718962509	4
DINOv3	dinov3_vith16plus	pcc	0.7165301931270052	0.03258832609120341	39.0	4	10	block_010	0.712834608596292	1
DINOv3	dinov3_vitl16	pcc	0.6884922085678293	0.06519636120955608	43.5	4	9	block_009	0.6780383199821507	2
