reference_model_key	model_key	family	reference_alignment_score	dataset_count
arniqa_kadid10k	clip_vit_l14_336	CLIP	0.9855972310438769	4
arniqa_kadid10k	clip_vit_l14	CLIP	0.9839152928046554	4
arniqa_kadid10k	siglip_so400m	SigLIP	0.9818577586980107	4
arniqa_kadid10k	dinov2_large	DINOv2	0.971431706524793	4
arniqa_kadid10k	internvit_6b_v25	InternViT	0.9658989710158106	4
arniqa_kadid10k	clip_vit_b16	CLIP	0.959460525059356	4
arniqa_kadid10k	internvit_300m_v25	InternViT	0.9531114281984949	4
arniqa_kadid10k	dinov2_giant	DINOv2	0.949690719661357	4
arniqa_kadid10k	dinov2_base	DINOv2	0.9486841148724038	4
arniqa_kadid10k	internvit_300m	InternViT	0.9380973757708992	4
arniqa_kadid10k	clip_vit_b32	CLIP	0.9340065923062053	4
arniqa_kadid10k	vit_mae_large	MAE	0.9312810598284256	4
arniqa_kadid10k	siglip_large	SigLIP	0.926769533303068	4
arniqa_kadid10k	dinov2_small	DINOv2	0.9222566779740069	4
arniqa_kadid10k	vit_tiny	ViT	0.9160453086934635	4
arniqa_kadid10k	vit_mae_huge	MAE	0.9126270249156041	4
arniqa_kadid10k	vit_small	ViT	0.8990222530266543	4
arniqa_kadid10k	vit_mae_base	MAE	0.8865193253609588	4
arniqa_kadid10k	vit_huge	ViT	0.8729724397394033	4
arniqa_kadid10k	fastvit_ma36	FastViT	0.8308484271812897	4
arniqa_kadid10k	vit_large	ViT	0.8295957073619342	4
arniqa_kadid10k	fastvit_sa24	FastViT	0.817032195291896	4
arniqa_kadid10k	vgg19_bn	VGG	0.8052657613578063	4
arniqa_kadid10k	vit_base	ViT	0.8000682789201553	4
arniqa_kadid10k	dino_vitb8	DINO	0.7952886793115556	4
arniqa_kadid10k	resnext101_32x8d	ResNeXt	0.7647402205086757	4
arniqa_kadid10k	siglip_base	SigLIP	0.7632482488335212	4
arniqa_kadid10k	dinov3_vitl16	DINOv3	0.751579091637396	4
arniqa_kadid10k	vgg16_bn	VGG	0.7459703869726612	4
arniqa_kadid10k	dino_vits16	DINO	0.7429758302348973	4
arniqa_kadid10k	convnext_small	ConvNeXt	0.7323595112442851	4
arniqa_kadid10k	dino_vits8	DINO	0.727767035530573	4
arniqa_kadid10k	resnet18	ResNet	0.724157832492808	4
arniqa_kadid10k	dinov3_vits16plus	DINOv3	0.7227711694681368	4
