dataset	model_key	family	layer_index	layer_name	quality_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
AGIQA-3K	clip_vit_b16	CLIP	6	hidden_state_006	0.9138983721873937	8	0.32009551862921465	8.0	8
AGIQA-3K	clip_vit_b32	CLIP	7	hidden_state_007	0.9101782134124743	8	0.3181202168926065	10.0	10
AGIQA-3K	clip_vit_l14	CLIP	17	hidden_state_017	0.976447914123299	8	0.43714675125860875	3.0	3
AGIQA-3K	clip_vit_l14_336	CLIP	17	hidden_state_017	0.9830621386985064	8	0.4580597550970322	2.0	2
AGIQA-3K	convnext_base	ConvNeXt	1	hidden_state_001	0.6233023558318919	8	0.20098450535462872	46.0	46
AGIQA-3K	convnext_large	ConvNeXt	2	hidden_state_002	0.7188331788685267	8	0.23139806483456232	33.0	33
AGIQA-3K	convnext_small	ConvNeXt	2	hidden_state_002	0.6394738753873084	8	0.21002738555229605	43.0	43
AGIQA-3K	convnext_tiny	ConvNeXt	2	hidden_state_002	0.7484540981605219	8	0.24038593404573433	28.0	28
AGIQA-3K	dino_vitb16	DINO	5	hidden_state_005	0.6813598090024038	8	0.21453325205430346	38.0	38
AGIQA-3K	dino_vitb8	DINO	5	hidden_state_005	0.7068626220386603	8	0.22139294195912226	34.0	34
AGIQA-3K	dino_vits16	DINO	6	hidden_state_006	0.7970275483254181	8	0.2512899223852159	21.0	21
AGIQA-3K	dino_vits8	DINO	5	hidden_state_005	0.7832322147674087	8	0.24412980503338816	24.0	24
AGIQA-3K	dinov2_base	DINOv2	5	hidden_state_005	0.9153999979366483	8	0.32282172321178304	7.0	7
AGIQA-3K	dinov2_giant	DINOv2	21	hidden_state_021	0.9122752021225012	8	0.31837790421271966	9.0	9
AGIQA-3K	dinov2_large	DINOv2	13	hidden_state_013	0.9511409045734192	8	0.37818033206565516	6.0	6
AGIQA-3K	dinov2_small	DINOv2	5	hidden_state_005	0.9018144384760084	8	0.3124809240644841	12.0	12
AGIQA-3K	dinov3_vit7b16	DINOv3	40	canonical_embedding	0.8815237380024692	8	0.2980066578463046	14.0	14
AGIQA-3K	dinov3_vitb16	DINOv3	12	canonical_embedding	0.8081379453830785	8	0.2534586333179198	20.0	20
AGIQA-3K	dinov3_vith16plus	DINOv3	21	block_021	0.9653062443902624	8	0.40584363159529335	5.0	5
AGIQA-3K	dinov3_vitl16	DINOv3	13	block_013	0.8522894822362607	8	0.27785794881668785	16.0	16
AGIQA-3K	dinov3_vits16	DINOv3	4	block_004	0.6670482076350893	8	0.21255295906468955	40.0	40
AGIQA-3K	dinov3_vits16plus	DINOv3	1	block_001	0.6958978417340408	8	0.22099741586351168	36.0	36
AGIQA-3K	fastvit_ma36	FastViT	2	feature_map_002	0.7489482279247152	8	0.23423370174349856	27.0	27
AGIQA-3K	fastvit_s12	FastViT	1	feature_map_001	0.5917289899205266	8	0.19662732864155963	52.0	52
AGIQA-3K	fastvit_sa12	FastViT	2	feature_map_002	0.47378597539796896	8	0.15641554569526558	65.0	65
AGIQA-3K	fastvit_sa24	FastViT	2	feature_map_002	0.7377888262623414	8	0.22835206115948986	29.0	29
AGIQA-3K	fastvit_sa36	FastViT	2	feature_map_002	0.4113113374302329	8	0.13745091206976062	70.0	70
AGIQA-3K	fastvit_t12	FastViT	1	feature_map_001	0.5733197008827707	8	0.189266938831669	55.0	55
AGIQA-3K	fastvit_t8	FastViT	1	feature_map_001	0.34813204333726516	8	0.12620512696845498	74.0	74
AGIQA-3K	fastvithd_05b	FastViTHD	1	block_001	0.47942322439982255	8	0.15763908209184524	63.0	63
AGIQA-3K	fastvithd_15b	FastViTHD	1	block_001	0.4759332583075701	8	0.15623481366511602	64.0	64
AGIQA-3K	fastvithd_7b	FastViTHD	1	block_001	0.45375319389660546	8	0.150831596576027	69.0	69
AGIQA-3K	ijepa_vith14	I-JEPA	21	hidden_state_021	0.7288184044100705	8	0.2255120726172622	30.0	30
AGIQA-3K	internvit_300m	InternViT	9	hidden_state_009	0.8437256051638817	8	0.27183705148731857	18.0	18
AGIQA-3K	internvit_300m_v25	InternViT	9	hidden_state_009	0.8844752982403048	8	0.2996303844694745	13.0	13
AGIQA-3K	internvit_6b_v25	InternViT	34	hidden_state_034	0.9980277795927631	8	0.5043419108594512	1.0	1
AGIQA-3K	resnet101	ResNet	0	hidden_state_000	0.5246191181578396	8	0.17289662805267259	60.0	60
AGIQA-3K	resnet152	ResNet	0	hidden_state_000	0.5175310749374976	8	0.1700492181315775	61.0	61
AGIQA-3K	resnet18	ResNet	2	hidden_state_002	0.6088361105475104	8	0.19756018804636896	48.0	48
AGIQA-3K	resnet34	ResNet	2	hidden_state_002	0.5522662050490218	8	0.1843218478510198	56.0	56
AGIQA-3K	resnet50	ResNet	2	hidden_state_002	0.5745441712031748	8	0.18909840975252323	54.0	54
AGIQA-3K	resnext101_32x8d	ResNeXt	2	feature_map_002	0.6752333736833236	8	0.21546773707447986	39.0	39
AGIQA-3K	resnext50_32x4d	ResNeXt	2	feature_map_002	0.5249654818442239	8	0.17712708830314647	59.0	59
AGIQA-3K	siglip2_base	SigLIP2	1	pooler_output	0.23891958602285507	8	0.09358535966770197	75.0	75
AGIQA-3K	siglip2_base_naflex	SigLIP2	1	pooler_output	0.5356459064820196	8	0.17305683585191506	58.0	58
AGIQA-3K	siglip2_large	SigLIP2	1	pooler_output	0.6372424464130348	8	0.2165972706957574	44.0	44
