family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_l14_336	pcc	0.9643765912427613	0.04905425084109756	8.5	4	20	hidden_state_020	0.8999700705614714	1
CLIP	clip_vit_l14	pcc	0.959581681438475	0.04666405223322616	9.75	4	20	hidden_state_020	0.8820972366002563	2
CLIP	clip_vit_b32	pcc	0.9091725148897131	0.04782875221307846	17.75	4	8	hidden_state_008	0.6835512576226656	3
CLIP	clip_vit_b16	pcc	0.9004147172294152	0.06633873608631041	19.25	4	2	hidden_state_002	0.7142066765457302	4
ConvNeXt	convnext_base	pcc	0.6148141702130311	0.14768133939432676	52.0	4	1	hidden_state_001	0.39761346984124635	1
ConvNeXt	convnext_small	pcc	0.6021943332761535	0.1053951950115014	55.75	4	1	hidden_state_001	0.422321528706474	2
ConvNeXt	convnext_tiny	pcc	0.6012660997232177	0.2316005358676077	48.0	4	2	hidden_state_002	0.41953713640232165	3
ConvNeXt	convnext_large	pcc	0.5667008160738873	0.1880067571753893	54.75	4	2	hidden_state_002	0.3788034026496654	4
DINO	dino_vitb8	pcc	0.7792348739385805	0.0961471862721673	27.75	4	4	hidden_state_004	0.6713416091419845	1
DINO	dino_vits8	pcc	0.766028207571481	0.10703800694554512	30.0	4	5	hidden_state_005	0.7260422447786549	2
DINO	dino_vits16	pcc	0.758867765305378	0.12919183786628935	31.75	4	6	hidden_state_006	0.6612030277424333	3
DINO	dino_vitb16	pcc	0.6815080954421056	0.13777310429723827	43.25	4	5	hidden_state_005	0.5784552973835666	4
DINOv2	dinov2_large	pcc	0.9502514798198507	0.014271425952734883	9.0	4	15	hidden_state_015	0.8612783175282812	1
DINOv2	dinov2_base	pcc	0.947008067743601	0.017553820593403758	8.75	4	3	hidden_state_003	0.9145971769742756	2
DINOv2	dinov2_giant	pcc	0.9341099867818417	0.024847392610190484	11.25	4	21	hidden_state_021	0.8524072385603239	3
DINOv2	dinov2_small	pcc	0.9308510425680887	0.032020898617760564	13.0	4	3	hidden_state_003	0.8997232436097177	4
DINOv3	dinov3_vith16plus	pcc	0.85290988257799	0.10712571204863872	18.5	4	22	block_022	0.6046065835906207	1
DINOv3	dinov3_vitl16	pcc	0.7910181488194387	0.08961975744703485	26.5	4	0	block_000	0.5849005659655232	2
DINOv3	dinov3_vitb16	pcc	0.7633515611452535	0.02807085605478008	33.0	4	0	block_000	0.6581856342475937	3
DINOv3	dinov3_vits16plus	pcc	0.7300234889645565	0.09340595165989529	35.75	4	0	block_000	0.6187930446664127	4
DINOv3	dinov3_vits16	pcc	0.707051530667193	0.05611274504632072	41.25	4	0	block_000	0.6360342094009246	5
FastViT	fastvit_sa24	pcc	0.8228483206770181	0.08729251696034447	25.25	4	2	feature_map_002	0.6588544988719675	1
FastViT	fastvit_ma36	pcc	0.8200387978614331	0.09396328271213539	24.75	4	1	feature_map_001	0.5960885043780719	2
FastViT	fastvit_sa12	pcc	0.6480533446543324	0.19036380001518802	44.75	4	2	feature_map_002	0.5231618855983446	3
FastViT	fastvit_t12	pcc	0.6440752638950338	0.04917076062383685	50.0	4	0	feature_map_000	0.47689762944952624	4
FastViT	fastvit_s12	pcc	0.6266100159559098	0.10763084656138897	50.0	4	1	feature_map_001	0.5373797747519676	5
FastViT	fastvit_sa36	pcc	0.5966211767598395	0.14879168002663415	54.25	4	0	feature_map_000	0.5023284854038796	6
FastViT	fastvit_t8	pcc	0.46478902192162963	0.0673320476064704	68.0	4	1	feature_map_001	0.40393724496652417	7
FastViTHD	fastvithd_15b	pcc	0.7761820539998209	0.18571328241013502	28.75	4	34	block_034	0.6030665421425262	1
FastViTHD	fastvithd_05b	pcc	0.7548057951647494	0.2018188076183006	32.5	4	35	block_035	0.5975705016385074	2
FastViTHD	fastvithd_7b	pcc	0.7379099686636161	0.21312658409783436	34.5	4	34	block_034	0.5998671511571194	3
I-JEPA	ijepa_vith14	pcc	0.7928533540731546	0.11401839639969483	27.5	4	21	hidden_state_021	0.5220501192139155	1
InternViT	internvit_6b_v25	pcc	0.9853640081541919	0.017773927911935227	3.75	4	43	hidden_state_043	0.8400115335605988	1
InternViT	internvit_300m_v25	pcc	0.9588132392543256	0.05156361849270163	6.75	4	5	hidden_state_005	0.8324147532526076	2
InternViT	internvit_300m	pcc	0.9174034071125615	0.056104046785721555	12.75	4	5	hidden_state_005	0.8136936727738611	3
MAE	vit_mae_large	pcc	0.8410862768755965	0.07681617811843333	20.0	4	6	hidden_state_006	0.7673027597886097	1
MAE	vit_mae_huge	pcc	0.8077873222796861	0.1126485731707676	23.25	4	9	hidden_state_009	0.7504370981987	2
MAE	vit_mae_base	pcc	0.7182326355324626	0.11876213988888988	36.75	4	3	hidden_state_003	0.623073910583868	3
ResNeXt	resnext101_32x8d	pcc	0.6936518693860257	0.11219913018685845	43.0	4	2	feature_map_002	0.5091544636833374	1
ResNeXt	resnext50_32x4d	pcc	0.5855911062872313	0.0777594124008824	53.5	4	1	feature_map_001	0.5030431294386428	2
ResNet	resnet18	pcc	0.6871464469594873	0.061448099368813444	44.25	4	0	hidden_state_000	0.5457889402521889	1
ResNet	resnet34	pcc	0.6824988628453648	0.0641254059911307	46.0	4	0	hidden_state_000	0.5394964138623842	2
ResNet	resnet152	pcc	0.6257526729783971	0.07597600622118461	53.5	4	0	hidden_state_000	0.43489032408113115	3
ResNet	resnet101	pcc	0.5968040389792055	0.10683919088308759	50.75	4	1	hidden_state_001	0.46078073642254097	4
ResNet	resnet50	pcc	0.5927816037781706	0.08072912300092205	52.25	4	1	hidden_state_001	0.5022380468460997	5
SigLIP	siglip_so400m	pcc	0.9273960118612498	0.07160211122350243	14.75	4	13	hidden_state_013	0.8902961376817294	1
SigLIP	siglip_large	pcc	0.8969898470565767	0.04043482131153769	18.0	4	11	hidden_state_011	0.7725108268211429	2
SigLIP	siglip_base	pcc	0.8409238699602296	0.07837637779990003	21.5	4	1	hidden_state_001	0.7095244732732708	3
SigLIP2	siglip2_large	pcc	0.39717263549952564	0.1761508113948099	64.5	4	1	pooler_output	0.34296668737250685	1
SigLIP2	siglip2_base	pcc	0.3305413443898626	0.24066819656236857	69.0	4	1	pooler_output	0.24154990392948644	2
SigLIP2	siglip2_base_naflex	pcc	0.320845433785667	0.1630812423337997	69.5	4	1	pooler_output	0.29731646118786453	3
SigLIP2	siglip2_so400m	pcc	0.3143646527181211	0.1977233461055265	67.0	4	1	pooler_output	0.3143646527181211	4
Swin	swin_base	pcc	0.7411252797092381	0.1279634850697835	35.5	4	3	hidden_state_003	0.5416844228351322	1
Swin	swin_large	pcc	0.6767767913478967	0.08996144657424035	46.5	4	3	hidden_state_003	0.47868883400667317	2
Swin	swin_small	pcc	0.6626126308301329	0.09385145198364775	47.25	4	3	hidden_state_003	0.4747496802245915	3
Swin	swin_tiny	pcc	0.6170009284345743	0.13755311098333156	53.0	4	3	hidden_state_003	0.4680662118269256	4
SwinV2	swinv2_large	pcc	0.7434771096916832	0.1343785037433644	35.0	4	3	hidden_state_003	0.5324655867361348	1
SwinV2	swinv2_small	pcc	0.6383688829022794	0.15016086772642698	49.5	4	1	hidden_state_001	0.4459926684768064	2
SwinV2	swinv2_tiny	pcc	0.594423580260688	0.16503908471596987	53.25	4	1	hidden_state_001	0.46414503278431796	3
SwinV2	swinv2_base	pcc	0.5792375360791335	0.18999739422933418	53.75	4	1	hidden_state_001	0.43857983870535183	4
VGG	vgg19_bn	pcc	0.7184535423960553	0.04926613864241885	39.25	4	1	feature_map_001	0.5505570191971463	1
VGG	vgg16_bn	pcc	0.6838970563212858	0.038935127711109366	44.5	4	1	feature_map_001	0.5277664457552678	2
VGG	vgg19	pcc	0.6396678455680697	0.12090901334470386	49.25	4	1	feature_map_001	0.5022515466153464	3
VGG	vgg16	pcc	0.6360252593377235	0.06458114412721715	51.25	4	1	feature_map_001	0.5456534971083387	4
VGG	vgg13_bn	pcc	0.6098990206057622	0.12970086723693805	54.0	4	1	feature_map_001	0.41942146470162256	5
VGG	vgg13	pcc	0.5953012814079586	0.04545334106947019	53.75	4	1	feature_map_001	0.5073796224988977	6
VGG	vgg11	pcc	0.5935167044930958	0.08917564878779789	56.25	4	1	feature_map_001	0.4970933779976684	7
VGG	vgg11_bn	pcc	0.5478082647777338	0.08416763119320043	62.0	4	0	feature_map_000	0.4523995939909491	8
ViT	vit_tiny	pcc	0.8869440220990508	0.060160829194682595	15.75	4	5	block_005	0.7997886459062884	1
ViT	vit_small	pcc	0.871010675401307	0.06147053202559128	22.25	4	2	block_002	0.7420522727372327	2
ViT	vit_huge	pcc	0.7836822893897872	0.11251744535853528	27.5	4	10	hidden_state_010	0.7137202497233477	3
ViT	vit_base	pcc	0.692833814746519	0.10418000888365714	43.25	4	3	hidden_state_003	0.5827792114868118	4
ViT	vit_large	pcc	0.6741081932548549	0.11564009146280745	45.75	4	8	hidden_state_008	0.5195137194444954	5
CLIP	clip_vit_l14_336	scc	0.9838430324731158	0.01630962255916531	4.5	4	19	hidden_state_019	0.9343247483016588	1
CLIP	clip_vit_l14	scc	0.9659731183123008	0.03395357311625636	7.25	4	19	hidden_state_019	0.9138193733472068	2
CLIP	clip_vit_b16	scc	0.8886102725183445	0.07205531617976342	19.375	4	9	hidden_state_009	0.7101226646207475	3
CLIP	clip_vit_b32	scc	0.8687317836793115	0.10569676029133165	22.25	4	5	hidden_state_005	0.6934513518691795	4
ConvNeXt	convnext_base	scc	0.6155272677865816	0.13396060011085806	50.375	4	1	hidden_state_001	0.4125977040558255	1
ConvNeXt	convnext_small	scc	0.6122014772238272	0.07815905337816817	52.5	4	1	hidden_state_001	0.4818121332567946	2
ConvNeXt	convnext_tiny	scc	0.5944894405513521	0.16689949612161636	52.25	4	2	hidden_state_002	0.40095037285512697	3
ConvNeXt	convnext_large	scc	0.5671281514700254	0.12971283234588396	57.0	4	1	hidden_state_001	0.43151730167013175	4
DINO	dino_vitb8	scc	0.7714416608860688	0.12739211644984066	28.75	4	4	hidden_state_004	0.6573521037790293	1
DINO	dino_vits8	scc	0.7606975887308631	0.13642310091938	29.5	4	5	hidden_state_005	0.7129475250405226	2
DINO	dino_vits16	scc	0.7262776545487684	0.15165147656260453	32.75	4	6	hidden_state_006	0.6614809209766401	3
DINO	dino_vitb16	scc	0.6915584831428915	0.18062376825035534	37.75	4	5	hidden_state_005	0.5980408251503264	4
DINOv2	dinov2_base	scc	0.9459103671712008	0.02558050640476888	8.5	4	3	hidden_state_003	0.8861750569495933	1
DINOv2	dinov2_large	scc	0.9435604941466751	0.013481389140511255	9.75	4	15	hidden_state_015	0.872906222334139	2
DINOv2	dinov2_giant	scc	0.9284646602803999	0.02234233613914473	11.75	4	21	hidden_state_021	0.8766297479250859	3
DINOv2	dinov2_small	scc	0.9122922151076167	0.04549603690558085	15.125	4	3	hidden_state_003	0.8395071420888546	4
DINOv3	dinov3_vith16plus	scc	0.8503198847022264	0.12083266592284335	16.75	4	22	block_022	0.6041807856881907	1
DINOv3	dinov3_vitl16	scc	0.7756215135153688	0.08321047853321027	29.75	4	2	block_002	0.6222667831041413	2
DINOv3	dinov3_vitb16	scc	0.7294042691363335	0.07519992312138711	36.25	4	0	block_000	0.652499064675367	3
DINOv3	dinov3_vits16plus	scc	0.7029063973380931	0.08473268196310818	38.75	4	0	block_000	0.5941703378585392	4
DINOv3	dinov3_vits16	scc	0.6930537272548711	0.06914327449830646	40.625	4	0	block_000	0.6488182405253822	5
FastViT	fastvit_ma36	scc	0.8045552424321782	0.09259103264668156	27.0	4	1	feature_map_001	0.5950737073179164	1
FastViT	fastvit_sa24	scc	0.78726504220966	0.09398633212299229	30.375	4	2	feature_map_002	0.6405410645144927	2
FastViT	fastvit_sa12	scc	0.6547096056394992	0.09614577806217274	46.0	4	2	feature_map_002	0.6102570862596542	3
FastViT	fastvit_t12	scc	0.607443643210154	0.0573778831831863	54.5	4	0	feature_map_000	0.43992505584955915	4
FastViT	fastvit_s12	scc	0.5823101537271248	0.08169732055634074	53.25	4	1	feature_map_001	0.5364041459751869	5
FastViT	fastvit_sa36	scc	0.5784330264152436	0.08216474773457338	56.0	4	0	feature_map_000	0.49386053570892396	6
