alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible
1	dinov2_large	DINOv2	0.914817307070943	0.08020152330911445	8.375	8	10	hidden_state_010	0.9004024664705993	8	1.0	True
2	dinov2_small	DINOv2	0.8917856451615535	0.06561130978244224	13.0	8	4	hidden_state_004	0.8737265766476003	8	1.0	True
3	dinov2_base	DINOv2	0.8907627129796069	0.09135445658934115	14.125	8	4	hidden_state_004	0.8868447438397179	8	1.0	True
4	siglip_large	SigLIP	0.8891624578851005	0.04438594397580917	12.0	8	8	hidden_state_008	0.8528601069904517	8	1.0	True
5	vit_mae_large	MAE	0.8868935296842506	0.07410210387115185	11.875	8	7	hidden_state_007	0.8688933807549359	8	1.0	True
6	siglip_so400m	SigLIP	0.8849661549787049	0.1063879683762314	14.0	8	11	hidden_state_011	0.8255425569240337	8	1.0	True
7	clip_vit_l14	CLIP	0.8772705409457978	0.1113435452641661	15.25	8	6	hidden_state_006	0.824553133498656	8	1.0	True
8	vit_mae_huge	MAE	0.8763640609251196	0.08778580247571958	13.875	8	7	hidden_state_007	0.8673809526023932	8	1.0	True
9	vit_tiny	ViT	0.8746967532562808	0.08027255900154004	16.375	8	3	block_003	0.8655482867135299	8	1.0	True
10	dinov2_giant	DINOv2	0.8722904108685242	0.10519636713053572	18.125	8	13	hidden_state_013	0.8522154378699639	8	1.0	True
11	vit_small	ViT	0.8712438070864907	0.08271949931242276	15.375	8	3	block_003	0.8575454520530861	8	1.0	True
12	siglip_base	SigLIP	0.8655469799646915	0.08353678976665437	14.75	8	3	hidden_state_003	0.8325232082956557	8	1.0	True
13	clip_vit_l14_336	CLIP	0.8549937692892023	0.11587397112419519	19.875	8	6	hidden_state_006	0.7888090470444765	8	1.0	True
14	resnext101_32x8d	ResNeXt	0.840577037777241	0.06478211932260876	16.5	8	2	feature_map_002	0.840577037777241	8	1.0	True
15	clip_vit_b32	CLIP	0.8343272786998992	0.10841773922939252	24.875	8	8	hidden_state_008	0.7471146409662485	8	1.0	True
16	clip_vit_b16	CLIP	0.8225456733398501	0.14033290484175773	27.875	8	4	hidden_state_004	0.7819377257471819	8	1.0	True
17	internvit_300m_v25	InternViT	0.819176907463918	0.12921587158537712	27.75	8	8	hidden_state_008	0.8134730415621307	8	1.0	True
18	resnext50_32x4d	ResNeXt	0.7980344115731377	0.06477441705052192	23.75	8	2	feature_map_002	0.792690545402134	8	1.0	True
19	vit_mae_base	MAE	0.7951884613091053	0.09877226665177734	29.625	8	6	hidden_state_006	0.756497741114041	8	1.0	True
20	resnet18	ResNet	0.7950516622473068	0.04999746261083722	23.375	8	2	hidden_state_002	0.7671811692314331	8	1.0	True
21	internvit_6b_v25	InternViT	0.7882157305551786	0.1724530987388708	33.75	8	23	hidden_state_023	0.7698808235192305	8	1.0	True
22	internvit_300m	InternViT	0.7881594992903755	0.13227044262491447	33.25	8	8	hidden_state_008	0.7829373447734291	8	1.0	True
23	resnet101	ResNet	0.787317935385872	0.08769049291417191	23.75	8	2	hidden_state_002	0.787317935385872	8	1.0	True
24	resnet50	ResNet	0.7853564249202166	0.0723470106433803	25.375	8	2	hidden_state_002	0.778585057035789	8	1.0	True
25	fastvit_sa24	FastViT	0.7844104477831009	0.09429098629411804	30.375	8	2	feature_map_002	0.7760654973493959	8	1.0	True
26	fastvit_ma36	FastViT	0.7782209567584512	0.0749127236071371	31.375	8	1	feature_map_001	0.7782209567584512	8	1.0	True
27	resnet34	ResNet	0.7735590510846927	0.08287909772773942	27.75	8	2	hidden_state_002	0.701691003507727	8	1.0	True
28	resnet152	ResNet	0.7596881227506521	0.07742180750765716	30.5	8	2	hidden_state_002	0.7596881227506521	8	1.0	True
29	fastvithd_15b	FastViTHD	0.7529829741637166	0.10647928147822543	30.125	8	25	block_025	0.645396499177048	8	1.0	True
30	vgg19_bn	VGG	0.750185621313607	0.10088227407035517	35.125	8	2	feature_map_002	0.7256735395292204	8	1.0	True
31	vit_huge	ViT	0.7442931258231308	0.1561840845449488	37.0	8	8	hidden_state_008	0.7326518369514227	8	1.0	True
32	fastvithd_05b	FastViTHD	0.7431080345229639	0.1042472368423599	32.75	8	18	block_018	0.6267814699192669	8	1.0	True
33	dino_vitb8	DINO	0.7394943714611829	0.12175734142021984	38.375	8	4	hidden_state_004	0.6731663428927195	8	1.0	True
34	fastvithd_7b	FastViTHD	0.7393369077185759	0.11570959179765844	31.625	8	25	block_025	0.6314887600414709	8	1.0	True
35	vgg11_bn	VGG	0.7381524487130947	0.035407888551333	34.625	8	2	feature_map_002	0.7125367423933922	8	1.0	True
36	vgg19	VGG	0.7331518116556752	0.08172124803827226	32.5	8	2	feature_map_002	0.6646150386162277	8	1.0	True
