quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible
1	dinov2_base	DINOv2	0.9154767644719832	0.04514677207851301	17.5	8	3	hidden_state_003	0.7554465948480465	8	0	1.0	True
2	clip_vit_l14	CLIP	0.9067682023262152	0.1034494059687417	19.5	8	20	hidden_state_020	0.8082714998957643	8	0	1.0	True
3	vit_tiny	ViT	0.9043016547921353	0.057438339443530544	17.375	8	3	block_003	0.6674072962239005	8	0	1.0	True
4	clip_vit_l14_336	CLIP	0.9022962637398646	0.150262436656985	18.25	8	20	hidden_state_020	0.8175868058682388	8	0	1.0	True
5	clip_vit_b16	CLIP	0.894289678405322	0.074824504928108	21.375	8	10	hidden_state_010	0.6612526999621674	8	0	1.0	True
6	siglip_so400m	SigLIP	0.8926659556929271	0.12312749626866257	20.375	8	12	hidden_state_012	0.7022399486127988	8	1	1.0	True
7	dinov2_small	DINOv2	0.8870023924707692	0.09150601690854825	22.0	8	4	hidden_state_004	0.7530717932928175	8	0	1.0	True
8	clip_vit_b32	CLIP	0.8859866115307615	0.08112744742895318	23.625	8	10	hidden_state_010	0.704819169473546	8	0	1.0	True
9	dinov2_giant	DINOv2	0.8828245303712033	0.06415927543059162	23.75	8	30	hidden_state_030	0.70110364944183	8	0	1.0	True
10	siglip_large	SigLIP	0.882045841223916	0.0680619172926438	23.9375	8	12	hidden_state_012	0.7784598502803386	8	0	1.0	True
11	siglip_base	SigLIP	0.8808037971390904	0.08037634205610579	18.375	8	5	hidden_state_005	0.7138824061016524	8	0	1.0	True
12	fastvithd_15b	FastViTHD	0.8762886796331354	0.1793931867460967	15.875	8	42	block_042	0.7218998693685404	8	2	1.0	True
13	fastvithd_05b	FastViTHD	0.8726161811726167	0.18532386574645623	16.875	8	41	block_041	0.6991192354713691	8	2	1.0	True
14	vit_small	ViT	0.8701910530779439	0.046253513619063345	25.25	8	3	block_003	0.6839927565630475	8	0	1.0	True
15	dinov2_large	DINOv2	0.8647529260138074	0.12415976585179332	25.375	8	20	hidden_state_020	0.6989427100490488	8	0	1.0	True
16	fastvithd_7b	FastViTHD	0.8473033191981119	0.1813138835184448	23.75	8	42	block_042	0.6598875494458805	8	0	1.0	True
17	dino_vits8	DINO	0.833110716822831	0.11635971458020261	27.5	8	5	hidden_state_005	0.7373052593533306	8	0	1.0	True
18	dinov3_vith16plus	DINOv3	0.8270193410026564	0.09666218101136734	29.375	8	18	block_018	0.6635922875717704	8	0	1.0	True
19	dinov3_vitl16	DINOv3	0.8218134958237183	0.07912052108973541	28.875	8	15	block_015	0.6727952727881875	8	0	1.0	True
20	vgg19_bn	VGG	0.8194016330637403	0.1259274416202928	26.875	8	5	feature_map_005	0.5669813975658988	8	0	1.0	True
21	vit_mae_large	MAE	0.8123802125134766	0.09403324725043882	30.0	8	13	hidden_state_013	0.643983180728412	8	0	1.0	True
22	dino_vitb8	DINO	0.8094004951964383	0.10207619212039264	31.375	8	3	hidden_state_003	0.6702037649586616	8	0	1.0	True
23	dino_vits16	DINO	0.807864585502457	0.13149138239969815	30.5	8	5	hidden_state_005	0.6688848534390517	8	0	1.0	True
24	resnet18	ResNet	0.7997345276127078	0.14404738378481582	31.125	8	2	hidden_state_002	0.6184103842717574	8	0	1.0	True
25	dinov3_vits16plus	DINOv3	0.798336351009209	0.11121469546078998	31.375	8	6	block_006	0.6068076447348547	8	0	1.0	True
26	fastvit_ma36	FastViT	0.7974988598737003	0.08876143409005897	33.5	8	2	feature_map_002	0.6231370896578433	8	0	1.0	True
27	resnet34	ResNet	0.7927061075930183	0.14817209924282257	32.75	8	3	hidden_state_003	0.5945663880233382	8	0	1.0	True
28	vit_huge	ViT	0.791561148908178	0.12457730588608042	32.875	8	7	hidden_state_007	0.6643262881699747	8	0	1.0	True
29	vgg16_bn	VGG	0.7906208718385785	0.13767003720639995	32.5	8	5	feature_map_005	0.5727782728440451	8	0	1.0	True
30	dinov3_vitb16	DINOv3	0.7880387816269805	0.07429732373641086	34.875	8	6	block_006	0.547280245598172	8	0	1.0	True
31	dinov3_vits16	DINOv3	0.7843650555794132	0.10333998046307963	33.75	8	8	block_008	0.601571145106911	8	0	1.0	True
32	vgg16	VGG	0.7838065389460117	0.17165345249336428	30.125	8	3	feature_map_003	0.6070983871696289	8	0	1.0	True
33	resnext101_32x8d	ResNeXt	0.7813215593698837	0.1346660059549035	35.0	8	3	feature_map_003	0.6518419357669027	8	0	1.0	True
34	dino_vitb16	DINO	0.7797768643677938	0.1604943823244755	34.0	8	5	hidden_state_005	0.6518267457081776	8	0	1.0	True
35	ijepa_vith14	I-JEPA	0.7795586620057899	0.11427171101548206	34.5	8	22	hidden_state_022	0.5900348762569335	8	0	1.0	True
36	vgg19	VGG	0.7761514277469876	0.1845261129076374	31.125	8	3	feature_map_003	0.61349098216953	8	0	1.0	True
37	vit_mae_huge	MAE	0.7747648756270185	0.12532445321249355	33.125	8	18	hidden_state_018	0.6471312483105267	8	1	1.0	True
38	internvit_6b_v25	InternViT	0.7682698154322416	0.2801478653905371	30.75	8	45	hidden_state_045	0.6679355871404692	8	2	1.0	True
39	vgg13	VGG	0.764176442591703	0.16939839389236708	33.375	8	3	feature_map_003	0.5836546696015755	8	0	1.0	True
40	vgg11	VGG	0.7612924589758555	0.1915402351112149	34.0	8	5	feature_map_005	0.6189029111408703	8	0	1.0	True
41	vgg13_bn	VGG	0.7547047288873678	0.18816807497181243	36.0	8	5	feature_map_005	0.5691539402281038	8	0	1.0	True
42	vit_mae_base	MAE	0.7505028938324352	0.1019289084530332	39.375	8	8	hidden_state_008	0.5849050772590749	8	0	1.0	True
43	vgg11_bn	VGG	0.7448205661257847	0.20271631903222007	36.625	8	5	feature_map_005	0.5894859254413948	8	0	1.0	True
44	fastvit_sa24	FastViT	0.7362286151023884	0.12010813726420135	41.5	8	2	feature_map_002	0.6374205639262186	8	0	1.0	True
45	vit_base	ViT	0.724899341624655	0.11003740888392743	42.875	8	10	hidden_state_010	0.5494843085650521	8	0	1.0	True
46	vit_large	ViT	0.7226527778116796	0.13504543818067502	42.375	8	20	hidden_state_020	0.578964312458889	8	0	1.0	True
47	resnext50_32x4d	ResNeXt	0.7186300930475047	0.16555010210321217	42.25	8	2	feature_map_002	0.5902897615709713	8	0	1.0	True
48	resnet50	ResNet	0.7141773366664986	0.16757639849106232	42.75	8	2	hidden_state_002	0.5724202308094208	8	0	1.0	True
49	internvit_300m_v25	InternViT	0.6962791859159011	0.2856227921205943	36.875	8	7	hidden_state_007	0.5838293351249604	8	0	1.0	True
50	fastvit_s12	FastViT	0.6814417473520505	0.11160109974780902	49.375	8	0	feature_map_000	0.479610587402229	8	0	1.0	True
51	fastvit_sa12	FastViT	0.6752617497343315	0.11167709114227034	50.75	8	2	feature_map_002	0.5121031606062958	8	0	1.0	True
52	resnet101	ResNet	0.6737880961392148	0.13353964905215976	48.625	8	2	hidden_state_002	0.5620325856333906	8	0	1.0	True
53	resnet152	ResNet	0.6725515420919308	0.07675311047565314	51.625	8	2	hidden_state_002	0.5385461143299113	8	0	1.0	True
54	fastvit_t12	FastViT	0.6647687483893788	0.10841063996722812	51.75	8	3	feature_map_003	0.4555091980149008	8	0	1.0	True
55	swin_tiny	Swin	0.6568461601653504	0.11439344398809699	52.5	8	3	hidden_state_003	0.5722702642005222	8	0	1.0	True
56	convnext_tiny	ConvNeXt	0.6495641824247256	0.16228148438158896	51.625	8	2	hidden_state_002	0.49362512149880294	8	0	1.0	True
57	fastvit_t8	FastViT	0.6473161291418233	0.19185002450820762	53.625	8	3	feature_map_003	0.48567725202574447	8	0	1.0	True
58	internvit_300m	InternViT	0.6469560032135162	0.3089077318326083	39.875	8	7	hidden_state_007	0.5619388731752204	8	0	1.0	True
59	fastvit_sa36	FastViT	0.6242296956828397	0.11350891533827343	55.5	8	3	feature_map_003	0.45014425532938646	8	0	1.0	True
60	swin_base	Swin	0.6175912186353032	0.16153615455699355	51.5	8	3	hidden_state_003	0.46691911318885826	8	0	1.0	True
61	swin_small	Swin	0.6114670100091739	0.0950846273714973	55.25	8	3	hidden_state_003	0.493351035332919	8	0	1.0	True
62	swinv2_tiny	SwinV2	0.5971288194860128	0.13397552379822658	57.625	8	3	hidden_state_003	0.4612570992241348	8	0	1.0	True
63	swinv2_large	SwinV2	0.5896863006085493	0.19874777402007304	52.125	8	3	hidden_state_003	0.4595477717615385	8	0	1.0	True
64	siglip2_base_naflex	SigLIP2	0.5881123088875323	0.3182251838430041	47.9375	8	1	pooler_output	0.5849756917871605	8	0	1.0	True
65	swin_large	Swin	0.5836749413206275	0.12579026169113275	56.75	8	3	hidden_state_003	0.4764750054744141	8	0	1.0	True
66	convnext_small	ConvNeXt	0.5788750346798178	0.11926342166447142	60.0	8	2	hidden_state_002	0.4324558560607801	8	0	1.0	True
67	convnext_base	ConvNeXt	0.5700239872285706	0.13631415250912252	59.625	8	2	hidden_state_002	0.39598644632545654	8	0	1.0	True
68	swinv2_small	SwinV2	0.5620561804557332	0.15788818107851016	57.5	8	3	hidden_state_003	0.4236237121421522	8	0	1.0	True
69	siglip2_large	SigLIP2	0.5595594258335181	0.2143651600598862	57.875	8	1	pooler_output	0.5315591702144029	8	0	1.0	True
70	siglip2_base	SigLIP2	0.5590945718713862	0.3198855653544972	53.625	8	1	pooler_output	0.5193194115704185	8	0	1.0	True
71	convnext_large	ConvNeXt	0.5439105218377038	0.11632142708127988	62.125	8	2	hidden_state_002	0.4338774992655029	8	0	1.0	True
72	swinv2_base	SwinV2	0.5075783381919498	0.16055380907331174	62.5	8	2	hidden_state_002	0.3926486416311715	8	0	1.0	True
73	siglip2_so400m	SigLIP2	0.4504788104024482	0.19963806584413094	64.625	8	1	pooler_output	0.44724054367382365	8	0	1.0	True
74	dinov3_vit7b16	DINOv3	0.8458989126164222	0.07555403786159996	27.857142857142858	7	24	block_024	0.6967906511970589	7	0	0.875	False
75	siglip2_so400m_naflex	SigLIP2	0.5547776537796081	0.3313671217699924	52.142857142857146	7	1	pooler_output	0.5332237721326223	7	0	0.875	False
