family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_l14	pcc	0.892892152560138	0.0962539520365676	10.875	8	6	hidden_state_006	0.8315307770373722	1
CLIP	clip_vit_l14_336	pcc	0.8778878268839491	0.09640308911303647	12.75	8	7	hidden_state_007	0.7982505923385477	2
CLIP	clip_vit_b16	pcc	0.8499676791331761	0.11411326515075997	19.8125	8	4	hidden_state_004	0.7795268913110782	3
CLIP	clip_vit_b32	pcc	0.846867602432932	0.1018122464742639	18.75	8	8	hidden_state_008	0.7769680485521295	4
ConvNeXt	convnext_base	pcc	0.6603754221719351	0.06707286017562122	48.8125	8	1	hidden_state_001	0.6603754221719351	1
ConvNeXt	convnext_small	pcc	0.6438205285359171	0.05412696241682447	52.5625	8	1	hidden_state_001	0.6266608300517928	2
ConvNeXt	convnext_tiny	pcc	0.5861181493288334	0.09369333015248676	55.875	8	1	hidden_state_001	0.5701652161023358	3
ConvNeXt	convnext_large	pcc	0.47968416933188973	0.10158402657991766	66.625	8	1	hidden_state_001	0.46380151902531	4
DINO	dino_vitb8	pcc	0.7287704870017695	0.132758453698462	39.125	8	5	hidden_state_005	0.6709648835161393	1
DINO	dino_vits8	pcc	0.715869220220928	0.0936771611745276	40.625	8	5	hidden_state_005	0.7007395589803035	2
DINO	dino_vits16	pcc	0.6995326703549396	0.12030482609286779	42.6875	8	6	hidden_state_006	0.6711780248322099	3
DINO	dino_vitb16	pcc	0.6549957219712559	0.11081476976516037	50.625	8	5	hidden_state_005	0.60757146202676	4
DINOv2	dinov2_large	pcc	0.9004582465188274	0.1003957703199903	12.0	8	10	hidden_state_010	0.893916116115272	1
DINOv2	dinov2_base	pcc	0.8715157898781631	0.11430462438708267	18.375	8	4	hidden_state_004	0.8664788628769279	2
DINOv2	dinov2_small	pcc	0.8658047312977895	0.1024621174022866	17.75	8	4	hidden_state_004	0.8431571622577273	3
DINOv2	dinov2_giant	pcc	0.8569392255000827	0.11753022914731273	19.875	8	14	hidden_state_014	0.8436802907409695	4
DINOv3	dinov3_vith16plus	pcc	0.725481639314432	0.054892753706455494	37.0	8	10	block_010	0.6908155384988894	1
