dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
AGIQA-3K	CLIP	clip_vit_l14	pcc	14	hidden_state_014	0.9835348826812569	0.6455425599213295	1
AGIQA-3K	CLIP	clip_vit_b16	pcc	6	hidden_state_006	0.9795925911915513	0.6310347263309147	2
AGIQA-3K	CLIP	clip_vit_l14_336	pcc	8	hidden_state_008	0.9793677718208048	0.6312311892215031	3
AGIQA-3K	CLIP	clip_vit_b32	pcc	6	hidden_state_006	0.9677646420600504	0.6104011679120483	4
AGIQA-3K	ConvNeXt	convnext_base	pcc	1	hidden_state_001	0.6558191678502282	0.3997184960095621	1
AGIQA-3K	ConvNeXt	convnext_large	pcc	2	hidden_state_002	0.6197317900608346	0.3906813803027477	2
AGIQA-3K	ConvNeXt	convnext_tiny	pcc	2	hidden_state_002	0.6148805491266863	0.38327400793684474	3
AGIQA-3K	ConvNeXt	convnext_small	pcc	2	hidden_state_002	0.6138652081062214	0.3826580289843596	4
AGIQA-3K	DINO	dino_vits16	pcc	6	hidden_state_006	0.8328693657600528	0.49024128651660087	1
AGIQA-3K	DINO	dino_vitb8	pcc	5	hidden_state_005	0.8126803283480462	0.48142175161654205	2
AGIQA-3K	DINO	dino_vits8	pcc	5	hidden_state_005	0.7922965621120469	0.46541557470071615	3
AGIQA-3K	DINO	dino_vitb16	pcc	5	hidden_state_005	0.745225704892551	0.4384953033716158	4
AGIQA-3K	DINOv2	dinov2_large	pcc	12	hidden_state_012	0.9782092857707823	0.6263108799478067	1
AGIQA-3K	DINOv2	dinov2_base	pcc	5	hidden_state_005	0.9705548954740378	0.6206591375587249	2
AGIQA-3K	DINOv2	dinov2_giant	pcc	19	hidden_state_019	0.9566519882113835	0.5938473367646975	3
AGIQA-3K	DINOv2	dinov2_small	pcc	5	hidden_state_005	0.948528615250233	0.5876854407872383	4
AGIQA-3K	DINOv3	dinov3_vitl16	pcc	9	block_009	0.7837149531103309	0.4596401343303175	1
AGIQA-3K	DINOv3	dinov3_vith16plus	pcc	11	block_011	0.7559338558198556	0.44177843845002346	2
AGIQA-3K	DINOv3	dinov3_vitb16	pcc	4	block_004	0.7558489574915145	0.4436462442435414	3
AGIQA-3K	DINOv3	dinov3_vits16plus	pcc	1	block_001	0.7543633442117824	0.44562480130822846	4
AGIQA-3K	DINOv3	dinov3_vits16	pcc	4	block_004	0.7222894005619194	0.4279969424864072	5
AGIQA-3K	DINOv3	dinov3_vit7b16	pcc	11	block_011	0.6809333829684067	0.40830702653217926	6
AGIQA-3K	FastViT	fastvit_sa24	pcc	2	feature_map_002	0.7743847342918748	0.4558855411386805	1
AGIQA-3K	FastViT	fastvit_s12	pcc	1	feature_map_001	0.7357888795655957	0.4326005063016018	2
AGIQA-3K	FastViT	fastvit_ma36	pcc	2	feature_map_002	0.6521186753969372	0.39152628461097433	3
AGIQA-3K	FastViT	fastvit_t12	pcc	0	feature_map_000	0.6425926530921046	0.38841825854967177	4
AGIQA-3K	FastViT	fastvit_sa12	pcc	1	feature_map_001	0.5945668508781281	0.3582226899143566	5
AGIQA-3K	FastViT	fastvit_t8	pcc	1	feature_map_001	0.543655580162936	0.3311817724031362	6
AGIQA-3K	FastViT	fastvit_sa36	pcc	0	feature_map_000	0.46134117005801456	0.2946022983132508	7
AGIQA-3K	FastViTHD	fastvithd_05b	pcc	5	block_005	0.5401199409193608	0.3409171129602182	1
AGIQA-3K	FastViTHD	fastvithd_15b	pcc	5	block_005	0.5217864155796814	0.3275010772751573	2
AGIQA-3K	FastViTHD	fastvithd_7b	pcc	5	block_005	0.46846059341997115	0.3009797855210594	3
AGIQA-3K	I-JEPA	ijepa_vith14	pcc	19	hidden_state_019	0.7890308780593489	0.4650593234086672	1
AGIQA-3K	InternViT	internvit_6b_v25	pcc	23	hidden_state_023	0.982620559924894	0.6544032930098791	1
AGIQA-3K	InternViT	internvit_300m_v25	pcc	9	hidden_state_009	0.8616131456141739	0.5073024340980626	2
AGIQA-3K	InternViT	internvit_300m	pcc	9	hidden_state_009	0.8340020599128577	0.4894580150709599	3
AGIQA-3K	MAE	vit_mae_large	pcc	7	hidden_state_007	0.8799348496676284	0.5206695263619199	1
AGIQA-3K	MAE	vit_mae_huge	pcc	7	hidden_state_007	0.8785236030248738	0.5246998596196579	2
AGIQA-3K	MAE	vit_mae_base	pcc	3	hidden_state_003	0.8169463081478323	0.4795570094144923	3
AGIQA-3K	ResNeXt	resnext101_32x8d	pcc	2	feature_map_002	0.8454373274092212	0.4950442299835804	1
AGIQA-3K	ResNeXt	resnext50_32x4d	pcc	2	feature_map_002	0.7701271368586845	0.4504572720965649	2
AGIQA-3K	ResNet	resnet50	pcc	2	hidden_state_002	0.7622608231398024	0.44614709495878063	1
AGIQA-3K	ResNet	resnet18	pcc	2	hidden_state_002	0.7514632603021435	0.44828321258121334	2
AGIQA-3K	ResNet	resnet101	pcc	2	hidden_state_002	0.7223871948388694	0.42884319958077555	3
AGIQA-3K	ResNet	resnet152	pcc	2	hidden_state_002	0.7026467215059716	0.4175897323066052	4
AGIQA-3K	ResNet	resnet34	pcc	2	hidden_state_002	0.6700487724776385	0.40386947646168275	5
AGIQA-3K	SigLIP	siglip_so400m	pcc	8	hidden_state_008	0.9120810106297006	0.559087137343765	1
AGIQA-3K	SigLIP	siglip_large	pcc	8	hidden_state_008	0.894159510848072	0.5384825889613465	2
AGIQA-3K	SigLIP	siglip_base	pcc	3	hidden_state_003	0.6834044616543267	0.40466307325887413	3
AGIQA-3K	SigLIP2	siglip2_so400m	pcc	1	pooler_output	0.23804266151745768	0.19251628573990753	1
AGIQA-3K	SigLIP2	siglip2_so400m_naflex	pcc	1	pooler_output	0.23292683870435263	0.1782820481492477	2
AGIQA-3K	SigLIP2	siglip2_large	pcc	1	pooler_output	0.2083458710611474	0.1635543547706336	3
AGIQA-3K	SigLIP2	siglip2_base_naflex	pcc	1	pooler_output	0.1361163077007727	0.10970833907411136	4
AGIQA-3K	SigLIP2	siglip2_base	pcc	1	pooler_output	0.07612886835471769	0.03524504604167249	5
AGIQA-3K	Swin	swin_base	pcc	3	hidden_state_003	0.656998072485548	0.3843657959601747	1
AGIQA-3K	Swin	swin_large	pcc	3	hidden_state_003	0.5258226325617543	0.31785917079781056	2
AGIQA-3K	Swin	swin_small	pcc	3	hidden_state_003	0.5176788410153066	0.30943507798655645	3
AGIQA-3K	Swin	swin_tiny	pcc	3	hidden_state_003	0.4659291187080667	0.28421220274428954	4
AGIQA-3K	SwinV2	swinv2_large	pcc	3	hidden_state_003	0.6776872577710986	0.40008293597219335	1
AGIQA-3K	SwinV2	swinv2_tiny	pcc	1	hidden_state_001	0.49973799731076485	0.3126925092844946	2
AGIQA-3K	SwinV2	swinv2_base	pcc	2	hidden_state_002	0.4694312284852591	0.2980479017120238	3
AGIQA-3K	SwinV2	swinv2_small	pcc	1	hidden_state_001	0.4113725931861246	0.26838328475202944	4
AGIQA-3K	VGG	vgg19_bn	pcc	2	feature_map_002	0.7969562982093545	0.47410061495293	1
AGIQA-3K	VGG	vgg16_bn	pcc	2	feature_map_002	0.7306365182314324	0.4309812354561968	2
AGIQA-3K	VGG	vgg13	pcc	1	feature_map_001	0.6888027057419641	0.4244279506329409	3
AGIQA-3K	VGG	vgg16	pcc	1	feature_map_001	0.6783913765651383	0.41706594177974865	4
AGIQA-3K	VGG	vgg11_bn	pcc	2	feature_map_002	0.67314358521127	0.4030580095693804	5
AGIQA-3K	VGG	vgg19	pcc	1	feature_map_001	0.6289098366857069	0.3942241862257777	6
AGIQA-3K	VGG	vgg13_bn	pcc	2	feature_map_002	0.6043808827018904	0.3684740562965689	7
AGIQA-3K	VGG	vgg11	pcc	2	feature_map_002	0.5802373026489998	0.36468543370992557	8
AGIQA-3K	ViT	vit_small	pcc	3	block_003	0.9357669994394561	0.573555564753777	1
AGIQA-3K	ViT	vit_tiny	pcc	3	block_003	0.9125747105289402	0.5582599257956754	2
AGIQA-3K	ViT	vit_huge	pcc	10	hidden_state_010	0.8717727888606516	0.5182899524900384	3
AGIQA-3K	ViT	vit_base	pcc	4	hidden_state_004	0.8456580630629081	0.5036587260970495	4
AGIQA-3K	ViT	vit_large	pcc	6	hidden_state_006	0.8172240009078748	0.48044574686257424	5
AGIQA-3K	CLIP	clip_vit_l14_336	scc	9	hidden_state_009	0.9851301115241635	0.6292050829002002	1
AGIQA-3K	CLIP	clip_vit_l14	scc	9	hidden_state_009	0.9842007434944238	0.6233110601942482	2
AGIQA-3K	CLIP	clip_vit_b16	scc	6	hidden_state_006	0.9772304832713754	0.6098358593125572	3
AGIQA-3K	CLIP	clip_vit_b32	scc	6	hidden_state_006	0.966542750929368	0.5917598082163201	4
AGIQA-3K	ConvNeXt	convnext_base	scc	1	hidden_state_001	0.6789033457249071	0.4026704258656443	1
AGIQA-3K	ConvNeXt	convnext_small	scc	1	hidden_state_001	0.6610130111524164	0.3944923726702306	2
AGIQA-3K	ConvNeXt	convnext_large	scc	2	hidden_state_002	0.6593866171003717	0.39410546277687086	3
AGIQA-3K	ConvNeXt	convnext_tiny	scc	1	hidden_state_001	0.5968866171003717	0.36378270451483063	4
AGIQA-3K	DINO	dino_vits16	scc	5	hidden_state_005	0.8064591078066914	0.45009233336779436	1
AGIQA-3K	DINO	dino_vitb8	scc	6	hidden_state_006	0.8062267657992566	0.4500619686979884	2
AGIQA-3K	DINO	dino_vits8	scc	5	hidden_state_005	0.7565055762081785	0.42874314160222626	3
AGIQA-3K	DINO	dino_vitb16	scc	5	hidden_state_005	0.7321096654275093	0.4187616242089911	4
AGIQA-3K	DINOv2	dinov2_large	scc	12	hidden_state_012	0.974907063197026	0.607724031521072	1
AGIQA-3K	DINOv2	dinov2_base	scc	5	hidden_state_005	0.9609665427509294	0.5877123628211305	2
AGIQA-3K	DINOv2	dinov2_giant	scc	17	hidden_state_017	0.9565520446096655	0.5749392007302753	3
AGIQA-3K	DINOv2	dinov2_small	scc	5	hidden_state_005	0.9314591078066914	0.547653942300208	4
AGIQA-3K	DINOv3	dinov3_vith16plus	scc	10	block_010	0.7637081784386617	0.43257684899208587	1
AGIQA-3K	DINOv3	dinov3_vitl16	scc	9	block_009	0.7530204460966543	0.43194111913972705	2
AGIQA-3K	DINOv3	dinov3_vitb16	scc	3	block_003	0.7404739776951673	0.42500948462605176	3
AGIQA-3K	DINOv3	dinov3_vits16plus	scc	1	block_001	0.733271375464684	0.423709237344715	4
AGIQA-3K	DINOv3	dinov3_vit7b16	scc	10	block_010	0.6974907063197027	0.41075322515273766	5
AGIQA-3K	DINOv3	dinov3_vits16	scc	4	block_004	0.6830855018587361	0.402750763605619	6
AGIQA-3K	FastViT	fastvit_sa24	scc	2	feature_map_002	0.7894981412639406	0.4423283506966859	1
AGIQA-3K	FastViT	fastvit_s12	scc	1	feature_map_001	0.7576672862453532	0.42863737147854175	2
AGIQA-3K	FastViT	fastvit_ma36	scc	1	feature_map_001	0.7044609665427509	0.40947467176615004	3
AGIQA-3K	FastViT	fastvit_t12	scc	1	feature_map_001	0.6556691449814126	0.3897959038573506	4
AGIQA-3K	FastViT	fastvit_sa12	scc	1	feature_map_001	0.6403345724907064	0.3774276546933329	5
AGIQA-3K	FastViT	fastvit_t8	scc	1	feature_map_001	0.5529739776951673	0.34064569140813006	6
AGIQA-3K	FastViT	fastvit_sa36	scc	0	feature_map_000	0.4735130111524164	0.30574910457219767	7
AGIQA-3K	FastViTHD	fastvithd_05b	scc	5	block_005	0.5703996282527881	0.3560905104708574	1
AGIQA-3K	FastViTHD	fastvithd_15b	scc	5	block_005	0.5615706319702602	0.35164996993683634	2
AGIQA-3K	FastViTHD	fastvithd_7b	scc	5	block_005	0.5183550185873605	0.3330344582037873	3
AGIQA-3K	I-JEPA	ijepa_vith14	scc	21	hidden_state_021	0.7825278810408922	0.4397333045561328	1
AGIQA-3K	InternViT	internvit_6b_v25	scc	23	hidden_state_023	0.9635223048327137	0.6295421808126895	1
AGIQA-3K	InternViT	internvit_300m_v25	scc	9	hidden_state_009	0.8824349442379182	0.5042674580169435	2
AGIQA-3K	InternViT	internvit_300m	scc	9	hidden_state_009	0.8492100371747212	0.48195881345019476	3
AGIQA-3K	MAE	vit_mae_huge	scc	7	hidden_state_007	0.9110130111524164	0.5202766206859237	1
AGIQA-3K	MAE	vit_mae_large	scc	9	hidden_state_009	0.9063661710037175	0.520702930028554	2
AGIQA-3K	MAE	vit_mae_base	scc	3	hidden_state_003	0.8508364312267658	0.4810226081326333	3
AGIQA-3K	ResNeXt	resnext101_32x8d	scc	2	feature_map_002	0.845724907063197	0.47218549802712184	1
AGIQA-3K	ResNeXt	resnext50_32x4d	scc	2	feature_map_002	0.8073884758364313	0.45164122814960017	2
AGIQA-3K	ResNet	resnet50	scc	2	hidden_state_002	0.8048327137546468	0.4514732465361195	1
AGIQA-3K	ResNet	resnet101	scc	2	hidden_state_002	0.7683550185873607	0.4334222829818745	2
AGIQA-3K	ResNet	resnet152	scc	2	hidden_state_002	0.7516263940520447	0.4275154608164041	3
AGIQA-3K	ResNet	resnet18	scc	2	hidden_state_002	0.7437267657992566	0.4273443714033651	4
AGIQA-3K	ResNet	resnet34	scc	1	hidden_state_001	0.6705390334572491	0.3970760878392002	5
AGIQA-3K	SigLIP	siglip_large	scc	7	hidden_state_007	0.9247211895910781	0.5382238706583141	1
AGIQA-3K	SigLIP	siglip_so400m	scc	8	hidden_state_008	0.9203066914498141	0.5594025383078377	2
AGIQA-3K	SigLIP	siglip_base	scc	3	hidden_state_003	0.6953996282527881	0.40096858304571326	3
AGIQA-3K	SigLIP2	siglip2_so400m	scc	1	pooler_output	0.20678438661710036	0.15911853859061503	1
AGIQA-3K	SigLIP2	siglip2_large	scc	1	pooler_output	0.19400557620817846	0.1427495049010167	2
AGIQA-3K	SigLIP2	siglip2_so400m_naflex	scc	1	pooler_output	0.16426579925650558	0.1271515201242323	3
AGIQA-3K	SigLIP2	siglip2_base_naflex	scc	1	pooler_output	0.10966542750929367	0.08464831942697139	4
AGIQA-3K	SigLIP2	siglip2_base	scc	1	pooler_output	0.07365241635687733	0.02796438237281843	5
AGIQA-3K	Swin	swin_base	scc	3	hidden_state_003	0.6366171003717472	0.37499265604129434	1
