reference_model_key	model_key	family	reference_alignment_score	dataset_count
arniqa_kadid10k	siglip_so400m	SigLIP	0.987927795086304	8
arniqa_kadid10k	clip_vit_l14_336	CLIP	0.9806587456334626	8
arniqa_kadid10k	clip_vit_l14	CLIP	0.9783269152994777	8
arniqa_kadid10k	internvit_300m_v25	InternViT	0.9686754476804122	8
arniqa_kadid10k	internvit_6b_v25	InternViT	0.9670146961646586	8
arniqa_kadid10k	internvit_300m	InternViT	0.9551856147751646	8
arniqa_kadid10k	dinov2_large	DINOv2	0.9494898619364981	8
arniqa_kadid10k	siglip_large	SigLIP	0.9473725299724757	8
arniqa_kadid10k	clip_vit_b16	CLIP	0.9423619230005578	8
arniqa_kadid10k	dinov2_small	DINOv2	0.9237406376239303	8
arniqa_kadid10k	dinov2_giant	DINOv2	0.9227233028294394	8
arniqa_kadid10k	dinov2_base	DINOv2	0.920399988043389	8
arniqa_kadid10k	clip_vit_b32	CLIP	0.9100988661654942	8
arniqa_kadid10k	vit_small	ViT	0.9069344536508737	8
arniqa_kadid10k	vit_mae_large	MAE	0.9041473452797643	8
arniqa_kadid10k	vit_mae_huge	MAE	0.8974148135730436	8
arniqa_kadid10k	vit_tiny	ViT	0.893044339600759	8
arniqa_kadid10k	fastvit_ma36	FastViT	0.8603978814964689	8
arniqa_kadid10k	resnext101_32x8d	ResNeXt	0.8395804572184024	8
arniqa_kadid10k	siglip_base	SigLIP	0.8379438270189911	8
arniqa_kadid10k	fastvithd_05b	FastViTHD	0.8111657019404545	8
arniqa_kadid10k	fastvithd_15b	FastViTHD	0.8055584640395426	8
arniqa_kadid10k	fastvit_sa24	FastViT	0.7967789539036927	8
arniqa_kadid10k	fastvithd_7b	FastViTHD	0.7931625410730694	8
arniqa_kadid10k	resnet101	ResNet	0.789882292731601	8
arniqa_kadid10k	convnext_base	ConvNeXt	0.7880433735688335	8
arniqa_kadid10k	vit_mae_base	MAE	0.7849379464475178	8
arniqa_kadid10k	resnext50_32x4d	ResNeXt	0.7841090377535546	8
arniqa_kadid10k	resnet50	ResNet	0.7814956889150019	8
arniqa_kadid10k	convnext_small	ConvNeXt	0.7814330084102467	8
arniqa_kadid10k	dinov3_vith16plus	DINOv3	0.7812961604839836	8
arniqa_kadid10k	dinov3_vitl16	DINOv3	0.7804131517666534	8
arniqa_kadid10k	swinv2_tiny	SwinV2	0.7727098918617099	8
arniqa_kadid10k	vgg16_bn	VGG	0.7683732046387469	8
arniqa_kadid10k	fastvit_sa12	FastViT	0.7604605939379006	8
arniqa_kadid10k	resnet34	ResNet	0.7587182505958637	8
arniqa_kadid10k	dinov3_vitb16	DINOv3	0.7573289724036382	8
arniqa_kadid10k	resnet18	ResNet	0.7515615680431822	8
arniqa_kadid10k	vgg19_bn	VGG	0.747718847221654	8
arniqa_kadid10k	resnet152	ResNet	0.7476408873130784	8
arniqa_kadid10k	dinov3_vits16plus	DINOv3	0.7435301014626929	8
arniqa_kadid10k	dinov3_vits16	DINOv3	0.7351117013024551	8
arniqa_kadid10k	vgg13_bn	VGG	0.7350004729783355	8
arniqa_kadid10k	vit_huge	ViT	0.7332256870320313	8
arniqa_kadid10k	swinv2_base	SwinV2	0.7328531291217739	8
arniqa_kadid10k	swinv2_small	SwinV2	0.7262634211728514	8
arniqa_kadid10k	swinv2_large	SwinV2	0.7248315187167637	8
arniqa_kadid10k	dinov3_vit7b16	DINOv3	0.7235550330932519	7
arniqa_kadid10k	fastvit_s12	FastViT	0.7194486766483639	8
arniqa_kadid10k	fastvit_t12	FastViT	0.7192943718264149	8
arniqa_kadid10k	vgg13	VGG	0.7166592773476194	8
arniqa_kadid10k	swin_base	Swin	0.7135213722669952	8
arniqa_kadid10k	vgg11_bn	VGG	0.7085950147827087	8
arniqa_kadid10k	vgg16	VGG	0.7074151441019573	8
arniqa_kadid10k	swin_large	Swin	0.7033655246905677	8
arniqa_kadid10k	vgg19	VGG	0.6936265330021933	8
arniqa_kadid10k	swin_tiny	Swin	0.6908224554561931	8
arniqa_kadid10k	convnext_tiny	ConvNeXt	0.6900303784471915	8
arniqa_kadid10k	fastvit_sa36	FastViT	0.6802725122422455	8
