alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
1	dinov2_large	DINOv2	0.914817307070943	0.08020152330911445	8.375	8	10	hidden_state_010	0.9004024664705993	8	1.0	True	10.0	hidden_state_010	67689816064.0	224.0	224.0	10.0	hidden_state_010	index	162023964672.0	26.0	0.41777656904662663	0.5822234309533734	67.689816064	162.023964672	True
2	dinov2_small	DINOv2	0.8917856451615535	0.06561130978244224	13.0	8	4	hidden_state_004	0.8737265766476003	8	1.0	True	4.0	hidden_state_004	4159444992.0	224.0	224.0	4.0	hidden_state_004	index	12247123968.0	14.0	0.3396262667764318	0.6603737332235682	4.159444992	12.247123968	True
3	dinov2_base	DINOv2	0.8907627129796069	0.09135445658934115	14.125	8	4	hidden_state_004	0.8868447438397179	8	1.0	True	4.0	hidden_state_004	15594958848.0	224.0	224.0	4.0	hidden_state_004	index	46322454528.0	14.0	0.33666089171879904	0.663339108281201	15.594958848	46.322454528	True
4	siglip_large	SigLIP	0.8891624578851005	0.04438594397580917	12.0	8	8	hidden_state_008	0.8528601069904517	8	1.0	True	8.0	hidden_state_008	55185506304.0	256.0	256.0	8.0	hidden_state_008	index	162559688704.0	27.0	0.3394784201665495	0.6605215798334505	55.185506304	162.559688704	True
5	vit_mae_large	MAE	0.8868935296842506	0.07410210387115185	11.875	8	7	hidden_state_007	0.8688933807549359	8	1.0	True	7.0	hidden_state_007	9187999744.0	224.0	224.0	7.0	hidden_state_007	index	30753030144.0	26.0	0.2987672987337348	0.7012327012662651	9.187999744	30.753030144	True
6	siglip_so400m	SigLIP	0.8849661549787049	0.1063879683762314	14.0	8	11	hidden_state_011	0.8255425569240337	8	1.0	True	11.0	hidden_state_011	275999486976.0	384.0	384.0	11.0	hidden_state_011	index	670346449920.0	30.0	0.411726633308699	0.5882733666913009	275.999486976	670.34644992	True
7	clip_vit_l14	CLIP	0.8772705409457978	0.1113435452641661	15.25	8	6	hidden_state_006	0.824553133498656	8	1.0	True	6.0	hidden_state_006	40737202176.0	224.0	224.0	6.0	hidden_state_006	index	162025537536.0	28.0	0.2514245766161937	0.7485754233838062	40.737202176	162.025537536	True
8	vit_mae_huge	MAE	0.8763640609251196	0.08778580247571958	13.875	8	7	hidden_state_007	0.8673809526023932	8	1.0	True	7.0	hidden_state_007	18428103680.0	224.0	224.0	7.0	hidden_state_007	index	82866503680.0	34.0	0.22238302404023907	0.7776169759597609	18.42810368	82.86650368	True
9	vit_tiny	ViT	0.8746967532562808	0.08027255900154004	16.375	8	3	block_003	0.8655482867135299	8	1.0	True	3.0	block_003	874195968.0	224.0	224.0	3.0	block_003	index	2506982400.0	13.0	0.3487044695646846	0.6512955304353154	0.874195968	2.5069824	True
10	dinov2_giant	DINOv2	0.8722904108685242	0.10519636713053572	18.125	8	13	hidden_state_013	0.8522154378699639	8	1.0	True	13.0	hidden_state_013	194915678208.0	224.0	224.0	13.0	hidden_state_013	index	598780133376.0	42.0	0.3255212845974701	0.6744787154025299	194.915678208	598.780133376	True
11	vit_small	ViT	0.8712438070864907	0.08271949931242276	15.375	8	3	block_003	0.8575454520530861	8	1.0	True	3.0	block_003	3142735872.0	224.0	224.0	3.0	block_003	index	9196996608.0	13.0	0.3417132794488903	0.6582867205511097	3.142735872	9.196996608	True
12	siglip_base	SigLIP	0.8655469799646915	0.08353678976665437	14.75	8	3	hidden_state_003	0.8325232082956557	8	1.0	True	3.0	hidden_state_003	9383669760.0	224.0	224.0	3.0	hidden_state_003	index	35416584192.0	15.0	0.26495129256761046	0.7350487074323895	9.38366976	35.416584192	True
13	clip_vit_l14_336	CLIP	0.8549937692892023	0.11587397112419519	19.875	8	6	hidden_state_006	0.7888090470444765	8	1.0	True	6.0	hidden_state_006	95999778816.0	336.0	336.0	6.0	hidden_state_006	index	381919789056.0	28.0	0.2513611013801743	0.7486388986198257	95.999778816	381.919789056	True
14	resnext101_32x8d	ResNeXt	0.840577037777241	0.06478211932260876	16.5	8	2	feature_map_002	0.840577037777241	8	1.0	True	2.0	feature_map_002	7210893312.0	224.0	224.0	2.0	feature_map_002	index	32823934976.0	5.0	0.219683999413002	0.780316000586998	7.210893312	32.823934976	True
15	clip_vit_b32	CLIP	0.8343272786998992	0.10841773922939252	24.875	8	8	hidden_state_008	0.7471146409662485	8	1.0	True	8.0	hidden_state_008	5954961408.0	224.0	224.0	8.0	hidden_state_008	index	8817623040.0	16.0	0.6753476964240921	0.3246523035759079	5.954961408	8.81762304	True
16	clip_vit_b16	CLIP	0.8225456733398501	0.14033290484175773	27.875	8	4	hidden_state_004	0.7819377257471819	8	1.0	True	4.0	hidden_state_004	11862847488.0	224.0	224.0	4.0	hidden_state_004	index	35126906880.0	16.0	0.33771397887453275	0.6622860211254673	11.862847488	35.12690688	True
17	internvit_300m_v25	InternViT	0.819176907463918	0.12921587158537712	27.75	8	8	hidden_state_008	0.8134730415621307	8	1.0	True	8.0	hidden_state_008	242019762176.0	448.0	448.0	8.0	hidden_state_008	index	723593035776.0	26.0	0.3344694465120877	0.6655305534879123	242.019762176	723.593035776	True
18	resnext50_32x4d	ResNeXt	0.7980344115731377	0.06477441705052192	23.75	8	2	feature_map_002	0.792690545402134	8	1.0	True	2.0	feature_map_002	3675291648.0	224.0	224.0	2.0	feature_map_002	index	8456863744.0	5.0	0.43459274729447506	0.5654072527055249	3.675291648	8.456863744	True
19	vit_mae_base	MAE	0.7951884613091053	0.09877226665177734	29.625	8	6	hidden_state_006	0.756497741114041	8	1.0	True	6.0	hidden_state_006	4524023808.0	224.0	224.0	6.0	hidden_state_006	index	8816836608.0	14.0	0.513111902731089	0.486888097268911	4.524023808	8.816836608	True
20	resnet18	ResNet	0.7950516622473068	0.04999746261083722	23.375	8	2	hidden_state_002	0.7671811692314331	8	1.0	True	2.0	hidden_state_002	1982955520.0	224.0	224.0	2.0	hidden_state_002	index	3627122688.0	6.0	0.5467020805666224	0.4532979194333776	1.98295552	3.627122688	True
21	internvit_6b_v25	InternViT	0.7882157305551786	0.1724530987388708	33.75	8	23	hidden_state_023	0.7698808235192305	8	1.0	True								missing	4780189516800.0	19.0				4780.1895168	False
22	internvit_300m	InternViT	0.7881594992903755	0.13227044262491447	33.25	8	8	hidden_state_008	0.7829373447734291	8	1.0	True	8.0	hidden_state_008	242019762176.0	448.0	448.0	8.0	hidden_state_008	index	723593035776.0	26.0	0.3344694465120877	0.6655305534879123	242.019762176	723.593035776	True
23	resnet101	ResNet	0.787317935385872	0.08769049291417191	23.75	8	2	hidden_state_002	0.787317935385872	8	1.0	True	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	15598714880.0	6.0	0.23252702007205353	0.7674729799279465	3.627122688	15.59871488	True
24	resnet50	ResNet	0.7853564249202166	0.0723470106433803	25.375	8	2	hidden_state_002	0.778585057035789	8	1.0	True	2.0	hidden_state_002	3627122688.0	224.0	224.0	2.0	hidden_state_002	index	8174272512.0	6.0	0.44372421921037125	0.5562757807896288	3.627122688	8.174272512	True
25	fastvit_sa24	FastViT	0.7844104477831009	0.09429098629411804	30.375	8	2	feature_map_002	0.7760654973493959	8	1.0	True	2.0	feature_map_002	5838733312.0	256.0	256.0	2.0	feature_map_002	index	7536312320.0	4.0	0.7747467281186139	0.2252532718813861	5.838733312	7.53631232	True
26	fastvit_ma36	FastViT	0.7782209567584512	0.0749127236071371	31.375	8	1	feature_map_001	0.7782209567584512	8	1.0	True	1.0	feature_map_001	5066653696.0	256.0	256.0	1.0	feature_map_001	index	15647059968.0	4.0	0.3238086711728515	0.6761913288271485	5.066653696	15.647059968	True
27	resnet34	ResNet	0.7735590510846927	0.08287909772773942	27.75	8	2	hidden_state_002	0.701691003507727	8	1.0	True	2.0	hidden_state_002	3370221568.0	224.0	224.0	2.0	hidden_state_002	index	7326498816.0	6.0	0.46000438308130615	0.5399956169186939	3.370221568	7.326498816	True
28	resnet152	ResNet	0.7596881227506521	0.07742180750765716	30.5	8	2	hidden_state_002	0.7596881227506521	8	1.0	True	2.0	hidden_state_002	5374050304.0	224.0	224.0	2.0	hidden_state_002	index	23023157248.0	6.0	0.23341934584001675	0.7665806541599832	5.374050304	23.023157248	True
29	fastvithd_15b	FastViTHD	0.7529829741637166	0.10647928147822543	30.125	8	25	block_025	0.645396499177048	8	1.0	True	25.0	block_025	264841986048.0	1024.0	1024.0	25.0	block_025	index	486712541184.0	46.0	0.5441445692024554	0.45585543079754465	264.841986048	486.712541184	True
30	vgg19_bn	VGG	0.750185621313607	0.10088227407035517	35.125	8	2	feature_map_002	0.7256735395292204	8	1.0	True	2.0	feature_map_002	22369665024.0	224.0	224.0	2.0	feature_map_002	index	39016857600.0	6.0	0.5733333333333334	0.42666666666666664	22.369665024	39.0168576	True
31	vit_huge	ViT	0.7442931258231308	0.1561840845449488	37.0	8	8	hidden_state_008	0.7326518369514227	8	1.0	True	8.0	hidden_state_008	83935928320.0	224.0	224.0	8.0	hidden_state_008	index	334587658240.0	34.0	0.25086379085684235	0.7491362091431577	83.93592832	334.58765824	True
32	fastvithd_05b	FastViTHD	0.7431080345229639	0.1042472368423599	32.75	8	18	block_018	0.6267814699192669	8	1.0	True	18.0	block_018	195919085568.0	1024.0	1024.0	18.0	block_018	index	486712541184.0	46.0	0.402535519408228	0.5974644805917719	195.919085568	486.712541184	True
33	dino_vitb8	DINO	0.7394943714611829	0.12175734142021984	38.375	8	4	hidden_state_004	0.6731663428927195	8	1.0	True	4.0	hidden_state_004	52252520448.0	224.0	224.0	4.0	hidden_state_004	index	156295139328.0	14.0	0.33431954872469316	0.6656804512753068	52.252520448	156.295139328	True
34	fastvithd_7b	FastViTHD	0.7393369077185759	0.11570959179765844	31.625	8	25	block_025	0.6314887600414709	8	1.0	True	25.0	block_025	264841986048.0	1024.0	1024.0	25.0	block_025	index	486712541184.0	46.0	0.5441445692024554	0.45585543079754465	264.841986048	486.712541184	True
35	vgg11_bn	VGG	0.7381524487130947	0.035407888551333	34.625	8	2	feature_map_002	0.7125367423933922	8	1.0	True	2.0	feature_map_002	7572160512.0	224.0	224.0	2.0	feature_map_002	index	14970912768.0	6.0	0.5057915057915058	0.4942084942084942	7.572160512	14.970912768	True
36	vgg19	VGG	0.7331518116556752	0.08172124803827226	32.5	8	2	feature_map_002	0.6646150386162277	8	1.0	True	2.0	feature_map_002	22369665024.0	224.0	224.0	2.0	feature_map_002	index	39016857600.0	6.0	0.5733333333333334	0.42666666666666664	22.369665024	39.0168576	True
