family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
CLIP	clip_vit_b32	pcc	0.910586489786864	0.04839370025090116	19.375	8	10	hidden_state_010	0.7334949804568294	1
CLIP	clip_vit_l14_336	pcc	0.9052540484094848	0.13475862670717276	18.5	8	20	hidden_state_020	0.8151104999647506	2
CLIP	clip_vit_b16	pcc	0.9041745983916593	0.07042352989229715	19.875	8	10	hidden_state_010	0.6818037967006159	3
CLIP	clip_vit_l14	pcc	0.8957992050315051	0.12512320998666873	21.1875	8	20	hidden_state_020	0.8085555885603511	4
ConvNeXt	convnext_tiny	pcc	0.6609083751404192	0.18329218045976586	50.0	8	2	hidden_state_002	0.46865564998554743	1
ConvNeXt	convnext_small	pcc	0.5989596201696752	0.13006510910041386	59.5	8	2	hidden_state_002	0.4158051176924671	2
ConvNeXt	convnext_base	pcc	0.590196350905772	0.1486580425142953	59.125	8	1	hidden_state_001	0.3765774133592849	3
ConvNeXt	convnext_large	pcc	0.5683469229068321	0.13811614577538406	61.25	8	2	hidden_state_002	0.4128856697263197	4
DINO	dino_vits8	pcc	0.8305919383582312	0.10357458582235914	27.4375	8	5	hidden_state_005	0.7234997469246434	1
DINO	dino_vits16	pcc	0.81045734919544	0.11848462211361264	31.5	8	6	hidden_state_006	0.6543410584808821	2
DINO	dino_vitb8	pcc	0.8066132548131564	0.08303237796882253	32.375	8	4	hidden_state_004	0.650755609403706	3
DINO	dino_vitb16	pcc	0.7662013060853651	0.14825496689365647	38.0	8	5	hidden_state_005	0.6266753717401105	4
DINOv2	dinov2_base	pcc	0.9100746658420608	0.054943353454845474	19.5625	8	3	hidden_state_003	0.7506594156246842	1
DINOv2	dinov2_small	pcc	0.8992661346669439	0.07079308628656861	21.0625	8	4	hidden_state_004	0.7349020935526409	2
DINOv2	dinov2_giant	pcc	0.8783584320526309	0.08254431754796382	24.125	8	30	hidden_state_030	0.7262932904513688	3
DINOv2	dinov2_large	pcc	0.8645019016199625	0.13392937991146722	25.6875	8	20	hidden_state_020	0.7278442994884262	4
DINOv3	dinov3_vith16plus	pcc	0.8541384914748686	0.08516829875005247	24.375	8	18	block_018	0.6956249740169729	1
DINOv3	dinov3_vitl16	pcc	0.8469205521048866	0.09189886718805802	24.75	8	15	block_015	0.7014136128073546	2
DINOv3	dinov3_vits16plus	pcc	0.8206344210622039	0.11678479752048182	27.875	8	6	block_006	0.6181720843457276	3
DINOv3	dinov3_vitb16	pcc	0.8147612824313628	0.07288132133405126	31.5	8	6	block_006	0.5737890826074948	4
DINOv3	dinov3_vits16	pcc	0.803136592471143	0.10993064958189609	32.125	8	8	block_008	0.6207213956706432	5
FastViT	fastvit_ma36	pcc	0.808253599674211	0.08378436722967618	33.0	8	2	feature_map_002	0.6351475313839493	1
FastViT	fastvit_sa24	pcc	0.7526764837585834	0.11416975782273932	40.25	8	2	feature_map_002	0.6405622401423035	2
FastViT	fastvit_sa12	pcc	0.6881065979777238	0.14617620946855378	48.375	8	3	feature_map_003	0.4917183340030536	3
FastViT	fastvit_s12	pcc	0.6847908351155013	0.1024632860615293	49.875	8	0	feature_map_000	0.45503650778091403	4
FastViT	fastvit_t12	pcc	0.6711895836203794	0.1189680364790871	51.125	8	3	feature_map_003	0.46327181374259097	5
FastViT	fastvit_sa36	pcc	0.6422638876364254	0.1268668005355026	54.75	8	3	feature_map_003	0.4817076092556822	6
FastViT	fastvit_t8	pcc	0.6227290834515211	0.17546424159604695	55.75	8	3	feature_map_003	0.47855370582166007	7
FastViTHD	fastvithd_15b	pcc	0.8848382388958212	0.17046388591173164	15.375	8	42	block_042	0.7405690287305889	1
FastViTHD	fastvithd_05b	pcc	0.8750213920061666	0.18661677921336098	17.0	8	42	block_042	0.7002937646283012	2
FastViTHD	fastvithd_7b	pcc	0.8561471311719568	0.19216810630901104	20.625	8	42	block_042	0.6785198113924935	3
I-JEPA	ijepa_vith14	pcc	0.7611165004566516	0.14034686405125962	38.625	8	22	hidden_state_022	0.5867975234472427	1
InternViT	internvit_6b_v25	pcc	0.7999252661588804	0.24732127304114213	29.75	8	45	hidden_state_045	0.7048461737855944	1
InternViT	internvit_300m_v25	pcc	0.7047783668390587	0.2637351041562864	38.25	8	7	hidden_state_007	0.5604814636437954	2
InternViT	internvit_300m	pcc	0.647014900582303	0.2940657885842636	41.125	8	7	hidden_state_007	0.5508006589819519	3
MAE	vit_mae_large	pcc	0.8168314748690251	0.1014348280650273	30.625	8	13	hidden_state_013	0.6352410130689212	1
MAE	vit_mae_huge	pcc	0.7677993302848245	0.1303058199851527	36.125	8	18	hidden_state_018	0.6404515779071344	2
MAE	vit_mae_base	pcc	0.7585122285469005	0.11868672867179507	38.5	8	8	hidden_state_008	0.5607362933029809	3
ResNeXt	resnext101_32x8d	pcc	0.7907443826484032	0.13239159668888098	34.3125	8	3	feature_map_003	0.6624286112275486	1
ResNeXt	resnext50_32x4d	pcc	0.7326480159688945	0.16069370755627713	41.125	8	2	feature_map_002	0.5706048426587083	2
ResNet	resnet18	pcc	0.8031457141860634	0.1246348182634585	32.5	8	2	hidden_state_002	0.5823478792919999	1
ResNet	resnet34	pcc	0.8015770336531657	0.12864845554236995	33.875	8	3	hidden_state_003	0.5835321483600808	2
ResNet	resnet50	pcc	0.7265429859039552	0.15797672140411398	41.6875	8	2	hidden_state_002	0.5458267651631558	3
ResNet	resnet101	pcc	0.6936157741364429	0.1302080719995577	47.375	8	2	hidden_state_002	0.5378525084769834	4
ResNet	resnet152	pcc	0.6884281487568565	0.09567984534256532	50.875	8	3	hidden_state_003	0.5643313265719025	5
SigLIP	siglip_so400m	pcc	0.9044507940347141	0.09978814835691419	18.875	8	13	hidden_state_013	0.7538725112200468	1
SigLIP	siglip_large	pcc	0.8829454346807046	0.0723121073082667	24.1875	8	12	hidden_state_012	0.7855548737823789	2
