dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
AGIQA-3K	CLIP	clip_vit_l14_336	pcc	17	hidden_state_017	0.982388217917459	0.5069824598491894	1
AGIQA-3K	CLIP	clip_vit_l14	pcc	17	hidden_state_017	0.9749683189529177	0.48743509763856185	2
AGIQA-3K	CLIP	clip_vit_b16	pcc	8	hidden_state_008	0.9223588667384255	0.38209442630159385	3
AGIQA-3K	CLIP	clip_vit_b32	pcc	7	hidden_state_007	0.9121315197617517	0.37465715988699155	4
AGIQA-3K	ConvNeXt	convnext_tiny	pcc	2	hidden_state_002	0.8131256684400029	0.3078702683448889	1
AGIQA-3K	ConvNeXt	convnext_large	pcc	2	hidden_state_002	0.7822295547630757	0.29518596364544636	2
AGIQA-3K	ConvNeXt	convnext_base	pcc	2	hidden_state_002	0.7048467703386304	0.2714596779899172	3
AGIQA-3K	ConvNeXt	convnext_small	pcc	2	hidden_state_002	0.6915871559790776	0.2676296081446604	4
AGIQA-3K	DINO	dino_vits16	pcc	6	hidden_state_006	0.8238413420039961	0.312136568994378	1
AGIQA-3K	DINO	dino_vits8	pcc	5	hidden_state_005	0.7936949128061928	0.2968474069379851	2
AGIQA-3K	DINO	dino_vitb8	pcc	5	hidden_state_005	0.7311044262334545	0.2697464033048228	3
AGIQA-3K	DINO	dino_vitb16	pcc	5	hidden_state_005	0.6770783540642871	0.2557111932503492	4
AGIQA-3K	DINOv2	dinov2_large	pcc	13	hidden_state_013	0.9554881288494407	0.4381771618201673	1
AGIQA-3K	DINOv2	dinov2_base	pcc	3	hidden_state_003	0.9295421250459955	0.3906762083318531	2
AGIQA-3K	DINOv2	dinov2_small	pcc	3	hidden_state_003	0.9286127570162558	0.3897245033857419	3
AGIQA-3K	DINOv2	dinov2_giant	pcc	21	hidden_state_021	0.9191136012710247	0.37956974362784157	4
AGIQA-3K	DINOv3	dinov3_vith16plus	pcc	21	block_021	0.9656961319032012	0.45852577586513343	1
AGIQA-3K	DINOv3	dinov3_vit7b16	pcc	20	block_020	0.8672776910405827	0.34304258111435737	2
AGIQA-3K	DINOv3	dinov3_vitl16	pcc	13	block_013	0.8472369570375771	0.3267080755177426	3
AGIQA-3K	DINOv3	dinov3_vitb16	pcc	12	canonical_embedding	0.7724097197624394	0.2856991380439286	4
AGIQA-3K	DINOv3	dinov3_vits16plus	pcc	1	block_001	0.7338031184123196	0.27486743540902264	5
AGIQA-3K	DINOv3	dinov3_vits16	pcc	4	block_004	0.7132785714040077	0.26496084031959893	6
AGIQA-3K	FastViT	fastvit_ma36	pcc	2	feature_map_002	0.7553314000873486	0.2815590754111026	1
AGIQA-3K	FastViT	fastvit_sa24	pcc	2	feature_map_002	0.7376594369112999	0.27232988181756307	2
AGIQA-3K	FastViT	fastvit_s12	pcc	1	feature_map_001	0.6595267530752539	0.2509705577073614	3
AGIQA-3K	FastViT	fastvit_t12	pcc	1	feature_map_001	0.6259609631038313	0.23777120648261363	4
AGIQA-3K	FastViT	fastvit_sa12	pcc	2	feature_map_002	0.40598273146508296	0.1670675903445515	5
AGIQA-3K	FastViT	fastvit_t8	pcc	1	feature_map_001	0.3846934547042701	0.1547473808749268	6
AGIQA-3K	FastViT	fastvit_sa36	pcc	2	feature_map_002	0.3614237901021015	0.1459211123377041	7
AGIQA-3K	FastViTHD	fastvithd_15b	pcc	38	block_038	0.5077051143612723	0.19845323587388788	1
AGIQA-3K	FastViTHD	fastvithd_05b	pcc	38	block_038	0.47095295042109575	0.18563110635946864	2
AGIQA-3K	FastViTHD	fastvithd_7b	pcc	1	block_001	0.4325993245961849	0.17112295483754691	3
AGIQA-3K	I-JEPA	ijepa_vith14	pcc	21	hidden_state_021	0.724597775362892	0.2684765159070168	1
AGIQA-3K	InternViT	internvit_6b_v25	pcc	26	hidden_state_026	0.9981498612395929	0.560346961625262	1
AGIQA-3K	InternViT	internvit_300m_v25	pcc	9	hidden_state_009	0.8697870277073755	0.3467773006536401	2
AGIQA-3K	InternViT	internvit_300m	pcc	9	hidden_state_009	0.8291798348630794	0.3157100735438335	3
AGIQA-3K	MAE	vit_mae_large	pcc	12	hidden_state_012	0.7390233984091558	0.27272963088635815	1
AGIQA-3K	MAE	vit_mae_huge	pcc	11	hidden_state_011	0.6935886072031611	0.2599156586120045	2
AGIQA-3K	MAE	vit_mae_base	pcc	8	hidden_state_008	0.6097043302875969	0.23346342201311462	3
AGIQA-3K	ResNeXt	resnext101_32x8d	pcc	2	feature_map_002	0.7171024350989893	0.2681125352915849	1
AGIQA-3K	ResNeXt	resnext50_32x4d	pcc	2	feature_map_002	0.5727004804170722	0.2214236092326217	2
AGIQA-3K	ResNet	resnet18	pcc	2	hidden_state_002	0.6396053065968795	0.24181394987893895	1
AGIQA-3K	ResNet	resnet50	pcc	2	hidden_state_002	0.6047110189862753	0.2319024602152635	2
