triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
1	fastvithd_05b	FastViTHD	0.9973792160437558	0.0018895993564012016	1.625	4	44	image_embeddings	0.997151321786691	4	45	1	1.0	True	0.9777777777777777
2	fastvithd_15b	FastViTHD	0.9964676390154967	0.0001973622159946194	1.875	4	44	image_embeddings	0.9960118505013673	4	45	2	1.0	True	0.9777777777777777
3	fastvithd_7b	FastViTHD	0.9846171376481312	0.004674610641924791	5.125	4	45	canonical_embedding	0.9829079307201458	4	45	0	1.0	True	1.0
4	vgg16	VGG	0.9687784867821331	0.02477557527913375	9.375	4	4	feature_map_004	0.9682087511394712	4	5	0	1.0	True	0.8
5	siglip2_base_naflex	SigLIP2	0.966841385597083	0.012804230264581625	9.875	4	2	image_embeds_l2	0.9657019143117593	4	2	0	1.0	True	1.0
6	clip_vit_b16	CLIP	0.9608021877848678	0.011872394054358342	12.0	4	12	hidden_state_012	0.9608021877848678	4	15	0	1.0	True	0.8
7	vgg19	VGG	0.9594348222424796	0.04630573533757589	11.25	4	5	feature_map_005	0.9590929808568824	4	5	0	1.0	True	1.0
8	vit_tiny	ViT	0.9480401093892434	0.023615387755111943	17.25	4	10	block_010	0.9337967183226983	4	12	0	1.0	True	0.8333333333333334
9	vgg11	VGG	0.9465587967183227	0.016926806631485443	14.875	4	5	feature_map_005	0.9458751139471285	4	5	0	1.0	True	1.0
10	vgg19_bn	VGG	0.9458751139471285	0.02533293513939474	16.25	4	5	feature_map_005	0.944735642661805	4	5	0	1.0	True	1.0
11	siglip_base	SigLIP	0.9421148587055607	0.011094495391648227	18.5	4	12	hidden_state_012	0.9421148587055607	4	14	0	1.0	True	0.8571428571428571
12	vgg13	VGG	0.9348792160437557	0.032590621785975445	17.375	4	5	feature_map_005	0.9298655423883319	4	5	0	1.0	True	1.0
13	dinov3_vits16plus	DINOv3	0.933682771194166	0.02959731424407929	19.25	4	9	block_009	0.9058796718322699	4	12	0	1.0	True	0.75
14	siglip_so400m	SigLIP	0.930549225159526	0.06304672585975199	17.75	4	29	image_embeds_l2	0.9275865998176847	4	29	0	1.0	True	1.0
15	clip_vit_b32	CLIP	0.927073837739289	0.01783700267032775	22.0	4	15	image_embeds_l2	0.9186417502278943	4	15	0	1.0	True	1.0
16	siglip2_large	SigLIP2	0.927073837739289	0.005792281233882827	23.5	4	2	image_embeds_l2	0.925820419325433	4	2	0	1.0	True	1.0
17	siglip2_so400m_naflex	SigLIP2	0.9248518687329079	0.06811987215049076	20.25	4	2	image_embeds_l2	0.9165337283500455	4	2	1	1.0	True	1.0
18	dinov3_vits16	DINOv3	0.9206927985414768	0.036175656137419916	22.625	4	8	block_008	0.8772789425706472	4	12	0	1.0	True	0.6666666666666666
19	clip_vit_l14_336	CLIP	0.9096399270738378	0.1158601380955261	19.25	4	26	image_embeds	0.9023473108477666	4	27	0	1.0	True	0.9629629629629629
20	vgg16_bn	VGG	0.9095829535095716	0.04993260814297219	25.875	4	4	feature_map_004	0.9086144029170464	4	5	0	1.0	True	0.8
21	vgg13_bn	VGG	0.9076458523245214	0.032330226228241804	27.0	4	4	feature_map_004	0.907531905195989	4	5	0	1.0	True	0.8
22	dinov2_base	DINOv2	0.9070191431175935	0.028013386500217428	26.25	4	12	hidden_state_012	0.7646991795806746	4	13	0	1.0	True	0.9230769230769231
23	resnet18	ResNet	0.9000113947128533	0.026629214775065167	31.75	4	4	hidden_state_004	0.9000113947128533	4	5	0	1.0	True	0.8
24	vgg11_bn	VGG	0.8967639015496809	0.04985470105250128	30.875	4	4	feature_map_004	0.8967639015496809	4	5	0	1.0	True	0.8
25	dinov3_vit7b16	DINOv3	0.8961941659070192	0.05469592732413085	27.75	4	21	block_021	0.8628076572470373	4	40	0	1.0	True	0.525
26	siglip_large	SigLIP	0.8942570647219691	0.045984972800729884	29.25	4	12	hidden_state_012	0.8201914311759344	4	26	0	1.0	True	0.46153846153846156
27	clip_vit_l14	CLIP	0.8895852324521422	0.10349228738194462	26.75	4	24	hidden_state_024	0.8605287146763901	4	27	0	1.0	True	0.8888888888888888
28	resnet34	ResNet	0.8883887876025525	0.030914918563091556	31.5	4	3	hidden_state_003	0.8581927985414768	4	5	0	1.0	True	0.6
29	siglip2_base	SigLIP2	0.8875341841385597	0.10540614440091213	25.75	4	2	image_embeds_l2	0.8863947128532361	4	2	0	1.0	True	1.0
30	dinov3_vitb16	DINOv3	0.8862807657247037	0.059518807649530346	32.75	4	10	block_010	0.8347766636280766	4	12	0	1.0	True	0.8333333333333334
31	dinov3_vitl16	DINOv3	0.8849134001823153	0.03479774417800453	32.75	4	16	block_016	0.8587055606198724	4	24	0	1.0	True	0.6666666666666666
32	resnext50_32x4d	ResNeXt	0.8807543299908842	0.020574557442200103	34.75	4	4	feature_map_004	0.8111896080218779	4	4	0	1.0	True	1.0
33	fastvit_t8	FastViT	0.8798997265268915	0.05892950669259035	30.375	4	3	feature_map_003	0.8798997265268915	4	3	0	1.0	True	1.0
34	dinov2_giant	DINOv2	0.8729489516864175	0.031747518630886824	35.25	4	38	hidden_state_038	0.7367821330902461	4	41	0	1.0	True	0.926829268292683
35	dino_vits8	DINO	0.8656563354603464	0.06367463012521761	34.5	4	12	hidden_state_012	0.850045578851413	4	13	0	1.0	True	0.9230769230769231
36	resnext101_32x8d	ResNeXt	0.8655423883318141	0.06877801860810966	36.75	4	3	feature_map_003	0.8452597994530537	4	4	0	1.0	True	0.75
37	dinov2_small	DINOv2	0.8642889699179581	0.09603052703448146	35.375	4	11	hidden_state_011	0.8358021877848678	4	13	0	1.0	True	0.8461538461538461
38	vit_small	ViT	0.863947128532361	0.06668273193394697	33.625	4	11	block_011	0.7922174111212398	4	12	0	1.0	True	0.9166666666666666
39	resnet50	ResNet	0.8612123974475844	0.05143599129797521	36.5	4	4	hidden_state_004	0.8612123974475844	4	5	0	1.0	True	0.8
40	fastvit_s12	FastViT	0.8336371923427529	0.04874487155015362	41.5	4	3	feature_map_003	0.8171148587055607	4	3	0	1.0	True	1.0
41	dinov3_vith16plus	DINOv3	0.8268003646308113	0.05147182376860173	43.0	4	16	block_016	0.7284639927073837	4	32	0	1.0	True	0.5
42	siglip2_so400m	SigLIP2	0.8231540565177757	0.08954417482975734	42.0	4	2	image_embeds_l2	0.8140382862351869	4	2	0	1.0	True	1.0
43	dino_vits16	DINO	0.8140382862351868	0.09302776445615732	40.75	4	12	hidden_state_012	0.7621923427529627	4	13	0	1.0	True	0.9230769230769231
44	vit_mae_base	MAE	0.805834092980857	0.05713468557455521	44.0	4	11	hidden_state_011	0.7904512306289881	4	13	0	1.0	True	0.8461538461538461
45	ijepa_vith14	I-JEPA	0.8035551504102096	0.10716507841141076	41.75	4	7	hidden_state_007	0.698268003646308	4	33	0	1.0	True	0.21212121212121213
46	vit_mae_huge	MAE	0.7958067456700091	0.08776444252259014	44.0	4	22	hidden_state_022	0.7832725615314494	4	33	0	1.0	True	0.6666666666666666
47	dinov2_large	DINOv2	0.7937556973564266	0.19947257694934128	37.375	4	24	hidden_state_024	0.7519371011850502	4	25	0	1.0	True	0.96
48	fastvit_ma36	FastViT	0.7911349134001823	0.062459139142397486	48.0	4	2	feature_map_002	0.7911349134001823	4	3	0	1.0	True	0.6666666666666666
49	convnext_tiny	ConvNeXt	0.7824179580674567	0.04114150192049025	48.25	4	2	hidden_state_002	0.7771763901549681	4	5	0	1.0	True	0.4
50	vit_base	ViT	0.774954421148587	0.09816576536179239	46.25	4	11	hidden_state_011	0.7468094804010939	4	13	0	1.0	True	0.8461538461538461
51	vit_mae_large	MAE	0.7724475843208751	0.03527045578785322	50.5	4	23	hidden_state_023	0.7718778486782133	4	25	0	1.0	True	0.92
52	dino_vitb16	DINO	0.7713081130355515	0.14937955736253977	44.75	4	12	hidden_state_012	0.7260711030082042	4	13	0	1.0	True	0.9230769230769231
53	fastvit_sa12	FastViT	0.7694849589790338	0.06691510560466582	48.875	4	3	feature_map_003	0.7433910665451231	4	3	0	1.0	True	1.0
54	dino_vitb8	DINO	0.7665223336371924	0.11520742188928557	47.0	4	12	hidden_state_012	0.7342752962625342	4	13	0	1.0	True	0.9230769230769231
55	vit_huge	ViT	0.7645852324521422	0.13284436928673304	45.25	4	32	hidden_state_032	0.7332497721057429	4	33	0	1.0	True	0.9696969696969697
56	fastvit_t12	FastViT	0.761052871467639	0.08898818439945701	49.875	4	3	feature_map_003	0.7103463992707384	4	3	0	1.0	True	1.0
57	vit_large	ViT	0.7534184138559709	0.1255575338146469	46.75	4	23	hidden_state_023	0.6974703737465816	4	25	0	1.0	True	0.92
58	resnet101	ResNet	0.7522789425706473	0.047712698397850806	51.5	4	3	hidden_state_003	0.6988947128532361	4	5	0	1.0	True	0.6
59	swin_tiny	Swin	0.7072128532360984	0.05853675380001003	57.0	4	4	hidden_state_004	0.5834662716499545	4	5	0	1.0	True	0.8
60	resnet152	ResNet	0.702028258887876	0.06314717112403452	57.25	4	3	hidden_state_003	0.6412944393801275	4	5	0	1.0	True	0.6
61	internvit_6b_v25	InternViT	0.6989516864175023	0.1808812955392616	49.0	4	45	hidden_state_045	0.6874430264357339	4	46	0	1.0	True	0.9782608695652174
62	fastvit_sa24	FastViT	0.659412032816773	0.10468628491826502	59.75	4	3	feature_map_003	0.6358249772105743	4	3	0	1.0	True	1.0
63	convnext_small	ConvNeXt	0.6423199635369189	0.13430509674378915	59.75	4	4	hidden_state_004	0.5888787602552416	4	5	0	1.0	True	0.8
64	fastvit_sa36	FastViT	0.6304124886052871	0.09847937853458517	62.75	4	3	feature_map_003	0.5925820419325433	4	3	0	1.0	True	1.0
65	convnext_large	ConvNeXt	0.6217525068368277	0.0653346195792885	64.5	4	4	hidden_state_004	0.5458067456700091	4	5	0	1.0	True	0.8
66	convnext_base	ConvNeXt	0.6216955332725616	0.14642875495905103	61.5	4	4	hidden_state_004	0.5711030082041932	4	5	0	1.0	True	0.8
67	swinv2_tiny	SwinV2	0.5978805834092982	0.09423000390443348	66.0	4	3	hidden_state_003	0.5093436645396536	4	5	0	1.0	True	0.6
68	swin_small	Swin	0.5738947128532361	0.0745974134040454	68.0	4	5	canonical_embedding	0.4562443026435734	4	5	0	1.0	True	1.0
69	internvit_300m_v25	InternViT	0.5595943482224248	0.21530891122021614	62.25	4	3	hidden_state_003	0.39402917046490427	4	25	0	1.0	True	0.12
70	swinv2_small	SwinV2	0.5301959890610757	0.0779880486265965	69.5	4	3	hidden_state_003	0.4250227894257065	4	5	0	1.0	True	0.6
71	swin_base	Swin	0.526207839562443	0.06762625282860314	69.0	4	5	canonical_embedding	0.4213764813126709	4	5	0	1.0	True	1.0
72	swinv2_base	SwinV2	0.5111668185961713	0.07815444074864857	70.25	4	3	hidden_state_003	0.3961941659070191	4	5	0	1.0	True	0.6
73	swin_large	Swin	0.5080332725615314	0.07122221949550753	69.25	4	5	canonical_embedding	0.37511394712853235	4	5	0	1.0	True	1.0
74	internvit_300m	InternViT	0.4540793072014585	0.25806071376752504	64.0	4	3	hidden_state_003	0.40120783956244305	4	25	0	1.0	True	0.12
75	swinv2_large	SwinV2	0.4077028258887876	0.08350109020788953	73.5	4	5	canonical_embedding	0.28931175934366454	4	5	0	1.0	True	1.0
