family	model_key	global_triplet_score	triplet_rank	global_best_layer	global_best_layer_index	global_best_layer_fraction	dataset_count	dataset_wins	family_rank
CLIP	clip_vit_b16	0.9608021877848678	6	hidden_state_012	12	0.8	4	0	1
CLIP	clip_vit_b32	0.927073837739289	15	image_embeds_l2	15	1.0	4	0	2
CLIP	clip_vit_l14_336	0.9096399270738378	19	image_embeds	26	0.9629629629629629	4	0	3
CLIP	clip_vit_l14	0.8895852324521422	27	hidden_state_024	24	0.8888888888888888	4	0	4
ConvNeXt	convnext_tiny	0.7824179580674567	49	hidden_state_002	2	0.4	4	0	1
ConvNeXt	convnext_small	0.6423199635369189	63	hidden_state_004	4	0.8	4	0	2
ConvNeXt	convnext_large	0.6217525068368277	65	hidden_state_004	4	0.8	4	0	3
ConvNeXt	convnext_base	0.6216955332725616	66	hidden_state_004	4	0.8	4	0	4
DINO	dino_vits8	0.8656563354603464	35	hidden_state_012	12	0.9230769230769231	4	0	1
DINO	dino_vits16	0.8140382862351868	43	hidden_state_012	12	0.9230769230769231	4	0	2
DINO	dino_vitb16	0.7713081130355515	52	hidden_state_012	12	0.9230769230769231	4	0	3
DINO	dino_vitb8	0.7665223336371924	54	hidden_state_012	12	0.9230769230769231	4	0	4
DINOv2	dinov2_base	0.9070191431175935	22	hidden_state_012	12	0.9230769230769231	4	0	1
DINOv2	dinov2_giant	0.8729489516864175	34	hidden_state_038	38	0.926829268292683	4	0	2
DINOv2	dinov2_small	0.8642889699179581	37	hidden_state_011	11	0.8461538461538461	4	0	3
DINOv2	dinov2_large	0.7937556973564266	47	hidden_state_024	24	0.96	4	0	4
DINOv3	dinov3_vits16plus	0.933682771194166	13	block_009	9	0.75	4	0	1
DINOv3	dinov3_vits16	0.9206927985414768	18	block_008	8	0.6666666666666666	4	0	2
DINOv3	dinov3_vit7b16	0.8961941659070192	25	block_021	21	0.525	4	0	3
DINOv3	dinov3_vitb16	0.8862807657247037	30	block_010	10	0.8333333333333334	4	0	4
DINOv3	dinov3_vitl16	0.8849134001823153	31	block_016	16	0.6666666666666666	4	0	5
DINOv3	dinov3_vith16plus	0.8268003646308113	41	block_016	16	0.5	4	0	6
FastViT	fastvit_t8	0.8798997265268915	33	feature_map_003	3	1.0	4	0	1
FastViT	fastvit_s12	0.8336371923427529	40	feature_map_003	3	1.0	4	0	2
FastViT	fastvit_ma36	0.7911349134001823	48	feature_map_002	2	0.6666666666666666	4	0	3
FastViT	fastvit_sa12	0.7694849589790338	53	feature_map_003	3	1.0	4	0	4
FastViT	fastvit_t12	0.761052871467639	56	feature_map_003	3	1.0	4	0	5
FastViT	fastvit_sa24	0.659412032816773	62	feature_map_003	3	1.0	4	0	6
FastViT	fastvit_sa36	0.6304124886052871	64	feature_map_003	3	1.0	4	0	7
FastViTHD	fastvithd_05b	0.9973792160437558	1	image_embeddings	44	0.9777777777777777	4	1	1
FastViTHD	fastvithd_15b	0.9964676390154967	2	image_embeddings	44	0.9777777777777777	4	2	2
FastViTHD	fastvithd_7b	0.9846171376481312	3	canonical_embedding	45	1.0	4	0	3
I-JEPA	ijepa_vith14	0.8035551504102096	45	hidden_state_007	7	0.21212121212121213	4	0	1
InternViT	internvit_6b_v25	0.6989516864175023	61	hidden_state_045	45	0.9782608695652174	4	0	1
InternViT	internvit_300m_v25	0.5595943482224248	69	hidden_state_003	3	0.12	4	0	2
InternViT	internvit_300m	0.4540793072014585	74	hidden_state_003	3	0.12	4	0	3
MAE	vit_mae_base	0.805834092980857	44	hidden_state_011	11	0.8461538461538461	4	0	1
MAE	vit_mae_huge	0.7958067456700091	46	hidden_state_022	22	0.6666666666666666	4	0	2
MAE	vit_mae_large	0.7724475843208751	51	hidden_state_023	23	0.92	4	0	3
