model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
clip_vit_b16	CLIP	1	hidden_state_001	0.5130108575489918	0.2780309936189608	0.6955332725615314	4
clip_vit_b16	CLIP	2	hidden_state_002	0.635501964695219	0.49544211485870554	0.8236098450319052	4
clip_vit_b16	CLIP	3	hidden_state_003	0.6536155542916406	0.3623518687329079	0.8537511870845205	4
clip_vit_b16	CLIP	4	hidden_state_004	0.6604013059877538	0.11531449407474931	0.8941120607787274	4
clip_vit_b16	CLIP	5	hidden_state_005	0.6431079625777286	0.04557885141294438	0.8650865998176847	4
clip_vit_b16	CLIP	6	hidden_state_006	0.6836496583533958	0.10984503190519596	0.8969917958067457	4
clip_vit_b16	CLIP	7	hidden_state_007	0.6260678350088864	0.1116681859617138	0.8906107566089334	4
clip_vit_b16	CLIP	8	hidden_state_008	0.6893993893386176	0.04740200546946216	0.9612579762989972	4
clip_vit_b16	CLIP	9	hidden_state_009	0.7412466313636171	0.2639015496809481	0.9275296262534185	4
clip_vit_b16	CLIP	10	hidden_state_010	0.6176769762306074	0.12488605287146765	0.9042844120328168	4
clip_vit_b16	CLIP	11	hidden_state_011	0.48388010641125195	0.4225159525979945	0.56563354603464	4
clip_vit_b16	CLIP	12	hidden_state_012	0.18539468341959986	0.09799453053783047	0.26163342830009495	4
clip_vit_b16	CLIP	13	pooler_output	0.2756322604772924	0.1554238833181404	0.41659070191431175	4
clip_vit_b16	CLIP	14	image_embeds	0.230946265434263	0.07748404740200543	0.33773928896991795	4
clip_vit_b16	CLIP	15	image_embeds_l2	0.20552967126956795	0.044211485870556066	0.29580674567000914	4
clip_vit_b32	CLIP	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
clip_vit_b32	CLIP	1	hidden_state_001	0.42484012774198127	0.20145852324521418	0.6978122151321787	4
clip_vit_b32	CLIP	2	hidden_state_002	0.44252260113700403	0.2347310847766636	0.6330902461257977	4
clip_vit_b32	CLIP	3	hidden_state_003	0.5746456493190009	0.33454876937101186	0.7889699179580675	4
clip_vit_b32	CLIP	4	hidden_state_004	0.6546103462694164	0.14858705560619873	0.9415954415954416	4
clip_vit_b32	CLIP	5	hidden_state_005	0.6656057572192485	0.10164083865086604	0.9245014245014245	4
clip_vit_b32	CLIP	6	hidden_state_006	0.6144338656493017	0.0350957155879672	0.8463992707383774	4
clip_vit_b32	CLIP	7	hidden_state_007	0.6213357287119061	0.021877848678213296	0.8833181403828624	4
clip_vit_b32	CLIP	8	hidden_state_008	0.6765202256694205	0.03372835004557884	0.9170464904284412	4
clip_vit_b32	CLIP	9	hidden_state_009	0.6448132738773882	0.20783956244302643	0.8979033728350045	4
clip_vit_b32	CLIP	10	hidden_state_010	0.6318987249175642	0.4867821330902461	0.7771194165907019	4
clip_vit_b32	CLIP	11	hidden_state_011	0.271164840482677	0.10027347310847767	0.40610756608933457	4
clip_vit_b32	CLIP	12	hidden_state_012	0.19457105236503597	0.04831358249772105	0.27803099361896083	4
clip_vit_b32	CLIP	13	pooler_output	0.32509386300027443	0.09389243391066543	0.5592525068368277	4
clip_vit_b32	CLIP	14	image_embeds	0.19591461128987714	0.08614402917046488	0.3454876937101185	4
clip_vit_b32	CLIP	15	image_embeds_l2	0.13126211432197454	0.041932543299908864	0.26754785779398355	4
clip_vit_l14	CLIP	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
clip_vit_l14	CLIP	1	hidden_state_001	0.4377342246530943	0.20647219690063812	0.6832269826800365	4
clip_vit_l14	CLIP	2	hidden_state_002	0.4879684601273784	0.2174111212397447	0.8527803099361897	4
clip_vit_l14	CLIP	3	hidden_state_003	0.6053106287457548	0.3997265268915223	0.8213309024612581	4
clip_vit_l14	CLIP	4	hidden_state_004	0.6298331762096575	0.4785779398359162	0.7625341841385597	4
clip_vit_l14	CLIP	5	hidden_state_005	0.73213497313315	0.5191431175934367	0.8660968660968661	4
clip_vit_l14	CLIP	6	hidden_state_006	0.7165972595553269	0.2593436645396536	0.9301994301994302	4
clip_vit_l14	CLIP	7	hidden_state_007	0.8453571901612011	0.7452142206016408	0.9188034188034188	4
clip_vit_l14	CLIP	8	hidden_state_008	0.7558321884514531	0.3842297174111213	0.8998100664767331	4
clip_vit_l14	CLIP	9	hidden_state_009	0.6323940107744422	0.05195989061075662	0.8928896991795807	4
clip_vit_l14	CLIP	10	hidden_state_010	0.6389267630531683	0.032360984503190526	0.9252506836827712	4
clip_vit_l14	CLIP	11	hidden_state_011	0.6553405601567255	0.03372835004557889	0.9484958979033729	4
clip_vit_l14	CLIP	12	hidden_state_012	0.6957784807222669	0.15314494074749319	0.9357338195077485	4
clip_vit_l14	CLIP	13	hidden_state_013	0.7133765488368953	0.08204193254329994	0.9676390154968095	4
clip_vit_l14	CLIP	14	hidden_state_014	0.7720473085103896	0.2292616226071103	0.9749316317228806	4
clip_vit_l14	CLIP	15	hidden_state_015	0.8048736041747284	0.35232452142206017	0.9726526891522334	4
clip_vit_l14	CLIP	16	hidden_state_016	0.8432417557683435	0.44211485870556066	0.9919278252611586	4
clip_vit_l14	CLIP	17	hidden_state_017	0.844590076016694	0.4494074749316317	0.99002849002849	4
clip_vit_l14	CLIP	18	hidden_state_018	0.8991748626358167	0.7023701002734731	0.9677113010446343	4
clip_vit_l14	CLIP	19	hidden_state_019	0.9192105119634746	0.7999088422971741	0.9708295350957156	4
clip_vit_l14	CLIP	20	hidden_state_020	0.9071434785883281	0.8646723646723646	0.9649042844120328	4
clip_vit_l14	CLIP	21	hidden_state_021	0.8529519340063247	0.7789425706472197	0.9585232452142206	4
clip_vit_l14	CLIP	22	hidden_state_022	0.786179457745851	0.5679124886052871	0.9462169553327255	4
clip_vit_l14	CLIP	23	hidden_state_023	0.6384076705787433	0.3035551504102097	0.9092980856882407	4
clip_vit_l14	CLIP	24	hidden_state_024	0.4555253427936503	0.28258887876025524	0.7953509571558797	4
clip_vit_l14	CLIP	25	pooler_output	0.554576887150573	0.3851412944393801	0.8181403828623519	4
clip_vit_l14	CLIP	26	image_embeds	0.3627860148674491	0.2907930720145852	0.4402917046490429	4
clip_vit_l14	CLIP	27	image_embeds_l2	0.2643330987299386	0.24020054694621695	0.3157644824311491	4
clip_vit_l14_336	CLIP	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
clip_vit_l14_336	CLIP	1	hidden_state_001	0.46752907220850093	0.24840474020054693	0.666362807657247	4
clip_vit_l14_336	CLIP	2	hidden_state_002	0.5435880771265152	0.26435733819507745	0.8158614402917046	4
clip_vit_l14_336	CLIP	3	hidden_state_003	0.6534665465081752	0.4644484958979034	0.784412032816773	4
clip_vit_l14_336	CLIP	4	hidden_state_004	0.6981193204985365	0.5469462169553327	0.825432999088423	4
clip_vit_l14_336	CLIP	5	hidden_state_005	0.7981456376321159	0.5747493163172288	0.9377967711301045	4
clip_vit_l14_336	CLIP	6	hidden_state_006	0.7685486014261462	0.29261622607110305	0.9634377967711301	4
clip_vit_l14_336	CLIP	7	hidden_state_007	0.8575885974093206	0.6271649954421149	0.9567901234567902	4
clip_vit_l14_336	CLIP	8	hidden_state_008	0.7838930485542458	0.32224247948951684	0.95897903372835	4
clip_vit_l14_336	CLIP	9	hidden_state_009	0.7029628850503964	0.1317228805834093	0.9539653600729261	4
clip_vit_l14_336	CLIP	10	hidden_state_010	0.6884436618559986	0.07155879671832266	0.9630811303555151	4
clip_vit_l14_336	CLIP	11	hidden_state_011	0.6904566195815056	0.06426618049225163	0.9690063810391978	4
clip_vit_l14_336	CLIP	12	hidden_state_012	0.7598266142401664	0.33728350045578853	0.9649042844120328	4
clip_vit_l14_336	CLIP	13	hidden_state_013	0.7379421646361786	0.13217866909753873	0.9804010938924339	4
clip_vit_l14_336	CLIP	14	hidden_state_014	0.8072052459396732	0.31768459434822244	0.9890610756608933	4
clip_vit_l14_336	CLIP	15	hidden_state_015	0.8415652288335363	0.44895168641750227	0.9849589790337283	4
clip_vit_l14_336	CLIP	16	hidden_state_016	0.880906205389645	0.5624430264357339	0.9981006647673314	4
clip_vit_l14_336	CLIP	17	hidden_state_017	0.8813477099332463	0.5556061987237921	0.99667616334283	4
clip_vit_l14_336	CLIP	18	hidden_state_018	0.8960040376023359	0.6358249772105743	0.9924026590693258	4
clip_vit_l14_336	CLIP	19	hidden_state_019	0.8978462369528915	0.6586144029170465	0.9943019943019943	4
clip_vit_l14_336	CLIP	20	hidden_state_020	0.9250065576410152	0.8974475843208751	0.9685505925250684	4
clip_vit_l14_336	CLIP	21	hidden_state_021	0.8232232039205604	0.5925250683682771	0.9585232452142206	4
clip_vit_l14_336	CLIP	22	hidden_state_022	0.7633205600009003	0.659070191431176	0.9494074749316317	4
clip_vit_l14_336	CLIP	23	hidden_state_023	0.5876694922957457	0.3477666362807657	0.8441203281677301	4
clip_vit_l14_336	CLIP	24	hidden_state_024	0.4006701346415719	0.08477666362807662	0.7543299908842297	4
clip_vit_l14_336	CLIP	25	pooler_output	0.5212580109268046	0.18732907930720144	0.7739288969917958	4
clip_vit_l14_336	CLIP	26	image_embeds	0.29841605916507163	0.12762078395624432	0.43067426400759734	4
clip_vit_l14_336	CLIP	27	image_embeds_l2	0.2253784386494809	0.1349134001823154	0.35137701804368476	4
convnext_base	ConvNeXt	0	hidden_state_000	0.28141737675314094	0.0422602089268756	0.6522333637192342	4
convnext_base	ConvNeXt	1	hidden_state_001	0.3790018924096712	0.04785779398359158	0.6490978157644824	4
convnext_base	ConvNeXt	2	hidden_state_002	0.34393939787437205	0.13035551504102094	0.48195631528964866	4
convnext_base	ConvNeXt	3	hidden_state_003	0.21114597698462784	0.04649042844120327	0.3678213309024612	4
convnext_base	ConvNeXt	4	hidden_state_004	0.16625210688565292	0.0779398359161349	0.3801276207839563	4
convnext_base	ConvNeXt	5	canonical_embedding	0.14272283643295494	0.038742023701002715	0.23381950774840476	4
convnext_large	ConvNeXt	0	hidden_state_000	0.25706569587608785	0.03418803418803423	0.5779398359161348	4
convnext_large	ConvNeXt	1	hidden_state_001	0.41896865837157543	0.20237010027347307	0.5031905195989061	4
convnext_large	ConvNeXt	2	hidden_state_002	0.4196285345252225	0.24931631722880582	0.564721969006381	4
convnext_large	ConvNeXt	3	hidden_state_003	0.14239679398445731	0.03038936372269707	0.3076572470373746	4
convnext_large	ConvNeXt	4	hidden_state_004	0.11876948355222436	0.097538742023701	0.1577028258887876	4
convnext_large	ConvNeXt	5	canonical_embedding	0.12600052720836677	0.06198723792160438	0.18368277119416593	4
convnext_small	ConvNeXt	0	hidden_state_000	0.2739441548694056	0.035612535612535634	0.5665451230628988	4
convnext_small	ConvNeXt	1	hidden_state_001	0.480393519059578	0.35551504102096626	0.567426400759734	4
convnext_small	ConvNeXt	2	hidden_state_002	0.46617588242474295	0.2552415679124886	0.6381766381766382	4
convnext_small	ConvNeXt	3	hidden_state_003	0.24031265447248434	0.08751139471285324	0.49817684594348227	4
convnext_small	ConvNeXt	4	hidden_state_004	0.12565771191568822	0.05879671832269828	0.2876025524156791	4
convnext_small	ConvNeXt	5	canonical_embedding	0.1299794786956744	0.047857793983591634	0.18505013673655424	4
convnext_tiny	ConvNeXt	0	hidden_state_000	0.2601279843759333	0.03276353276353272	0.731996353691887	4
convnext_tiny	ConvNeXt	1	hidden_state_001	0.3685808702141124	0.2848678213309025	0.49620132953466284	4
convnext_tiny	ConvNeXt	2	hidden_state_002	0.384390953139054	0.16590701914311762	0.6394712853236099	4
convnext_tiny	ConvNeXt	3	hidden_state_003	0.1946935482335057	0.05879671832269828	0.38514129443938017	4
convnext_tiny	ConvNeXt	4	hidden_state_004	0.16106507776972684	0.02370100273473108	0.5537830446672743	4
convnext_tiny	ConvNeXt	5	canonical_embedding	0.15659581817284643	0.07155879671832271	0.23427529626253418	4
dino_vitb16	DINO	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dino_vitb16	DINO	1	hidden_state_001	0.33928477129631796	0.08594491927825265	0.8072014585232452	4
dino_vitb16	DINO	2	hidden_state_002	0.4916493960477552	0.3154056517775752	0.7087511394712853	4
dino_vitb16	DINO	3	hidden_state_003	0.5125524719493119	0.30864197530864196	0.7146763901549681	4
dino_vitb16	DINO	4	hidden_state_004	0.5302806107652659	0.3038936372269706	0.690975387420237	4
dino_vitb16	DINO	5	hidden_state_005	0.5988793792272977	0.3950617283950617	0.6996353691886964	4
dino_vitb16	DINO	6	hidden_state_006	0.604239980227522	0.4069325735992403	0.7602552415679125	4
dino_vitb16	DINO	7	hidden_state_007	0.5612342995357277	0.4021842355175688	0.7379216043755696	4
dino_vitb16	DINO	8	hidden_state_008	0.5196051823976466	0.38698955365622034	0.7101185050136737	4
dino_vitb16	DINO	9	hidden_state_009	0.46183268968896435	0.34140550807217473	0.7374658158614402	4
dino_vitb16	DINO	10	hidden_state_010	0.42946023472459205	0.2634457611668186	0.9042844120328167	4
dino_vitb16	DINO	11	hidden_state_011	0.4187666267581187	0.2169990503323837	0.9690063810391978	4
dino_vitb16	DINO	12	hidden_state_012	0.4035780047630549	0.18778486782133091	0.8906107566089334	4
dino_vitb16	DINO	13	canonical_embedding	0.424226890916347	0.22242479489516864	0.6914311759343664	4
dino_vitb8	DINO	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dino_vitb8	DINO	1	hidden_state_001	0.41699238447947046	0.09024612579762992	0.898359161349134	4
dino_vitb8	DINO	2	hidden_state_002	0.5048787334186908	0.2903372835004558	0.6700091157702825	4
dino_vitb8	DINO	3	hidden_state_003	0.5605788600698962	0.3936372269705603	0.6763901549680948	4
dino_vitb8	DINO	4	hidden_state_004	0.6473993218143932	0.4724596391263058	0.7447584320875115	4
dino_vitb8	DINO	5	hidden_state_005	0.6850244905167421	0.5997150997150997	0.8040109389243391	4
dino_vitb8	DINO	6	hidden_state_006	0.6337473087700982	0.545123062898815	0.7944393801276208	4
dino_vitb8	DINO	7	hidden_state_007	0.5909739590231842	0.5498575498575498	0.6886964448495898	4
dino_vitb8	DINO	8	hidden_state_008	0.5492857581888272	0.46058879392212726	0.715587967183227	4
dino_vitb8	DINO	9	hidden_state_009	0.45692408978644167	0.3477666362807657	0.7283500455788514	4
dino_vitb8	DINO	10	hidden_state_010	0.4541969335345209	0.2958214624881292	0.9147675478577939	4
dino_vitb8	DINO	11	hidden_state_011	0.4098518059700071	0.2520510483135825	0.820419325432999	4
dino_vitb8	DINO	12	hidden_state_012	0.38504368730743693	0.21877848678213307	0.7948951686417502	4
dino_vitb8	DINO	13	canonical_embedding	0.445883554475168	0.2962962962962963	0.6481312670920694	4
dino_vits16	DINO	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dino_vits16	DINO	1	hidden_state_001	0.39245306417138687	0.14402917046490427	0.7821330902461258	4
dino_vits16	DINO	2	hidden_state_002	0.5223110209056729	0.2652689152233364	0.7939835916134914	4
dino_vits16	DINO	3	hidden_state_003	0.5245124837573941	0.31956315289648624	0.7784867821330903	4
dino_vits16	DINO	4	hidden_state_004	0.5388640867218807	0.2849002849002849	0.7912488605287147	4
dino_vits16	DINO	5	hidden_state_005	0.6226679253874635	0.30151946818613484	0.804922515952598	4
dino_vits16	DINO	6	hidden_state_006	0.6779885529125882	0.44349477682811017	0.8117593436645396	4
dino_vits16	DINO	7	hidden_state_007	0.6697843596582582	0.44349477682811017	0.7739288969917958	4
dino_vits16	DINO	8	hidden_state_008	0.6270763698977009	0.3888888888888889	0.7383773928896992	4
dino_vits16	DINO	9	hidden_state_009	0.5128616333417305	0.3281101614434948	0.6577028258887876	4
dino_vits16	DINO	10	hidden_state_010	0.3671733580575878	0.25356125356125353	0.4781221513217867	4
dino_vits16	DINO	11	hidden_state_011	0.4181740584049912	0.22288058340929806	0.8304466727438469	4
dino_vits16	DINO	12	hidden_state_012	0.3778732423141417	0.14357338195077485	0.9102096627164995	4
dino_vits16	DINO	13	canonical_embedding	0.43072598929481337	0.20512820512820512	0.6595259799453054	4
dino_vits8	DINO	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dino_vits8	DINO	1	hidden_state_001	0.4691855799421889	0.13673655423883319	0.8746581586144029	4
dino_vits8	DINO	2	hidden_state_002	0.5071452316210748	0.3262108262108262	0.7379216043755698	4
dino_vits8	DINO	3	hidden_state_003	0.5565757773293477	0.3694207027540361	0.7228805834092982	4
dino_vits8	DINO	4	hidden_state_004	0.6457884795016365	0.4254510921177588	0.7484047402005469	4
dino_vits8	DINO	5	hidden_state_005	0.6821576327045789	0.46153846153846156	0.8432087511394712	4
dino_vits8	DINO	6	hidden_state_006	0.6935923839600534	0.533713200379867	0.7789425706472197	4
dino_vits8	DINO	7	hidden_state_007	0.6660685795067443	0.5047483380816714	0.7556973564266181	4
dino_vits8	DINO	8	hidden_state_008	0.6508037763355297	0.48243114909781576	0.7602552415679125	4
dino_vits8	DINO	9	hidden_state_009	0.4780614444470415	0.36894586894586895	0.5733819507748406	4
dino_vits8	DINO	10	hidden_state_010	0.3305671125862557	0.207383773928897	0.6317228805834092	4
dino_vits8	DINO	11	hidden_state_011	0.32450280961371814	0.16453965360072925	0.7529626253418413	4
dino_vits8	DINO	12	hidden_state_012	0.30033043585155406	0.08158614402917042	0.8732907930720146	4
dino_vits8	DINO	13	canonical_embedding	0.3973956426098632	0.17663817663817666	0.5715587967183227	4
dinov2_base	DINOv2	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dinov2_base	DINOv2	1	hidden_state_001	0.7054462398962551	0.4389243391066545	0.8691886964448496	4
dinov2_base	DINOv2	2	hidden_state_002	0.8229273525915883	0.6804922515952597	0.9453053783044667	4
dinov2_base	DINOv2	3	hidden_state_003	0.8654163214707122	0.7848678213309025	0.9530537830446673	4
dinov2_base	DINOv2	4	hidden_state_004	0.8075464380538826	0.5373746581586144	0.9434947768281101	4
dinov2_base	DINOv2	5	hidden_state_005	0.8822300697490609	0.768003646308113	0.9710351377018043	4
dinov2_base	DINOv2	6	hidden_state_006	0.8780212761905256	0.7935278030993619	0.9762989972652689	4
dinov2_base	DINOv2	7	hidden_state_007	0.6929973267332732	0.5305378304466728	0.8322698268003645	4
dinov2_base	DINOv2	8	hidden_state_008	0.6803111048781058	0.4402917046490428	0.8436645396536007	4
dinov2_base	DINOv2	9	hidden_state_009	0.5952718109737253	0.3286235186873291	0.8587055606198724	4
dinov2_base	DINOv2	10	hidden_state_010	0.49252039361428607	0.4358974358974359	0.5428441203281678	4
dinov2_base	DINOv2	11	hidden_state_011	0.3371814566360297	0.09115770282588881	0.8828623518687329	4
dinov2_base	DINOv2	12	hidden_state_012	0.24090489818991795	0.023245214220601607	0.8532360984503191	4
dinov2_base	DINOv2	13	canonical_embedding	0.3082638829372345	0.10437556973564266	0.8281677301731996	4
dinov2_giant	DINOv2	0	hidden_state_000	0.08418820732707089	0.009496676163342821	0.2698268003646308	4
dinov2_giant	DINOv2	1	hidden_state_001	0.6773450167555303	0.3678213309024613	0.8769371011850502	4
dinov2_giant	DINOv2	2	hidden_state_002	0.6767222572828772	0.37648131267092066	0.8833181403828623	4
dinov2_giant	DINOv2	3	hidden_state_003	0.6681942940299064	0.4416590701914312	0.8409298085688242	4
dinov2_giant	DINOv2	4	hidden_state_004	0.6569506449861965	0.4448495897903373	0.850045578851413	4
dinov2_giant	DINOv2	5	hidden_state_005	0.6604830059706996	0.46809480401093895	0.8609845031905197	4
dinov2_giant	DINOv2	6	hidden_state_006	0.6673534875829011	0.5045578851412944	0.8240656335460347	4
