triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
1	internvit_6b_v25	InternViT	0.9863355425874417	0.017592396022674237	4.25	4	41	hidden_state_041	0.8631255838031895	4	46	2	1.0	True	0.8913043478260869
2	clip_vit_l14	CLIP	0.9691533327966023	0.02167948013091197	6.25	4	19	hidden_state_019	0.9192105119634746	4	27	0	1.0	True	0.7037037037037037
3	clip_vit_l14_336	CLIP	0.9683036529739659	0.04115440000313436	6.5	4	20	hidden_state_020	0.9250065576410152	4	27	0	1.0	True	0.7407407407407407
4	internvit_300m_v25	InternViT	0.9529296639977285	0.030595265252876393	7.375	4	5	hidden_state_005	0.8403009892298862	4	25	0	1.0	True	0.2
5	dinov2_base	DINOv2	0.9447870433133271	0.03908273733297871	8.25	4	5	hidden_state_005	0.8822300697490609	4	13	0	1.0	True	0.38461538461538464
6	dinov2_large	DINOv2	0.9427159757986254	0.011078814999821067	9.75	4	16	hidden_state_016	0.9111506733809985	4	25	0	1.0	True	0.64
7	siglip_so400m	SigLIP	0.9375569735642661	0.07050593099628821	10.5	4	12	hidden_state_012	0.9129015418896914	4	29	1	1.0	True	0.41379310344827586
8	dinov2_giant	DINOv2	0.9295736407936347	0.0402539304700128	10.75	4	20	hidden_state_020	0.8836503509095427	4	41	0	1.0	True	0.4878048780487805
9	dinov2_small	DINOv2	0.9272010949312681	0.039081878591025965	12.0	4	3	hidden_state_003	0.8062107785975912	4	13	0	1.0	True	0.23076923076923078
10	internvit_300m	InternViT	0.9022231918008278	0.0629763806540998	14.875	4	6	hidden_state_006	0.8072430118920548	4	25	0	1.0	True	0.24
11	dinov3_vith16plus	DINOv3	0.8800249276928098	0.10538108137905294	14.0	4	18	block_018	0.6238386699112922	4	32	0	1.0	True	0.5625
12	siglip_large	SigLIP	0.8676632333195688	0.10732208323359128	20.25	4	11	hidden_state_011	0.8296835624395636	4	26	0	1.0	True	0.4230769230769231
13	fastvithd_15b	FastViTHD	0.8605689695024243	0.07836559068213592	18.5	4	38	block_038	0.7007007153239302	4	45	0	1.0	True	0.8444444444444444
14	clip_vit_b16	CLIP	0.8600366751764503	0.10773069306442129	21.0	4	9	hidden_state_009	0.7412466313636171	4	15	0	1.0	True	0.6
15	fastvithd_05b	FastViTHD	0.853195410776693	0.08882050615327454	19.5	4	35	block_035	0.6812615299777257	4	45	0	1.0	True	0.7777777777777778
16	vit_small	ViT	0.8408551423592445	0.07062598431277763	22.75	4	3	block_003	0.7235362392989254	4	12	0	1.0	True	0.25
17	vit_tiny	ViT	0.8369929515098157	0.07234365053044906	22.5	4	5	block_005	0.7935377585939725	4	12	0	1.0	True	0.4166666666666667
18	clip_vit_b32	CLIP	0.8312283954945761	0.14178340568355827	25.25	4	8	hidden_state_008	0.6765202256694205	4	15	0	1.0	True	0.5333333333333333
19	dinov3_vitl16	DINOv3	0.8273120986961765	0.12422515234893246	20.5	4	12	block_012	0.5706491675042268	4	24	0	1.0	True	0.5
20	vit_mae_large	MAE	0.8271141791348415	0.08190653009434996	23.125	4	4	hidden_state_004	0.7591439053760537	4	25	0	1.0	True	0.16
