family	model_key	global_triplet_score	triplet_rank	global_best_layer	global_best_layer_index	global_best_layer_fraction	dataset_count	dataset_wins	family_rank
CLIP	clip_vit_l14	0.9691533327966023	2	hidden_state_019	19	0.7037037037037037	4	0	1
CLIP	clip_vit_l14_336	0.9683036529739659	3	hidden_state_020	20	0.7407407407407407	4	0	2
CLIP	clip_vit_b16	0.8600366751764503	14	hidden_state_009	9	0.6	4	0	3
CLIP	clip_vit_b32	0.8312283954945761	18	hidden_state_008	8	0.5333333333333333	4	0	4
ConvNeXt	convnext_small	0.5601822634639407	59	hidden_state_001	1	0.2	4	0	1
ConvNeXt	convnext_tiny	0.5381341974702656	62	hidden_state_002	2	0.4	4	0	2
ConvNeXt	convnext_base	0.5300957848435819	64	hidden_state_001	1	0.2	4	0	3
ConvNeXt	convnext_large	0.4744609099668352	68	hidden_state_002	2	0.4	4	0	4
DINO	dino_vitb8	0.7489488296233966	28	hidden_state_005	5	0.38461538461538464	4	0	1
DINO	dino_vits8	0.7324483547895885	31	hidden_state_006	6	0.46153846153846156	4	0	2
DINO	dino_vits16	0.706361387917146	34	hidden_state_006	6	0.46153846153846156	4	0	3
DINO	dino_vitb16	0.6691898434909678	40	hidden_state_006	6	0.46153846153846156	4	0	4
DINOv2	dinov2_base	0.9447870433133271	5	hidden_state_005	5	0.38461538461538464	4	0	1
DINOv2	dinov2_large	0.9427159757986254	6	hidden_state_016	16	0.64	4	0	2
DINOv2	dinov2_giant	0.9295736407936347	8	hidden_state_020	20	0.4878048780487805	4	0	3
DINOv2	dinov2_small	0.9272010949312681	9	hidden_state_003	3	0.23076923076923078	4	0	4
DINOv3	dinov3_vith16plus	0.8800249276928098	11	block_018	18	0.5625	4	0	1
DINOv3	dinov3_vit7b16	0.8561227590398056	74	canonical_embedding	40	1.0	3	0	2
DINOv3	dinov3_vitl16	0.8273120986961765	19	block_012	12	0.5	4	0	3
DINOv3	dinov3_vitb16	0.7839950923740046	27	block_000	0	0.0	4	0	4
DINOv3	dinov3_vits16plus	0.7447874328761597	29	block_000	0	0.0	4	0	5
DINOv3	dinov3_vits16	0.7239848858277907	32	block_000	0	0.0	4	0	6
FastViT	fastvit_sa24	0.7994561919280849	24	feature_map_002	2	0.6666666666666666	4	0	1
FastViT	fastvit_ma36	0.7891714085120345	25	feature_map_001	1	0.3333333333333333	4	0	2
FastViT	fastvit_sa12	0.636300568502027	46	feature_map_002	2	0.6666666666666666	4	0	3
FastViT	fastvit_t12	0.5322166298313367	63	feature_map_000	0	0.0	4	0	4
FastViT	fastvit_sa36	0.5184119297990462	65	feature_map_000	0	0.0	4	0	5
FastViT	fastvit_s12	0.5029592707730052	67	feature_map_001	1	0.3333333333333333	4	0	6
FastViT	fastvit_t8	0.4118325165499277	71	feature_map_001	1	0.3333333333333333	4	0	7
FastViTHD	fastvithd_15b	0.8605689695024243	13	block_038	38	0.8444444444444444	4	0	1
FastViTHD	fastvithd_05b	0.853195410776693	15	block_035	35	0.7777777777777778	4	0	2
FastViTHD	fastvithd_7b	0.8147809444907591	23	block_035	35	0.7777777777777778	4	0	3
I-JEPA	ijepa_vith14	0.8152702786932504	22	hidden_state_022	22	0.6666666666666666	4	0	1
InternViT	internvit_6b_v25	0.9863355425874417	1	hidden_state_041	41	0.8913043478260869	4	2	1
InternViT	internvit_300m_v25	0.9529296639977285	4	hidden_state_005	5	0.2	4	0	2
InternViT	internvit_300m	0.9022231918008278	10	hidden_state_006	6	0.24	4	0	3
MAE	vit_mae_large	0.8271141791348415	20	hidden_state_004	4	0.16	4	0	1
MAE	vit_mae_huge	0.7853650550019435	26	hidden_state_011	11	0.3333333333333333	4	1	2
MAE	vit_mae_base	0.681930171295106	38	hidden_state_003	3	0.23076923076923078	4	0	3
ResNeXt	resnext101_32x8d	0.721113483115914	33	feature_map_002	2	0.5	4	0	1
ResNeXt	resnext50_32x4d	0.6046201286249904	53	feature_map_002	2	0.5	4	0	2
ResNet	resnet18	0.6404665101489775	44	hidden_state_000	0	0.0	4	0	1
ResNet	resnet34	0.6219254835556871	50	hidden_state_000	0	0.0	4	0	2
ResNet	resnet50	0.6211744929839733	51	hidden_state_002	2	0.4	4	0	3
ResNet	resnet101	0.5696380355298618	56	hidden_state_002	2	0.4	4	0	4
ResNet	resnet152	0.541728888507983	61	hidden_state_002	2	0.4	4	0	5
SigLIP	siglip_so400m	0.9375569735642661	7	hidden_state_012	12	0.41379310344827586	4	1	1
SigLIP	siglip_large	0.8676632333195688	12	hidden_state_011	11	0.4230769230769231	4	0	2
SigLIP	siglip_base	0.8265987658649464	21	hidden_state_001	1	0.07142857142857142	4	0	3
SigLIP2	siglip2_large	0.44180980936526365	69	pooler_output	1	0.5	4	0	1
SigLIP2	siglip2_so400m	0.41710990260063485	70	pooler_output	1	0.5	4	0	2
SigLIP2	siglip2_base_naflex	0.3876651205350689	72	pooler_output	1	0.5	4	0	3
SigLIP2	siglip2_base	0.37962346155144694	73	pooler_output	1	0.5	4	0	4
SigLIP2	siglip2_so400m_naflex	0.31358249772105745	75	pooler_output	1	0.5	3	0	5
Swin	swin_base	0.6262438957668371	48	hidden_state_003	3	0.6	4	0	1
Swin	swin_small	0.6132545723855356	52	hidden_state_001	1	0.2	4	0	2
Swin	swin_large	0.5903188441930466	55	hidden_state_001	1	0.2	4	0	3
Swin	swin_tiny	0.5684184874400614	57	hidden_state_003	3	0.6	4	0	4
SwinV2	swinv2_large	0.6820494208066374	37	hidden_state_003	3	0.6	4	0	1
SwinV2	swinv2_small	0.6272047092086594	47	hidden_state_002	2	0.4	4	0	2
SwinV2	swinv2_tiny	0.5629204573294516	58	hidden_state_001	1	0.2	4	0	3
SwinV2	swinv2_base	0.5565327089939669	60	hidden_state_002	2	0.4	4	0	4
VGG	vgg19_bn	0.6955663854023015	35	feature_map_001	1	0.2	4	0	1
VGG	vgg16	0.6837613330320714	36	feature_map_001	1	0.2	4	0	2
VGG	vgg16_bn	0.6730181640163408	39	feature_map_001	1	0.2	4	0	3
VGG	vgg19	0.6566082625411097	41	feature_map_001	1	0.2	4	0	4
VGG	vgg13	0.6560134217381255	42	feature_map_001	1	0.2	4	0	5
VGG	vgg13_bn	0.6394183697055165	45	feature_map_001	1	0.2	4	0	6
VGG	vgg11	0.6007328326152391	54	feature_map_001	1	0.2	4	0	7
VGG	vgg11_bn	0.515287960517374	66	feature_map_000	0	0.0	4	0	8
ViT	vit_small	0.8408551423592445	16	block_003	3	0.25	4	0	1
ViT	vit_tiny	0.8369929515098157	17	block_005	5	0.4166666666666667	4	0	2
ViT	vit_huge	0.7330473076446945	30	hidden_state_017	17	0.5151515151515151	4	0	3
ViT	vit_large	0.6556587031366734	43	hidden_state_008	8	0.32	4	0	4
ViT	vit_base	0.6261153400320827	49	hidden_state_003	3	0.23076923076923078	4	0	5
