triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction
1	clip_vit_l14_336	CLIP	0.9389717900239019	0.09175503421440986	12.875	8	20	hidden_state_020	0.8236587027038258	8	27	0	1.0	True	0.7407407407407407
2	siglip_so400m	SigLIP	0.9340530993618961	0.06697212187223929	14.125	8	12	hidden_state_012	0.7926517736795768	8	29	1	1.0	True	0.41379310344827586
3	clip_vit_l14	CLIP	0.9293692826243722	0.08469414000539428	16.5	8	20	hidden_state_020	0.8078333619012744	8	27	0	1.0	True	0.7407407407407407
4	fastvithd_15b	FastViTHD	0.9285183042589605	0.08767961263177436	10.1875	8	41	block_041	0.8154601364681887	8	45	2	1.0	True	0.9111111111111111
5	dinov2_base	DINOv2	0.9259030932154603	0.038893555528176006	17.25	8	3	hidden_state_003	0.7378585709450188	8	13	0	1.0	True	0.23076923076923078
6	fastvithd_05b	FastViTHD	0.9252873134102244	0.09562201040999063	10.5625	8	38	block_038	0.7839336280159738	8	45	1	1.0	True	0.8444444444444444
7	clip_vit_b16	CLIP	0.9104194314806591	0.09171613880430501	16.5	8	10	hidden_state_010	0.7259989256722772	8	15	0	1.0	True	0.6666666666666666
8	dinov2_giant	DINOv2	0.9012612962400262	0.04599707363380648	23.0	8	29	hidden_state_029	0.6241768320923593	8	41	0	1.0	True	0.7073170731707317
9	fastvithd_7b	FastViTHD	0.8996990410694452	0.11011933507560034	15.9375	8	40	block_040	0.7568149689085575	8	45	0	1.0	True	0.8888888888888888
10	dinov2_small	DINOv2	0.8957450324246131	0.07977538183415088	23.6875	8	4	hidden_state_004	0.6939013289286762	8	13	0	1.0	True	0.3076923076923077
11	vit_tiny	ViT	0.8925165304495295	0.07732084436762607	19.875	8	5	block_005	0.6468258528612525	8	12	0	1.0	True	0.4166666666666667
12	siglip_base	SigLIP	0.8843568122852535	0.09300189310601759	21.25	8	6	hidden_state_006	0.7340013307899209	8	14	0	1.0	True	0.42857142857142855
13	siglip_large	SigLIP	0.8809601490207689	0.08362494606100325	24.75	8	12	hidden_state_012	0.81651509426122	8	26	0	1.0	True	0.46153846153846156
14	clip_vit_b32	CLIP	0.8791511166169325	0.11183440255805017	23.625	8	10	hidden_state_010	0.7090669558954275	8	15	0	1.0	True	0.6666666666666666
15	dinov2_large	DINOv2	0.868235836577526	0.1596975757070217	23.5625	8	20	hidden_state_020	0.691988521314714	8	25	0	1.0	True	0.8
16	dinov3_vitl16	DINOv3	0.856112749439246	0.09566014437173369	26.625	8	15	block_015	0.7048671980303703	8	24	0	1.0	True	0.625
17	dinov3_vith16plus	DINOv3	0.8534126461618106	0.08709462673223561	28.5	8	18	block_018	0.6760943577450718	8	32	0	1.0	True	0.5625
18	vit_small	ViT	0.8524011354458028	0.06964637934247926	28.1875	8	3	block_003	0.653529742256573	8	12	0	1.0	True	0.25
19	internvit_6b_v25	InternViT	0.842643614502472	0.1927722436806354	26.625	8	45	hidden_state_045	0.7508081264538269	8	46	2	1.0	True	0.9782608695652174
20	dinov3_vits16plus	DINOv3	0.8392351020351628	0.12264532016133452	26.625	8	6	block_006	0.6278984556863622	8	12	0	1.0	True	0.5
21	dinov3_vitb16	DINOv3	0.8351379290493541	0.07789264806173735	29.875	8	10	block_010	0.5856681132433184	8	12	0	1.0	True	0.8333333333333334
22	vgg16	VGG	0.8262699099071023	0.1541874376403322	25.5625	8	3	feature_map_003	0.6492905952606651	8	5	0	1.0	True	0.6
23	dinov3_vits16	DINOv3	0.8223388421846337	0.12072699147845108	29.6875	8	8	block_008	0.645767324075589	8	12	0	1.0	True	0.6666666666666666
