family	model_key	global_triplet_score	triplet_rank	global_best_layer	global_best_layer_index	global_best_layer_fraction	dataset_count	dataset_wins	family_rank
CLIP	clip_vit_l14_336	0.9389717900239019	1	hidden_state_020	20	0.7407407407407407	8	0	1
CLIP	clip_vit_l14	0.9293692826243722	3	hidden_state_020	20	0.7407407407407407	8	0	2
CLIP	clip_vit_b16	0.9104194314806591	7	hidden_state_010	10	0.6666666666666666	8	0	3
CLIP	clip_vit_b32	0.8791511166169325	14	hidden_state_010	10	0.6666666666666666	8	0	4
ConvNeXt	convnext_tiny	0.6602760777688611	56	hidden_state_002	2	0.4	8	0	1
ConvNeXt	convnext_small	0.6012511135004298	63	hidden_state_002	2	0.4	8	0	2
ConvNeXt	convnext_base	0.5758956590580717	68	hidden_state_002	2	0.4	8	0	3
ConvNeXt	convnext_large	0.5481067084018314	71	hidden_state_002	2	0.4	8	0	4
DINO	dino_vits8	0.7990523451249675	28	hidden_state_005	5	0.38461538461538464	8	0	1
DINO	dino_vits16	0.7601998370761665	37	hidden_state_006	6	0.46153846153846156	8	0	2
DINO	dino_vitb8	0.7577355816302944	38	hidden_state_003	3	0.23076923076923078	8	0	3
DINO	dino_vitb16	0.7202489782632596	46	hidden_state_005	5	0.38461538461538464	8	0	4
DINOv2	dinov2_base	0.9259030932154603	5	hidden_state_003	3	0.23076923076923078	8	0	1
DINOv2	dinov2_giant	0.9012612962400262	8	hidden_state_029	29	0.7073170731707317	8	0	2
DINOv2	dinov2_small	0.8957450324246131	10	hidden_state_004	4	0.3076923076923077	8	0	3
DINOv2	dinov2_large	0.868235836577526	15	hidden_state_020	20	0.8	8	0	4
DINOv3	dinov3_vit7b16	0.8790207058210705	74	block_025	25	0.625	7	0	1
DINOv3	dinov3_vitl16	0.856112749439246	16	block_015	15	0.625	8	0	2
DINOv3	dinov3_vith16plus	0.8534126461618106	17	block_018	18	0.5625	8	0	3
DINOv3	dinov3_vits16plus	0.8392351020351628	20	block_006	6	0.5	8	0	4
DINOv3	dinov3_vitb16	0.8351379290493541	21	block_010	10	0.8333333333333334	8	0	5
DINOv3	dinov3_vits16	0.8223388421846337	23	block_008	8	0.6666666666666666	8	0	6
FastViT	fastvit_ma36	0.7901531609561084	33	feature_map_002	2	0.6666666666666666	8	0	1
FastViT	fastvit_sa24	0.729434112372429	45	feature_map_002	2	0.6666666666666666	8	0	2
FastViT	fastvit_sa12	0.7028927637405304	49	feature_map_002	2	0.6666666666666666	8	0	3
FastViT	fastvit_s12	0.668298231557879	54	feature_map_003	3	1.0	8	0	4
FastViT	fastvit_t12	0.6466347506494878	57	feature_map_003	3	1.0	8	0	5
FastViT	fastvit_t8	0.6458661215384096	58	feature_map_003	3	1.0	8	0	6
FastViT	fastvit_sa36	0.5744122092021666	69	feature_map_003	3	1.0	8	0	7
FastViTHD	fastvithd_15b	0.9285183042589605	4	block_041	41	0.9111111111111111	8	2	1
FastViTHD	fastvithd_05b	0.9252873134102244	6	block_038	38	0.8444444444444444	8	1	2
FastViTHD	fastvithd_7b	0.8996990410694452	9	block_040	40	0.8888888888888888	8	0	3
I-JEPA	ijepa_vith14	0.80941271455173	25	hidden_state_029	29	0.8787878787878788	8	0	1
InternViT	internvit_6b_v25	0.842643614502472	19	hidden_state_045	45	0.9782608695652174	8	2	1
InternViT	internvit_300m_v25	0.7562620061100767	39	hidden_state_007	7	0.28	8	0	2
InternViT	internvit_300m	0.6781512495011431	52	hidden_state_003	3	0.12	8	0	3
MAE	vit_mae_large	0.7997808817278583	27	hidden_state_020	20	0.8	8	0	1
MAE	vit_mae_huge	0.7905859003359763	32	hidden_state_019	19	0.5757575757575758	8	1	2
MAE	vit_mae_base	0.7438821321379815	42	canonical_embedding	13	1.0	8	0	3
ResNeXt	resnext101_32x8d	0.7933279357238641	30	feature_map_003	3	0.75	8	0	1
ResNeXt	resnext50_32x4d	0.7426872293079373	43	feature_map_002	2	0.5	8	0	2
ResNet	resnet18	0.7702389524309153	36	hidden_state_003	3	0.6	8	0	1
ResNet	resnet34	0.7551571355791198	40	hidden_state_003	3	0.6	8	0	2
ResNet	resnet50	0.7411934452157789	44	hidden_state_002	2	0.4	8	0	3
ResNet	resnet101	0.6609584890502544	55	hidden_state_002	2	0.4	8	0	4
ResNet	resnet152	0.6218785736979295	61	hidden_state_002	2	0.4	8	0	5
SigLIP	siglip_so400m	0.9340530993618961	2	hidden_state_012	12	0.41379310344827586	8	1	1
SigLIP	siglip_base	0.8843568122852535	12	hidden_state_006	6	0.42857142857142855	8	0	2
SigLIP	siglip_large	0.8809601490207689	13	hidden_state_012	12	0.46153846153846156	8	0	3
SigLIP2	siglip2_large	0.6844418235522763	51	pooler_output	1	0.5	8	0	1
SigLIP2	siglip2_base_naflex	0.677253253066076	53	pooler_output	1	0.5	8	0	2
SigLIP2	siglip2_so400m_naflex	0.6628792811564006	75	pooler_output	1	0.5	7	1	3
SigLIP2	siglip2_base	0.6335788228450033	60	pooler_output	1	0.5	8	0	4
SigLIP2	siglip2_so400m	0.6201319795592053	62	pooler_output	1	0.5	8	0	5
Swin	swin_tiny	0.63781567033808	59	hidden_state_003	3	0.6	8	0	1
Swin	swin_small	0.5935746426193859	64	hidden_state_002	2	0.4	8	0	2
Swin	swin_base	0.5762258676646401	67	hidden_state_003	3	0.6	8	0	3
Swin	swin_large	0.549176058377289	70	hidden_state_003	3	0.6	8	0	4
SwinV2	swinv2_tiny	0.5804005203693748	65	hidden_state_003	3	0.6	8	0	1
SwinV2	swinv2_small	0.5787003491348676	66	hidden_state_003	3	0.6	8	0	2
SwinV2	swinv2_large	0.5448761233477125	72	hidden_state_003	3	0.6	8	0	3
SwinV2	swinv2_base	0.5338497637950691	73	hidden_state_002	2	0.4	8	0	4
VGG	vgg16	0.8262699099071023	22	feature_map_003	3	0.6	8	0	1
VGG	vgg19_bn	0.8207207496747151	24	feature_map_005	5	1.0	8	0	2
VGG	vgg19	0.8080215423917946	26	feature_map_003	3	0.6	8	0	3
VGG	vgg13	0.7954463188909405	29	feature_map_003	3	0.6	8	0	4
VGG	vgg16_bn	0.7913005587629562	31	feature_map_005	5	1.0	8	0	5
VGG	vgg11	0.773645814666781	34	feature_map_005	5	1.0	8	0	6
VGG	vgg13_bn	0.773532111015019	35	feature_map_005	5	1.0	8	0	7
VGG	vgg11_bn	0.7060259310335275	47	feature_map_005	5	1.0	8	0	8
ViT	vit_tiny	0.8925165304495295	11	block_005	5	0.4166666666666667	8	0	1
ViT	vit_small	0.8524011354458028	18	block_003	3	0.25	8	0	2
ViT	vit_huge	0.7488162700484183	41	hidden_state_007	7	0.21212121212121213	8	0	3
ViT	vit_large	0.7045385584963221	48	hidden_state_020	20	0.8	8	0	4
ViT	vit_base	0.7005348805903349	50	hidden_state_010	10	0.7692307692307693	8	0	5
