dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
AGIQA-3K	CLIP	clip_vit_l14_336	0.9854147675478577	2	hidden_state_017	17	1
AGIQA-3K	CLIP	clip_vit_l14	0.9708295350957156	4	hidden_state_019	19	2
AGIQA-3K	CLIP	clip_vit_b16	0.9061075660893345	8	hidden_state_008	8	3
AGIQA-3K	CLIP	clip_vit_b32	0.8773928896991796	16	hidden_state_007	7	4
AGIQA-3K	ConvNeXt	convnext_tiny	0.6394712853236099	44	hidden_state_002	2	1
AGIQA-3K	ConvNeXt	convnext_large	0.564721969006381	53	hidden_state_002	2	2
AGIQA-3K	ConvNeXt	convnext_small	0.50820419325433	62	hidden_state_002	2	3
AGIQA-3K	ConvNeXt	convnext_base	0.4635369188696445	66	hidden_state_001	1	4
AGIQA-3K	DINO	dino_vits16	0.7470373746581587	27	hidden_state_007	7	1
AGIQA-3K	DINO	dino_vits8	0.7424794895168642	29	hidden_state_006	6	2
AGIQA-3K	DINO	dino_vitb8	0.6773017319963537	41	hidden_state_005	5	3
AGIQA-3K	DINO	dino_vitb16	0.6362807657247037	45	hidden_state_005	5	4
AGIQA-3K	DINOv2	dinov2_large	0.94257064721969	6	hidden_state_013	13	1
AGIQA-3K	DINOv2	dinov2_giant	0.8801276207839562	13	hidden_state_021	21	2
AGIQA-3K	DINOv2	dinov2_base	0.8787602552415679	15	hidden_state_005	5	3
AGIQA-3K	DINOv2	dinov2_small	0.8641750227894257	17	hidden_state_007	7	4
AGIQA-3K	DINOv3	dinov3_vith16plus	0.9603463992707384	5	block_021	21	1
AGIQA-3K	DINOv3	dinov3_vitl16	0.8956244302643573	10	block_018	18	2
AGIQA-3K	DINOv3	dinov3_vit7b16	0.8928896991795807	11	block_021	21	3
AGIQA-3K	DINOv3	dinov3_vitb16	0.854147675478578	18	canonical_embedding	12	4
AGIQA-3K	DINOv3	dinov3_vits16plus	0.6777575205104831	40	canonical_embedding	12	5
AGIQA-3K	DINOv3	dinov3_vits16	0.6731996353691887	42	canonical_embedding	12	6
AGIQA-3K	FastViT	fastvit_sa24	0.7474931631722881	26	feature_map_002	2	1
AGIQA-3K	FastViT	fastvit_ma36	0.6927985414767548	37	feature_map_002	2	2
AGIQA-3K	FastViT	fastvit_sa12	0.5478577939835916	56	feature_map_002	2	3
AGIQA-3K	FastViT	fastvit_t12	0.46718322698268006	65	feature_map_001	1	4
AGIQA-3K	FastViT	fastvit_sa36	0.4029170464904284	71	feature_map_002	2	5
AGIQA-3K	FastViT	fastvit_s12	0.386052871467639	73	feature_map_001	1	6
AGIQA-3K	FastViT	fastvit_t8	0.18778486782133091	75	feature_map_001	1	7
AGIQA-3K	FastViTHD	fastvithd_15b	0.768003646308113	25	block_041	41	1
AGIQA-3K	FastViTHD	fastvithd_05b	0.7461257976298997	28	block_040	40	2
AGIQA-3K	FastViTHD	fastvithd_7b	0.711485870556062	34	block_040	40	3
AGIQA-3K	I-JEPA	ijepa_vith14	0.7078395624430265	35	hidden_state_023	23	1
AGIQA-3K	InternViT	internvit_6b_v25	0.9990884229717412	1	hidden_state_038	38	1
AGIQA-3K	InternViT	internvit_300m_v25	0.9047402005469463	9	hidden_state_024	24	2
AGIQA-3K	InternViT	internvit_300m	0.812215132178669	22	hidden_state_010	10	3
AGIQA-3K	MAE	vit_mae_large	0.7206016408386509	33	hidden_state_012	12	1
AGIQA-3K	MAE	vit_mae_huge	0.6577028258887876	43	hidden_state_011	11	2
AGIQA-3K	MAE	vit_mae_base	0.5264357338195078	60	hidden_state_003	3	3
AGIQA-3K	ResNeXt	resnext101_32x8d	0.6244302643573382	46	feature_map_002	2	1
AGIQA-3K	ResNeXt	resnext50_32x4d	0.46855059252506837	64	feature_map_002	2	2
AGIQA-3K	ResNet	resnet50	0.5679124886052871	52	hidden_state_002	2	1
AGIQA-3K	ResNet	resnet18	0.5592525068368277	54	hidden_state_002	2	2
AGIQA-3K	ResNet	resnet34	0.5309936189608022	58	hidden_state_002	2	3
AGIQA-3K	ResNet	resnet101	0.4772105742935278	63	hidden_state_002	2	4
AGIQA-3K	ResNet	resnet152	0.45031905195989064	68	hidden_state_002	2	5
AGIQA-3K	SigLIP	siglip_so400m	0.9845031905195989	3	hidden_state_013	13	1
AGIQA-3K	SigLIP	siglip_large	0.9238833181403829	7	hidden_state_010	10	2
AGIQA-3K	SigLIP	siglip_base	0.8814949863263446	12	hidden_state_008	8	3
AGIQA-3K	SigLIP2	siglip2_large	0.8450319051959891	19	pooler_output	1	1
AGIQA-3K	SigLIP2	siglip2_so400m	0.8126709206927984	21	pooler_output	1	2
AGIQA-3K	SigLIP2	siglip2_base_naflex	0.7939835916134914	23	pooler_output	1	3
AGIQA-3K	SigLIP2	siglip2_so400m_naflex	0.6148587055606198	47	pooler_output	1	4
AGIQA-3K	SigLIP2	siglip2_base	0.5451230628988148	57	pooler_output	1	5
AGIQA-3K	Swin	swin_base	0.817228805834093	20	hidden_state_003	3	1
AGIQA-3K	Swin	swin_small	0.7274384685505926	31	hidden_state_003	3	2
AGIQA-3K	Swin	swin_large	0.6841385597082954	39	hidden_state_003	3	3
AGIQA-3K	Swin	swin_tiny	0.577939835916135	50	hidden_state_003	3	4
AGIQA-3K	SwinV2	swinv2_large	0.8792160437556973	14	hidden_state_003	3	1
AGIQA-3K	SwinV2	swinv2_small	0.7206016408386509	32	hidden_state_003	3	2
AGIQA-3K	SwinV2	swinv2_base	0.4380127620783956	69	hidden_state_003	3	3
AGIQA-3K	SwinV2	swinv2_tiny	0.3992707383773929	72	hidden_state_003	3	4
AGIQA-3K	VGG	vgg19	0.5788514129443938	49	feature_map_002	2	1
AGIQA-3K	VGG	vgg19_bn	0.5711030082041932	51	feature_map_002	2	2
AGIQA-3K	VGG	vgg16	0.5496809480401094	55	feature_map_002	2	3
AGIQA-3K	VGG	vgg16_bn	0.5309936189608022	59	feature_map_002	2	4
AGIQA-3K	VGG	vgg13	0.5250683682771193	61	feature_map_001	1	5
AGIQA-3K	VGG	vgg13_bn	0.4580674567000912	67	feature_map_002	2	6
AGIQA-3K	VGG	vgg11	0.42980856882406565	70	feature_map_002	2	7
AGIQA-3K	VGG	vgg11_bn	0.34138559708295346	74	feature_map_002	2	8
AGIQA-3K	ViT	vit_small	0.7926162260711029	24	block_005	5	1
AGIQA-3K	ViT	vit_tiny	0.7415679124886052	30	block_004	4	2
AGIQA-3K	ViT	vit_large	0.7037374658158615	36	hidden_state_012	12	3
AGIQA-3K	ViT	vit_huge	0.6859617137648132	38	hidden_state_016	16	4
AGIQA-3K	ViT	vit_base	0.5916134913400182	48	hidden_state_007	7	5
CSIQ	CLIP	clip_vit_b16	0.9731084776663628	9	hidden_state_012	12	1
CSIQ	CLIP	clip_vit_l14_336	0.9585232452142206	11	image_embeds_l2	27	2
CSIQ	CLIP	clip_vit_b32	0.9279854147675479	21	image_embeds_l2	15	3
CSIQ	CLIP	clip_vit_l14	0.9115770282588879	28	image_embeds_l2	27	4
CSIQ	ConvNeXt	convnext_tiny	0.8226982680036463	45	hidden_state_002	2	1
CSIQ	ConvNeXt	convnext_small	0.7629899726526892	52	hidden_state_004	4	2
CSIQ	ConvNeXt	convnext_base	0.7461257976298997	56	hidden_state_004	4	3
CSIQ	ConvNeXt	convnext_large	0.662260711030082	64	hidden_state_004	4	4
CSIQ	DINO	dino_vits8	0.8249772105742936	44	hidden_state_012	12	1
CSIQ	DINO	dino_vits16	0.7228805834092981	58	hidden_state_012	12	2
CSIQ	DINO	dino_vitb16	0.7206016408386509	59	hidden_state_012	12	3
CSIQ	DINO	dino_vitb8	0.6891522333637192	63	hidden_state_012	12	4
CSIQ	DINOv2	dinov2_base	0.9247948951686418	23	hidden_state_011	11	1
CSIQ	DINOv2	dinov2_large	0.9079307201458524	29	hidden_state_024	24	2
CSIQ	DINOv2	dinov2_small	0.9047402005469463	31	hidden_state_012	12	3
CSIQ	DINOv2	dinov2_giant	0.8805834092980858	36	hidden_state_040	40	4
CSIQ	DINOv3	dinov3_vit7b16	0.9576116681859617	12	block_013	13	1
CSIQ	DINOv3	dinov3_vits16	0.935278030993619	17	block_010	10	2
