model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
clip_vit_b16	CLIP	0	hidden_state_000	0.0466519888048299	0.00911577028258892	0.2698268003646308	8
clip_vit_b16	CLIP	1	hidden_state_001	0.47927206505526165	0.14630811303555152	0.7301731996353692	8
clip_vit_b16	CLIP	2	hidden_state_002	0.4693006632956496	0.11212397447584321	0.8236098450319052	8
clip_vit_b16	CLIP	3	hidden_state_003	0.48747322837644924	0.10756608933454875	0.8537511870845205	8
clip_vit_b16	CLIP	4	hidden_state_004	0.45047184715978394	0.11531449407474931	0.8941120607787274	8
clip_vit_b16	CLIP	5	hidden_state_005	0.40499176615668564	0.04557885141294438	0.8650865998176847	8
clip_vit_b16	CLIP	6	hidden_state_006	0.4623239175996696	0.10984503190519596	0.8969917958067457	8
clip_vit_b16	CLIP	7	hidden_state_007	0.45313191203498104	0.1116681859617138	0.8906107566089334	8
clip_vit_b16	CLIP	8	hidden_state_008	0.5937881176410499	0.04740200546946216	0.9612579762989972	8
clip_vit_b16	CLIP	9	hidden_state_009	0.6958284205131668	0.2639015496809481	0.9275296262534185	8
clip_vit_b16	CLIP	10	hidden_state_010	0.7259989256722772	0.12488605287146765	0.9193254329990884	8
clip_vit_b16	CLIP	11	hidden_state_011	0.7010330340625084	0.4225159525979945	0.9621695533272562	8
clip_vit_b16	CLIP	12	hidden_state_012	0.5730984356022338	0.09799453053783047	0.9731084776663628	8
clip_vit_b16	CLIP	13	pooler_output	0.6078480354346353	0.1554238833181404	0.9644484958979034	8
clip_vit_b16	CLIP	14	image_embeds	0.5823145183142144	0.07748404740200543	0.9649042844120328	8
clip_vit_b16	CLIP	15	image_embeds_l2	0.5705177982601258	0.044211485870556066	0.9699179580674566	8
clip_vit_b32	CLIP	0	hidden_state_000	0.0466519888048299	0.00911577028258892	0.2698268003646308	8
clip_vit_b32	CLIP	1	hidden_state_001	0.3634569827406351	0.10619872379216044	0.6978122151321787	8
clip_vit_b32	CLIP	2	hidden_state_002	0.35908035252839265	0.09070191431175934	0.6330902461257977	8
clip_vit_b32	CLIP	3	hidden_state_003	0.42987068245348403	0.08067456700091158	0.7889699179580675	8
clip_vit_b32	CLIP	4	hidden_state_004	0.4497983363069963	0.09115770282588881	0.9415954415954416	8
clip_vit_b32	CLIP	5	hidden_state_005	0.4117682386825504	0.09708295350957152	0.9245014245014245	8
clip_vit_b32	CLIP	6	hidden_state_006	0.3672670695612051	0.0350957155879672	0.8463992707383774	8
clip_vit_b32	CLIP	7	hidden_state_007	0.4222221031891345	0.021877848678213296	0.8833181403828624	8
clip_vit_b32	CLIP	8	hidden_state_008	0.5786315804737256	0.03372835004557884	0.9170464904284412	8
clip_vit_b32	CLIP	9	hidden_state_009	0.66741005535255	0.20783956244302643	0.8979033728350045	8
