triplet_rank	model_key	family	global_triplet_score	triplet_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_triplet	layer_dataset_count	max_layer_index	dataset_wins	coverage_frac	headline_eligible	global_best_layer_fraction	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
1	clip_vit_l14_336	CLIP	0.9389717900239019	0.09175503421440986	12.875	8	20	hidden_state_020	0.8236587027038258	8	27	0	1.0	True	0.7407407407407407	20.0	hidden_state_020	318380785664.0	336.0	336.0	20.0	hidden_state_020	index	381919789056.0	28.0	0.8336325971768815	0.16636740282311846	318.380785664	381.919789056	True
2	siglip_so400m	SigLIP	0.9340530993618961	0.06697212187223929	14.125	8	12	hidden_state_012	0.7926517736795768	8	29	1	1.0	True	0.41379310344827586	12.0	hidden_state_012	300646172160.0	384.0	384.0	12.0	hidden_state_012	index	670346449920.0	30.0	0.4484937187269053	0.5515062812730946	300.64617216	670.34644992	True
3	clip_vit_l14	CLIP	0.9293692826243722	0.08469414000539428	16.5	8	20	hidden_state_020	0.8078333619012744	8	27	0	1.0	True	0.7407407407407407	20.0	hidden_state_020	135071350784.0	224.0	224.0	20.0	hidden_state_020	index	162025537536.0	28.0	0.8336423556316785	0.16635764436832146	135.071350784	162.025537536	True
4	fastvithd_15b	FastViTHD	0.9285183042589605	0.08767961263177436	10.1875	8	41	block_041	0.8154601364681887	8	45	2	1.0	True	0.9111111111111111	41.0	block_041	455532871680.0	1024.0	1024.0	41.0	block_041	index	486712541184.0	46.0	0.9359382245870409	0.0640617754129591	455.53287168	486.712541184	True
5	dinov2_base	DINOv2	0.9259030932154603	0.038893555528176006	17.25	8	3	hidden_state_003	0.7378585709450188	8	13	0	1.0	True	0.23076923076923078	3.0	hidden_state_003	11754021888.0	224.0	224.0	3.0	hidden_state_003	index	46322454528.0	14.0	0.2537435031836489	0.7462564968163511	11.754021888	46.322454528	True
6	fastvithd_05b	FastViTHD	0.9252873134102244	0.09562201040999063	10.5625	8	38	block_038	0.7839336280159738	8	45	1	1.0	True	0.8444444444444444	38.0	block_038	402151440384.0	1024.0	1024.0	38.0	block_038	index	486712541184.0	46.0	0.8262606905622513	0.17373930943774873	402.151440384	486.712541184	True
7	clip_vit_b16	CLIP	0.9104194314806591	0.09171613880430501	16.5	8	10	hidden_state_010	0.7259989256722772	8	15	0	1.0	True	0.6666666666666666	10.0	hidden_state_010	29310302208.0	224.0	224.0	10.0	hidden_state_010	index	35126906880.0	16.0	0.8344117034878534	0.16558829651214657	29.310302208	35.12690688	True
8	dinov2_giant	DINOv2	0.9012612962400262	0.04599707363380648	23.0	8	29	hidden_state_029	0.6241768320923593	8	41	0	1.0	True	0.7073170731707317	29.0	hidden_state_029	434242762752.0	224.0	224.0	29.0	hidden_state_029	index	598780133376.0	42.0	0.7252123752063767	0.2747876247936233	434.242762752	598.780133376	True
9	fastvithd_7b	FastViTHD	0.8996990410694452	0.11011933507560034	15.9375	8	40	block_040	0.7568149689085575	8	45	0	1.0	True	0.8888888888888888	40.0	block_040	437739061248.0	1024.0	1024.0	40.0	block_040	index	486712541184.0	46.0	0.8993790465787778	0.10062095342122224	437.739061248	486.712541184	True
10	dinov2_small	DINOv2	0.8957450324246131	0.07977538183415088	23.6875	8	4	hidden_state_004	0.6939013289286762	8	13	0	1.0	True	0.3076923076923077	4.0	hidden_state_004	4159444992.0	224.0	224.0	4.0	hidden_state_004	index	12247123968.0	14.0	0.3396262667764318	0.6603737332235682	4.159444992	12.247123968	True
11	vit_tiny	ViT	0.8925165304495295	0.07732084436762607	19.875	8	5	block_005	0.6468258528612525	8	12	0	1.0	True	0.4166666666666667	5.0	block_005	1282392576.0	224.0	224.0	5.0	block_005	index	2506982400.0	13.0	0.5115283521735134	0.48847164782648655	1.282392576	2.5069824	True
12	siglip_base	SigLIP	0.8843568122852535	0.09300189310601759	21.25	8	6	hidden_state_006	0.7340013307899209	8	14	0	1.0	True	0.42857142857142855	6.0	hidden_state_006	18061307904.0	224.0	224.0	6.0	hidden_state_006	index	35416584192.0	15.0	0.509967528378407	0.490032471621593	18.061307904	35.416584192	True
13	siglip_large	SigLIP	0.8809601490207689	0.08362494606100325	24.75	8	12	hidden_state_012	0.81651509426122	8	26	0	1.0	True	0.46153846153846156	12.0	hidden_state_012	82029051904.0	256.0	256.0	12.0	hidden_state_012	index	162559688704.0	27.0	0.5046088151249121	0.49539118487508793	82.029051904	162.559688704	True
14	clip_vit_b32	CLIP	0.8791511166169325	0.11183440255805017	23.625	8	10	hidden_state_010	0.7090669558954275	8	15	0	1.0	True	0.6666666666666666	10.0	hidden_state_010	7385899008.0	224.0	224.0	10.0	hidden_state_010	index	8817623040.0	16.0	0.8376292538811003	0.16237074611889968	7.385899008	8.81762304	True
